companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563515.0,Presentation Operator Message,Operator,,Operator,0,"Good day, everyone, and welcome to the Apple Inc. Second Quarter Fiscal Year 2018 Earnings Release Conference Call. Today's call is being recorded. At this time, for opening remarks and introductions, I would like to turn the call over to Nancy Paxton, Senior Director of Investor Relations. Please go ahead, ma'am.",51
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563516.0,Presenter Speech,Nancy Paxton,,Executives,1,"[Audio Gap]
and he'll be followed by CFO, Luca Maestri. After that, we'll open the call to questions from analysts.
Please note that some of the information you'll hear during our discussion today will consist of forward-looking statements, including, without limitation, those regarding revenues, gross margins, operating expenses, other income and expense, taxes, capital allocation, share repurchases, dividends and future business outlook. Actual results or trends could differ materially from our forecast. For more information, please refer to the risk factors discussed in Apple's most recently filed periodic reports on Form 10-K and Form 10-Q and the Form 8-K filed with the SEC today, along with the associated press release. Apple assumes no obligation to update any forward-looking statements or information, which speak as of their respective dates.
I'd now like to turn the call over to Tim for introductory remarks.",141
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563517.0,Presenter Speech,Timothy Cook,,Executives,2,"Thank you, Nancy, and to everyone joining us, welcome. We're proud to announce the results of a very successful quarter today, setting new March quarter records for both revenue and earnings.
We generated $61.1 billion of revenue. That's up 16% from last year, making it our sixth consecutive quarter of accelerating revenue growth. Our performance was broad based with iPhone revenue up 14%, Services up 31% and Wearables up almost 50%. We grew in each of our geographic segments, and in Greater China and Japan, revenue was up more than 20%.
iPhone's second quarter performance capped a tremendous fiscal first half with $100 billion in iPhone revenue, an increase of $12 billion over last year, setting a new first half record and achieving our highest first half growth rate in 3 years. iPhone gained share during the quarter based on IDC's latest estimates for the global smartphone market. And customers chose iPhone X more than any other iPhone each week in the March quarter just as they did following its launch in the December quarter. Since we split the line with the launch of iPhone 6 and 6 Plus in 2014, this is the first cycle in which the top of the line iPhone model has also been the most popular.
Q2 was our best quarter ever for Services, and momentum there continues to be incredibly strong. Revenue topped $9 billion for the first time, up more than $2 billion over last year's March quarter. We had all-time record revenue from the App Store, from Apple Music, from iCloud, from Apple Pay and more, all of which are a powerful illustration of the importance of our huge active installed base of devices and the loyalty and engagement of our customers.
Across all our services, paid subscriptions surpassed 270 million, up over 100 million from a year ago and up 30 million in the last 90 days alone, contributing to the overall increase in Services revenue. Apple Pay continues its strong growth with active users more than doubling and transactions tripling year-over-year. We believe the availability of Apple Pay at major transit systems have been a key driver of adoption among commuters. And in March, we launched Express Transit with Apple Pay in Beijing and Shanghai, the second and third largest transit systems in the world. Apple Pay is already the most successful mobile transit payment system in Tokyo, which has the busiest transit system of all. With the launch of Brazil in April, Apple Pay is now available in 21 markets, and we expect Norway, Poland and Ukraine to launch in the next several months.
This was another outstanding quarter for our Wearables business, which includes Apple Watch, Beats and AirPods with combined revenue of almost 50% year-over-year. Looking at its revenue over the last 4 quarters, our Wearables business is now the size of a Fortune 300 company.
Apple Watch had another great quarter with revenue growing by strong double digits year-over-year to a new March quarter record. Millions of customers are using Apple Watch to help them stay active, healthy and connected, and they have made it the top-selling watch in the world. We launched carrier support for Series 3 with cellular in mainland China, Hong Kong and Thailand during the quarter with more markets on the way.
And now with watchOS 4.2, there are more features than ever before. For example, in addition to tracking your workouts and heart rate, skiers and snowboarders can record runs, see vertical descent and calculate speed as well as contribute data directly to the Apple Watch Activity app.
AirPods are incredibly popular, and we're seeing them in more and more places: in the gym, in coffee shops, wherever people are enjoying music on their Apple devices. This product is a runaway hit, and we're working hard to meet the incredible demand. 
We started shipping HomePod in February, and it's widely recognized as having the best audio quality for its size and class. HomePod is a breakthrough speaker that delivers amazing sound, and we believe it will change the way people listen to music at home. It's currently available in the United States, the United Kingdom and Australia, and we're looking forward to adding new features to HomePod and introducing it to more markets around the world soon.
In March, we announced new products for the education community, including updating our most popular iPad with support for Apple Pencil. It empowers students to be even more creative and productive from learning to code to sketching ideas and jotting down handwritten notes to making up screenshots -- marking up screenshots. And the new iPad's gorgeous Retina display, advanced chip and enhanced cameras and sensors are designed to support the next generation of apps for immersive augmented reality experiences in the classroom.
In addition to our successful Everyone Can Code initiative, we've launched Everyone Can Create. It's a new free curriculum that makes it fun and easy for teachers to integrate drawing, music, filmmaking or photography into their existing lesson plans for any subject. We believe education is the great equalizer, and whether it's through our coding programs, our unrivaled augmented reality platform or the creativity both can unleash, we're proud to help students everywhere reach new frontiers of learning with Apple technology.
In March, we also released iOS 11.3, a major update, offering new immersive augmented reality experiences, access to personal health records in the Health app and more. Apps can now deliver AR experiences that use vertical walls and doors in addition to tables and chairs and can make more accurately mapped irregular shaped surfaces. The update to ARKit that made this possible came just 6 months after we launched the world's largest AR platform.
Also in iOS 11.3, patients in nearly 40 health systems representing hundreds of hospitals and clinics can now consolidate their medical records from multiple sources and view them all in one place right from their iPhone. This data is encrypted and protected with the user's iPhone passcode, and it can help them better understand their health history, have informed conversations with doctors and family members and make future health care decisions.
Consistent with our long-term focus, privacy is a key element of these initiatives for education and personal health. We're relentless about making the best products and experiences in the world while fiercely protecting our users' privacy because we believe privacy is a fundamental human right.
Our environmental initiatives recently passed an important milestone. All of our global facilities across 43 countries are now powered with 100% clean energy. We work with communities around the world to build clean power sources. Apple now has 25 renewable energy projects operational and 15 more under construction. We're also driving our supply chain to use clean energy. As of last month, 23 of our suppliers are committed to operating on 100% renewable energy.
We're now halfway through our fiscal 2018 with nearly $150 billion in revenues and double-digit growth in all of our geographic segments. We generated almost $34 billion in earnings in 6 months, and we're very bullish on Apple's future. We have the best pipeline of products and services we've ever had. We have a huge installed base of active devices that is growing across all products, and we have the highest customer loyalty and satisfaction in the industry.
Our Services business is growing dramatically. Our balance sheet and our cash flow generation are strong, and that allows us to invest significantly in our product road map and still return a very meaningful amount of capital to our shareholders.
Recent corporate tax reform enables us to deploy our global cash more efficiently. In the United States, we expect our direct investment in the economy to exceed $350 billion over the next 5 years, including $30 billion in capital expenditures, and we expect to create over 20,000 U.S. jobs at Apple over that time frame. We're narrowing the site selection for a new U.S. campus, and we look forward to sharing more information on that later this year.
Consistent with our annual cadence, today, we're providing an update on our capital return program. Tax reform makes it possible for us to execute our program more efficiently, both through share repurchases and payment of dividend to the tens of millions of investors who own Apple stock either directly or indirectly from large pension funds to individuals with retirement accounts.
So today, given our strong confidence in Apple's future, we're announcing a significant update to our capital return program. Our Board of Directors has approved a new $100 billion share repurchase authorization as well as a 16% increase in our quarterly dividend effective with our next dividend payable later this month.
Luca will provide more details about our program as well as a more in-depth discussion of the quarter's results. So I'll now turn the call over to him. Luca?",1479
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563518.0,Presenter Speech,Luca Maestri,,Executives,3,"Thank you, Tim. Good afternoon, everyone. We're very pleased to report record financial results for our March quarter with revenue growth of 16%, EPS up 30%.
Starting with revenue. We generated $61.1 billion, our highest ever for a March quarter. Revenue grew in all of our geographic segments, setting new Q2 records in most countries we track. Performance was very strong in emerging markets where revenue was up 20%, and we were especially pleased to see 21% year-over-year growth in Greater China, our strongest growth rate from that segment in 10 quarters.
We also set Q2 revenue records in the Americas, in Europe and in Japan. Gross margin was 38.3%, essentially flat sequentially as we offset the seasonal loss of leverage with cost improvements and a shift in mix towards services. Operating margin was 26% of revenue. Net income was $13.8 billion, up $2.8 billion over last year and a March quarter record. Diluted earnings per share were $2.73, up 30% to a new record for Q2, and cash flow from operations was very strong at $15.1 billion.
iPhone revenue grew 14% year-over-year with iPhone ASP increasing to $728 from $655 a year ago, driven primarily by the performance of iPhone X, iPhone 8 and iPhone 8 Plus. During the quarter, we sold 52.2 million iPhones, up 3% over last year, and we grew iPhone units by double digits in several markets, including Japan, Canada, Switzerland, Turkey, Central and Eastern Europe, Mexico and Vietnam.
Our performance from a customer demand standpoint was even stronger than our reported results as we reduced iPhone channel inventory by 1.8 million units, 600,000 units more than the March quarter reduction last year. We exited the March quarter within our target range of 5 to 7 weeks of iPhone channel inventory.
Our customers are extremely happy with their iPhones. The latest survey of U.S. consumers from 451 Research indicates that across all iPhone models, the customer satisfaction rating was 95%, and combining iPhone 8, 8 Plus and iPhone X, customer satisfaction was even higher at 99%. And among business buyers who plan to purchase smartphones in the June quarter, 78% plan to purchase iPhones.
Turning to Services. We had a sensational quarter with all-time record revenue of $9.2 billion, and that's up more than $2 billion from last year, an increase of 31% and double the Services revenue we generated in the March quarter just 4 years ago. Our Services business is growing at a very fast pace all around the world with revenue up more than 25% year-over-year in each of our 5 geographic segments. The App Store set a new all-time revenue record in the March quarter, and Apple Music reached a new record for both revenue and paid subscribers, which have now passed 40 million.
iCloud storage revenue was up by over 50% year-over-year to a new all-time record, and AppleCare revenue grew at its highest rate in 5 quarters, setting a new March quarter record. Our other product category also set a new record for the March quarter with revenue of almost $4 billion. We began shipping HomePod in February, and unit sales of both Apple Watch and AirPods reached a new high for the March quarter. When we combine all our wearables and home products, they accounted for over 90% of the total growth in the other products category.
Next, I'd like to talk about the Mac, which set a new March quarter revenue record, including new records in both the Americas and Greater China. We sold 4.1 million Macs, generating year-over-year growth in many emerging markets, including Latin America, the Middle East and Africa, Central and Eastern Europe and India. We were happy to see double-digit growth in our active installed base of Macs to a new all-time high with almost 60% of March quarter purchases coming from customers who are new to Mac.
iPad grew both units and revenue for the fourth consecutive quarter. We sold 9.1 million iPads, and about half of purchases were by customers new to iPad. Growth was particularly strong in Japan, in Latin America, Middle East and Africa and Central and Eastern Europe, all markets where iPad sales were up double digits compared to a year ago. We gained share of the global tablet market based on the latest estimates from IDC, and our active installed base of iPads reached an all-time high. NPD indicates that iPad has 53% of the U.S. tablet market in the March quarter, up from 40% share a year ago. And the most recent customer survey from 451 Research measured iPad customer satisfaction ratings of 95%. And among business customers who plan to purchase tablets in the June quarter, 73% plan to purchase iPads.
We continue to make great strides in the enterprise market. In February, we announced a new cyber risk management solution for businesses with Cisco, Aon and Allianz. This combined approach is an industry first that integrates the most secure technology from Apple and Cisco, cyber resilience evaluation services from Aon and options for enhanced cyber insurance coverage from Allianz. Organizations will now be able to better manage and protect themselves from cyber risks associated with ransomware and other malware-related threats. We are thrilled that insurance industry leaders recognize that Apple products provide superior security.
In March, we announced 2 new services with IBM to bring more dynamic and intelligent insights into apps. IBM Watson services for Core ML and IBM Cloud Developer Console for Apple will enable developers to more easily build native iOS apps that bring together machine learning with artificial intelligence and cloud services.
In health care, iPhones are being used across leading health systems, including Cedars-Sinai, the Mayo Clinic and HCA Healthcare with iOS apps to support clinical workflows, communications and care delivery. In fact, HCA Healthcare recently announced they plan to deploy 100,000 iPhones across their hospital sites within the next 3 years.
We had great performance from our retail and online stores, which produced their highest March quarter revenue ever. Year-over-year growth was led by iPhone as well as strong performance from AirPods and introduction of HomePod. Our stores hosted more than 250,000 of our very popular Today at Apple sessions with a particular emphasis on coding and app design.
During the quarter, we opened beautiful new stores in South Korea and in Austria, our first in both countries. And 3 weeks ago, we opened our newest store in Tokyo, bringing us to 502 stores across the world today.
Let me now turn to our cash position. We ended the quarter with $267.2 billion in cash plus marketable securities, and we had $110 billion in term debt and $12 billion in commercial paper outstanding for a net cash position of $145 billion. We returned nearly $27 billion to investors during the quarter. We paid $3.2 billion in dividends and equivalents and spent $23.5 billion on repurchases of 137 million Apple shares through open market transactions. We also retired 5.7 million shares upon the completion of our 13 ASR during the quarter.
We have now completed over $275 billion of our current $300 billion capital return program, including $200 billion in share repurchases against our cumulative $210 billion buyback program. We will complete the $210 billion program during the June quarter, 3 full quarters sooner than initially planned.
The biggest priorities for our cash have not changed over the years. We want to maintain the cash we need to fund our day-to-day operations, to invest in our future and to provide flexibility so that we can respond effectively to the strategic opportunities we encounter along the way.
As we said 90 days ago, the new tax legislation enacted in December gives us increased financial and operational flexibility from the access to our global cash. It allows us to invest for growth in the United States more efficiently, and it also provides us the opportunity to work towards a more optimal capital structure. As we said in February, our goal is to become approximately net cash neutral over time.
Given our strong confidence in Apple's future and the value that we see in our stock, our board has authorized a new $100 billion share repurchase program, which we will start executing during the June quarter. Considering the unprecedented size of this new authorization, we want to be particularly thoughtful and flexible in our approach to repurchasing shares. Our intention is to execute our program efficiently and at a fast pace. As in the past, we will provide regular updates on our capital return activities at the end of every quarter.
We're also raising our dividend for the sixth time in less than 6 years. As we know, it is very important to our investors' who value income. The quarterly dividend will grow from $0.63 to $0.73 per share, an increase of 16%. This is effective with our next dividend, which the board has declared today payable on May 17, 2018, to shareholders of record as of May 14, 2018.
With over $13 billion in annual dividend payments, we are proud to be among the largest dividend payers in the world, and we continue to plan for annual dividend increases going forward. We will continue to review our capital allocation regularly, taking into account the needs of our business, our investment opportunities and our financial outlook. We will also continue to solicit input on our program from a broad base of shareholders. This approach will allow us to be flexible and thoughtful about the size, the mix and the pace of our program. We expect to provide a new update to our capital allocation plans approximately 12 months from now.
As we move ahead into the June quarter, I'd like to review our outlook, which includes the types of forward-looking information that Nancy referred to at the beginning of the call. We expect revenue to be between $51.5 billion and $53.5 billion. We expect gross margin to be between 38% and 38.5%. We expect OpEx to be between $7.7 billion and $7.8 billion. We expect OI&E to be about $400 million, and we expect our tax rate to be about 14.5%.
With that, I'd like to open the call to questions.",1699
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563519.0,Presenter Speech,Nancy Paxton,,Executives,4,"Thank you, Luca. [Operator Instructions]",5
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563520.0,Question and Answer Operator Message,Operator,,Operator,5,[Operator Instructions] Your first question will come from Shannon Cross of Cross Research.,13
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563521.0,Question,Shannon Cross,,Analysts,6,"I wanted to ask about your thoughts on sort of iPhone and positioning. Now that we're a couple of quarters out from the launch of the iPhone X, given the $1,000 price point, it's clearly selling, but there's been a lot of questions in the market about sustainability of that price point and how you're thinking about it as you go look out sort of holistically across your lineup. So if you could talk a bit about what you're hearing from your customers on that and then I have a follow-up.",91
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563522.0,Answer,Timothy Cook,,Executives,7,"Sure. Shannon, it's Tim. As Luca mentioned earlier, our revenues are up 14% year-over-year on iPhone, and that's a combination of single-digit unit growth and ASP growth that is mainly driven by iPhone X. I think that our iPhone line shows that there's a variety of different customers in a market that is as large as the smartphone market, and so we're going to continue to provide different iPhones to -- for folks to meet their needs. On iPhone X specifically, I think it's important to maybe emphasize again one of the things I mentioned in my opening comments that customers chose iPhone X more than any other iPhone each and every week in the March quarter just as they did following the -- following its launch in the December quarter. Also, since we split the line with the launch of iPhone 6 and 6 Plus back in 2014, this is the first cycle that we've ever had where the top of the line iPhone model has also been the most popular. And so with the customer sat that Luca referenced as well, the 99%, the iPhone X is a beloved product, and so it's -- I think that it's one of those things where like a team wins the Super Bowl. Maybe you want them to win by a few more points, but it's a Super Bowl winner. And that's how we feel about it. I could not be prouder of the product.",244
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563523.0,Question,Shannon Cross,,Analysts,8,"And then, Luca, can you talk about working capital, specifically inventory, which went up pretty significantly quarter-over-quarter? What's driving that? And how are you thinking about -- I mean, it's one of the uses of cash obviously. So how are you thinking about inventory and maybe working capital in general as you're going forward?",54
24937.0,"Apple Inc., Q2 2018 Earnings Call, May 01, 2018",2018-05-01,48.0,Earnings Calls,Apple Inc.,3463.0,1446519.0,57563524.0,Answer,Luca Maestri,,Executives,9,"Yes. Shannon, you know that we've always generated a significant amount of cash through working capital. We've got a negative cash conversion cycle, and we plan to continue to have that. Our inventory level has gone up. It's just a temporary event. We have decided to make some purchasing decision given current market conditions, and that should unwind over time.",60
