companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752917.0,Presentation Operator Message,Operator,,Operator,0,"Good day, ladies and gentlemen. Thank you for standing by, and welcome to AMD's Fourth Quarter and Annual Results Conference Call. [Operator Instructions] As a reminder, this conference call is being recorded. I would now like to turn the conference to our host, Ruth Cotter, Vice President of Corporate Communications and Investor Relations.",53
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752918.0,Presenter Speech,Ruth Cotter,,Executives,1,"Thank you, and welcome to AMD's Fourth Quarter and Year-End Earnings Conference Call. By now, you should have had the opportunity to review a copy of our earnings release and the CFO commentary and slides. If you've not reviewed these documents, they can be found on AMD's website at ir.amd.com.
Joining me on the call today are Lisa Su, our President and Chief Executive Officer; and Devinder Kumar, our Senior Vice President and Chief Financial Officer. This is a live call and will be replayed via webcast on amd.com.
I'd like to take a moment and highlight a few dates for you. Devinder Kumar will present at the Goldman Sachs Technology and Internet Conference on February 10 and at the Morgan Stanley Media and Telecom Conference on March 3. Our first quarter quiet time will begin at the close of business on Friday, March 13, and AMD will host its Financial Analyst Day on May 6 in New York.
Before we begin, let me remind everyone that today's discussion contains forward-looking statements based on the environment as we currently see it. Those statements are based on current beliefs, assumptions and expectations, speak only as of the current date and, as such, involve risks and uncertainties that could cause our actual results to differ materially from our current expectations. Additionally note that non-GAAP financial measures referenced during this call are reconciled to their most directly comparable GAAP financial measure in the press release and CFO commentary posted on our website at quarterlyearnings.amd.com. Please refer to the cautionary statements in today's earnings press release and CFO commentary for more information. You'll also find detailed discussions about our risk factors in our filings with the SEC and, in particular, AMD's quarterly report on Form 10-Q for the quarter ended September 27, 2014. 
Now with that, I'd like to hand the call over to Lisa. Lisa?",312
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752919.0,Presenter Speech,Lisa Su,,Executives,2,"Thank you, Ruth, and good afternoon to all those listening in today. In the fourth quarter, we made good progress diversifying our business into new markets, ramping PC and embedded design wins with key customers and improving our overall balance sheet. This progress was offset by ongoing weakness in our PC business due to higher-than-optimal desktop and AIB inventory levels in the channel and our overconcentration in consumer PCs.
The Computing and Graphics segment revenue decreased 15% sequentially, largely driven by weak channel sales. We took some key actions in the fourth quarter to reposition our product stack and reduce downstream desktop and AIB channel inventory. While these corrective actions are resulting in short-term pressure in the business, they are integral to building a stronger and more profitable business going forward.
We did have some success in the quarter continuing to reshape our OEM business. We drove a richer mix of higher-end products, expanded our presence in the commercial market and increased adoption of our discrete graphics solutions. Mobile APU unit shipments, ASPs and revenue all increased sequentially as our higher-end A8 and A10 APU shipments increased. We also achieved strong double-digit percentage revenue growth for notebook GPUs in the quarter as strategic wins like Apple's iMac with Retina 5K display began to ramp.
We clearly have more work to do to improve the overall revenue and financial performance of this segment. We must apply the same rigor and discipline that led to the improvement in our OEM business to stabilize and then grow our channel. I am confident we are taking the right actions to return this segment to a healthy trajectory starting in the second quarter.
Turning to our Enterprise, Embedded and Semi-Custom segment. As expected, semi-custom unit shipments decreased sequentially as we supplied a significant amount of product to Microsoft and Sony in the third quarter as they ramped to support the holiday demand spike. We are pleased with the full year performance of the Semi-Custom business and the strong sell-through reported by our customers. Nearly 30 million Sony and Microsoft consoles have now shipped. Our semi-custom unit shipments more than doubled in 2014, which fueled excellent full year performance for this part of our business.
Embedded processor revenues also increased for the third straight quarter as we continued to successfully execute our strategy to gain share in targeted vertical markets where our high-performance CPU and GPU IP are differentiated. In target markets such as network storage, avionics and medical devices, we had several customers launch new AMD Embedded powered solutions that take advantage of our higher-performance CPU and GPU IP, including Airbus, QNAP and Analogic. 
Our work to lead the industry's transition to 64-bit ARM also gained momentum in the quarter. We have secured multiple design wins for our upcoming Opteron A-series, and the first systems are expected to launch later this year. 
Taking a step back and looking at our annual 2014 performance, it is clear we made progress across a number of strategic fronts. Annual revenue grew for the first time since 2011. Annual EESC segment revenue increased by 50%, growing to a $2.4 billion business with strong momentum and pipeline. We ended the year with more than $1 billion in cash and making significant progress reprofiling our debt. And most importantly, we delivered full year non-GAAP profitability and continued to build a good foundation for future long-term profitable growth as we invest in the innovations to drive future success.
In my 100 days as AMD's CEO, I've had the opportunity to spend significant time with our customers, partners and employees. The consistent theme is that AMD is at our best when we are delivering differentiated technology and innovation to our customers. There are clearly significant opportunities for us to accomplish this, both in our traditional PC business as well as in new growth markets. But we must think differently in 2015 about our market approach and investment priorities.
First, we see a path to reversing the declines in our PC business. The PC market is expected to stabilize with low single-digit percentage decline in 2015. We have rightsized our investments in this business and taken actions to reduce our downstream channel inventory in the fourth quarter. We will continue these corrective actions into the first quarter to aim for a return to growth starting in the second quarter. We are correcting the inventory position quickly, which is contributing to our revenue guidance in the first quarter. We believe this will position us well when we begin to ramp new products later this year.
We plan to introduce a strong 2015 product portfolio, punctuated by the launch of Carrizo in the second quarter. Consumer and commercial design win momentum for Carrizo continued to gain momentum because it will deliver the largest-ever generational leap in performance per watt for our mainstream APUs. Carrizo is a good example of how the innovations we are making at the chip and system level through differentiated design capabilities translate into meaningful improvements to the user experience and battery life. 
Second, we will increase our R&D investments in Enterprise, Embedded and Semi-Custom. AMD is the only company in the industry that can offer a full continuum of high-performance standard and custom solutions, spanning both the ARM and x86 ecosystems, and we must leverage this position to drive differentiated and innovative solutions for our customers. Our server partners have increasingly told us they want to see AMD playing a much larger part in this business. Although the server design cycle is longer, this is an important vector for long-term revenue and margin expansion, and we are designing new x86 and ARM-based leadership products for this space, powered by our next-generation ARM and x86 cores.
Our third priority will be to continue diversifying our revenue base and growing in new markets. We saw a good momentum with significant revenue and design win growth in 2014 across all of our new businesses. For instance, embedded and professional graphics revenue both increased by more than 20% in 2014. We have a robust pipeline in these businesses as well as with our semi-custom engagements, and we will continue that focus through 2015.
In summary, I am optimistic about our long-term opportunities but realistic about our short-term challenges. In the near term, we will take significant steps to normalize our business as we sharpen our focus on our key priorities of building great products, deepening our customer relationships and simplifying our business. Longer term, we have a tremendous opportunity to apply our technology and IP to differentiate and innovate with our customers and further strengthen our financial foundation and performance.
Now I'd like to turn the call over to Devinder to provide some additional color on our fourth quarter financial performance and first quarter guidance. Devinder?",1130
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752920.0,Presenter Speech,Devinder Kumar,,Executives,3,"Thank you, Lisa, and good afternoon, everyone. In 2014, we improved our non-GAAP financial performance and met the financial goals we laid out at the beginning of the year despite continued weakness in our Computing and Graphics business. Specifically, we've continued to transform and position ourselves for long-term growth, and we delivered our first full year of non-GAAP profitability since 2011. We grew revenue 4% to $5.5 billion for the year and further diversified our business as we completed the first full year of our semi-custom game console shipments and derived approximately 40% of revenues in 2014 from high-growth adjacent markets.
Specifically in 2014, we also reduced non-GAAP operating expenses by 11% from the prior year while investing in our new products in support of our ARM and x86 strategy and growth areas; continued our focus on financial performance and reported non-GAAP net income in every quarter during 2014; delivered positive free cash flow for 2014, excluding the special payment of $200 million made to GLOBALFOUNDRIES early in 2014 related to the 2012 WSA amendment; maintained a strong balance sheet, ending the year with over $1 billion in cash, cash equivalents and marketable securities; and finally, we made significant progress in reprofiling our term debt, pushing out the majority of term debt maturities to 2019 and beyond while also decreasing our interest expense run rate year-over-year.
Moving to the specifics of the fourth quarter where I'll be referencing non-GAAP figures except for revenue, which is on a GAAP basis. Revenue was $1.24 billion, down 13% sequentially and 22% year-over-year, primarily driven by lower desktop processor, GPU and semi-custom SoC sales. 
Gross margin was 34%, down 1 percentage point from the prior quarter. As a reminder, third quarter gross margin of 35% included a $27 million or 2 percentage point benefit from revenue related to technology licensing.
Operating expenses in the fourth quarter were $382 million, down $46 million from the prior quarter, due primarily to reduced employee bonuses, restructuring actions and ongoing expense controls.
Operating income was $36 million, and net income was $2 million, with breakeven earnings per share calculated using 781 million diluted shares.
During the fourth quarter, we had a number of accounting items that I'd like to address. As part of our annual review of goodwill and primarily due to the decline in AMD's stock price, we determined that the total noncash $233 million carrying value of goodwill related to our Computing and Graphics business was impaired. 
We also had a lower of cost or market inventory adjustment of $58 million in the quarter related to our second-generation APU products. We expect to sell this inventory over the next several quarters, and this adjustment aligns the carrying value of the inventory with market pricing. 
Lastly, we had restructuring and other special charges amounting to $71 million, of which $59 million is expected to be paid in cash. This primarily includes the previously disclosed $57 million of restructuring and $10 million related to our former CEO's departure. 
The aforementioned accounting items I excluded from our segment results and I included in the All Other category. They are also excluded from our fourth quarter non-GAAP earnings per share computation.
Net interest expense, taxes and other income was $34 million in the quarter, down from $46 million in the prior quarter, primarily due to the benefit of term debt repurchases of $75 million in the fourth quarter, interest rate swap transactions executed in the third quarter and a tax credit of $3 million.
Adjusted EBITDA was $96 million, down $37 million from the prior quarter. And for 2014, adjusted EBITDA was $505 million.
Now turning to the business segments. Computing and Graphics revenue was $662 million, down 15% sequentially, primarily due to lower desktop processor and GPU sales. Computing and Graphics operating loss was $56 million compared to a $17 million loss in the prior quarter, primarily due to lower channel sales, partially offset by lower operating expenses.
Enterprise, Embedded and Semi-Custom revenue was $577 million, down 11% from the prior quarter, primarily due to a decrease in sales of our semi-custom SoCs. And the operating income of this segment was $109 million, essentially flat from the prior quarter, driven by lower semi-custom product sales, offset by higher royalties.
Turning to the balance sheet. Our cash, cash equivalents and marketable securities balances totaled $1.04 billion at the end of the quarter, up $102 million from the prior quarter. Inventory was $685 million, down $212 million from the prior quarter, including the impact of the lower of cost or market inventory adjustment. Excluding that adjustment, inventory was down 17% quarter-on-quarter. 
Our total purchases from GLOBALFOUNDRIES in 2014 were approximately $1 billion, lower than the previously estimated $1.2 billion, due to lower fourth quarter purchases. The fourth amendment to the WSA is complete with no associated special payments or penalties. We are currently negotiating our 2015 WSA amendment, in line with our business expectations. 
Debt as of the end of the quarter was $2.2 billion. During the quarter, we repurchased an aggregate amount of $75 million of 2020 and 2022 term debt in the open market, paying approximately 96 cents on the dollar and funded these with our asset-backed line of credit, which carries a significantly lower interest rate.
Free cash flow in the fourth quarter was $94 million, an improvement of $105 million from the third quarter of 2014.
Before turning to the outlook, let me highlight that as of the first quarter of 2015, in line with many of our technology peers and more reflective of our ongoing operations, we will be excluding approximately $20 million per quarter of employee-related stock-based compensation from our non-GAAP financial results.
As outlook for the first quarter of 2015, AMD expects revenue to decrease 15% sequentially, plus or minus 3%. Gross margin is expected to be approximately 34%. Non-GAAP operating expenses are expected to be approximately $350 million, excluding approximately $20 million of stock-based compensation as per our revised non-GAAP definition; interest expense, taxes and other to be approximately $48 million; and inventories expected to be essentially flat from fourth quarter levels.
As outlook for the full year 2015, we expect to be profitable on a non-GAAP basis; non-GAAP operating expenses to be between approximately $340 million to $370 million per quarter, in line with expected revenue profile; taxes of approximately $3 million per quarter; cash, cash equivalents and marketable securities balances to be in the optimal zone of $1 billion; capital expenditures of approximately $100 million; and inventory to be approximately flat year-over-year.
In closing, as we begin a new year, we look forward to overcoming our short-term challenges by stabilizing our Computing and Graphics segment and continuing to improve long-term financial performance by diversifying our business and driving toward profitability while maintaining a healthy balance sheet.
With that, I'll turn it back to Ruth. Ruth?",1144
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752921.0,Presenter Speech,Ruth Cotter,,Executives,4,"Thank you, Devinder. Operator, we'd now like you to poll the audience for questions, please.",15
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752922.0,Question and Answer Operator Message,Operator,,Operator,5,[Operator Instructions] And our first question comes from Harlan Sur of JPMorgan.,12
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752923.0,Question,Harlan Sur,,Analysts,6,"On the Q1 revenue guidance, can you just provide us with a bit more color for the 15% sequential revenue decline? How much of the revenue decline is due to continued channel inventory work-downs in your Computing and Graphics segment versus continued game console seasonality in your Embedded and Semi-Custom segments? What I'm trying to figure out is if both segments are going to be down double digits sequentially or is one going to drive more declines than the other.",80
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752924.0,Answer,Lisa Su,,Executives,7,"Yes, Harlan. So thanks for the question. Let me give you some color on that. So if you take typical PC seasonality would be about minus 7% or so, and typical game console seasonality is probably a little bit more than that. What we said in the prepared remarks is that we are taking an opportunity to correct the channel inventory in Computing and Graphics. So overall, down minus 15%, that is more heavily weighted towards Computing and Graphics than towards Enterprise, Embedded and Semi-Custom.",85
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752925.0,Question,Harlan Sur,,Analysts,8,"Okay. And then on the Embedded segment, which grew nicely in Q4 and for all of 2014, as you think about your pipeline in 2015, does the team expect Embedded will continue to grow by double digits year-over-year? And if so, what end markets will be the biggest contributors to that growth?",52
168864.0,"Advanced Micro Devices, Inc., Q4 2014 Earnings Call, Jan 20, 2015",2015-01-20,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3422.0,747315.0,32752926.0,Answer,Lisa Su,,Executives,9,"Yes. So if you look at the overall Enterprise, Embedded and Semi-Custom business, it was very good for us in 2014. I'm actually quite pleased with the progress. Certainly, the majority of that was the semi-custom or game console unit shipments, which increased significantly. We did also see, as we said, improvements in the Embedded business, and that grew over 20%. As we go into 2015, it's a little bit early for full year guidance. But I think we would say that we would expect Embedded to continue to grow. I think on Semi-Custom, we believe that units will grow as they typically do in the third year of the console ramp, and exactly what that will amount to will depend on how the market behaves in 2015.",128
