companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230914.0,Presentation Operator Message,Operator,,Operator,1,"Ladies and gentlemen, thank you for standing by. Welcome to the ASML 2011 Fourth Quarter and Annual Results Conference Call on January 18, 2012. For our today's introduction, all participants will be in a listen-only mode. After ASML's introduction, there will be an opportunity to ask questions. (Operator instructions). 
I would now like to turn the conference over to Mr. Craig DeYoung. Please go ahead, sir.
",66
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230915.0,Presenter Speech,Craig DeYoung,,Executives,2,"Thank you, Peter, and good afternoon and good morning, ladies and gentlemen. This is Craig DeYoung, Vice President of Investor Relations here at ASML. I'd like to welcome you to our investor call and webcast. As the operator mentioned, the subject of today's call is ASML's 2011 fourth quarter and annual results. Co-hosting today's call here from our headquarters in Veldhoven, Netherlands is Mr. Eric Meurice, ASML's CEO and Mr. Peter Wennink, ASML's CFO.
At this time, I'd like to draw your attention to the Safe Harbor statement contained in today's press release and in our fourth quarter and annual results presentations, both of which can be found on our website at asml.com. The Safe Harbor statement will apply to this call and to all associated presentation materials. The length of the call will be 60 minutes.
And now I'd like to turn it over to Eric for a brief introduction.
",151
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230916.0,Presenter Speech,Eric Meurice,,Executives,3,"Yes, thank you, Craig. Good afternoon, good morning, thank you attending our fourth quarter and annual results conference call. Before we begin the Q&A session, Peter and I as usual would like to give you an overview on the fourth quarter and provide a view forward as much as we can. As usual, Peter will start with a review of the financial performance and I will comment on the short-term outlook and will complete the introduction with some commentary on our immersion and EUV product strategy and status.
So, please, Peter?
",91
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230917.0,Presenter Speech,Peter Wennink,,Executives,4,"Thank you, Eric and welcome to everyone. Firstly I would like to take this moment to recognize our record sales and profit year in 2011 where we posted close to €5.7 billion of sales and net income of 26% of that sales number. Clearly, a very good year.
Our fourth quarter sales came in at €1.2 billion. While the third quarter sales were evenly distributed across industry sectors, the fourth quarter sales were skewed significantly towards the foundry sector with 55%, with the balance spread equally across the memory sectors, NAND 22% and DRAM 19%. Although units shipped favored ArF immersion, non-critical KrF unit shipments were still significant, which indicates capacity additions in some industry segments.
We recognized 23 immersion systems in the quarter leading to a total of 101 immersion systems sold throughout the year of which 78 were our most advanced TWINSCAN NXT-1950 immersion tools. The average selling price of all systems shipped in the fourth quarter was €24.2 million, which is an increase of €1 million per unit versus the third quarter.
Service and field option sales for the quarter came in at a record €218 million, but that was difference by a significant adoption of performance enhancing field options. We also recognized the sale of one EUV system for a total amount of €39 million.
So at the end of the year earnings per share was for 2011, €3.45, which represents a 47% increase versus the €2.35 in 2010.
Updating our previously announced share buyback program, as of December 31, 2011, ASML had repurchased 25.7 million shares for a total amount of €700 million, giving an average buyback price of €27. Of the shares repurchased, 13.2 million have already been canceled in 2011 with the remainder to be canceled in 2012. At the end of the fourth quarter, we had €2.7 billion in cash.
Regarding further cash returns, it's our intention that pending shareholder approval to increase our annual dividend by 15% to €0.46 per share and to increase the size of the current buyback program to €1.130 billion to take advantage of the maximum amounts which are available for dividend withholding tax-exempt share buybacks in 2012. This increase, together with the shares we will buyback to cover our employee share plans, allows us to buyback a total amount of €500 million, which in addition to the dividend announcement adds up to €700 million of potential returns to our shareholders. On top of this amount, the Company still has a capacity of more than €1 billion with which we can do a synthetic share buyback similar in style to the one we did in 2007.
Q4 net bookings came in at 37 systems valued at €710 million. Booked ASPs declined from €22 million in Q3 to €19 million in Q4, but that was due to a product mix shift.
Our fourth quarter bookings profile changed significantly, with foundry increasing to 71% of total, followed by NAND Flash at 22% and IDMs at 15%. DRAM actually had negative bookings as we de-booked two systems for €64 million in total. One system was canceled and one was rebooked to NAND.
Our order backlog exiting the year was €1.7 billion, totaling 71 systems with an average selling price of €24.4 million, and the backlog profile at year-end changed significantly as the combined memory continued on a downward trend to only 27% of the backlog versus 41% at the end of the third quarter.
As to the outlook, we feel comfortable guiding our sales level as far as we have reasonable visibility. That is why at this time last year we guided with a 12 months view. Currently that view is six months and based on this, we expect the sales level for the first half of 2012 to be €2.4 billion. Together with our year-end backlog, we expect orders in the first half to adequately cover the sales expectation.
System demand is currently strongly driven by Logic manufacturers needed to shrink beyond the 30 nanometer node for enhanced product performance while building critical mass capacity at those nodes in a growing competitive environment.
As to the NAND segment, the forecasted bit growth for 2012 fuels our expectation that the NAND sector will be able to continue their aggressive shrink while adding required rate of capacity during 2012.
The DRAM market is currently experiencing a very difficult environment as evidenced by the share of DRAM customers in our backlog. However, if the current forecasted demand for bit growth in 2013 comes through, lithography demand will very likely follow which could potentially happen towards the end of this year in preparation for that demand.
Sales for the first quarter are expected to come in at around €1.2 billion. The gross margin these revenues will have will be about 43%. R&D expenses in Q1 will moderate a bit to €145 million as we drive greater efficiency while giving complete and continued support to our dual product leadership strategy. Efficiency gains will also decrease SG&A to about €54 million in the quarter.
With that, I would like to turn it back over to you Eric.
",852
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230918.0,Presenter Speech,Eric Meurice,,Executives,5,"Thank you, Peter. As Peter mentioned, 2011 was a record year for ASML and 2012 opens with a very solid first half. This success confirms the robustness of the fundamentals of the lithography business and the value of technology leadership to sustain this robustness.
As articulated during our last quarter results call, two technologies will be enabling the next generation of semiconductor technologies, multiple patterning using immersion on hand and EUV on the other. Both technologies will cohabit for a while, as the transition to EUV will be gradual. At some point, which last call we described that being beyond 15 nanometer to 20 nanometer in the DRAM business, beyond 10 nanometer to 15 nanometer in NAND and Logic. And so at this point, the immersion technologies will have a hard stop for use on critical layers. Until then, multiple patterning and EUV will coexist indeed with a mix depending on every critical layers complexity and respective manufacturing cost.
Most customers are therefore proceeding with parallel process developments preparing some layers to be either processed with immersion technology or with EUV, thus having the security of a known technology as a backup and having full use of the installed base while preserving the enabling capability and cost effectiveness of EUV.
ASML will support this gradual EUV ramp with an aggressive dual product strategy, continuous innovation on our immersion platform concurrent with the development of the EUV platform itself.
Regarding immersion, we have completed the qualification of our second generation NXT which will set a new throughput and overlay benchmarks respectively 200 wafer per hour plus and 4 nanometer on product overlay. We are also strengthening our suite of holistic lithography software and hardware products to enable process windows enlargement, process drift management and machine matching. We are planning the introduction of our third generation NXT at the end of 2012 with the next level of performance throughput and overlay. 
Regarding EUV, as you know, we've shipped six EUV pre-production NXE-3100 system and integration has begun on the 3300 production too, slated for delivery starting in H2 2012. We can claim today two significant accomplishments in EUV. First, we have stabilized the throughput of the current NXE-3100 in the field to about five to seven wafers per hour, thus enabling the customer recipe development and infrastructure qualification, particularly in mass making. More than 5,000 wafers have now been processed and customers have imaged down to 16 nanometer with a single exposure capability, accumulating therefore valuable experience in a number of cycles of learning.
The second achievement in this space, we have made progress on the different work packages advancing the development of the source and have been able to address and fix the number of technology limiters. We confirm our roadmap therefore to achieve proof of stable throughput of 60 wafer per hour in the field in the summer of 2012, and 125 wafer per hour, which is our target, a year later. We have started the process of order taking of the next batch of system, a process that we hope to close by June. The systems of this next new batch of orders will add to the 11 systems that we have already booked.
As also mentioned a number of times, ASML revenues opportunity in selling EUV technology or the alternative multiple patterning immersion technology or a mixture of both technologies for different layers as we mentioned, will be similar during the transition period, and therefore, we put equal emphasis on both technologies allowing our customers to choose the most appropriate technology for their respective lithography layers.
In summary, we are encouraged by the insight that we have gained on the first half of 2012 and allow us to sustain a large quarterly R&D investment, which in turn will support our secular growth well into the future.
With this, Peter and I would be pleased to take your questions.
",650
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230919.0,Presenter Speech,Craig DeYoung,,Executives,6,"Thank you, Eric and Peter. Ladies and gentlemen, the operator will instruct you momentarily on the protocol for the Q&A session, but beforehand, I'd like to ask you to kindly limit yourself to one question with one short follow-up if necessary. This will allow us to get to as many callers as possible. Now, operator, if we can have your instructions and then the first question, please.

",67
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230920.0,Question and Answer Operator Message,Operator,,Operator,7,"Thank you Mr. DeYoung. Ladies and gentlemen, at this time we will begin the question-and-answer session. (Operators instructions). The first question comes from Mr. Gunnar Plagge. Please state your company name followed by your question. 
",35
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230921.0,Question,Gunnar Plagge,Citigroup,Analysts,8,"Yes, hello. Thanks for taking my question. It's Citi. I was just wondering whether you guys could give us a little bit more color on 2012. I mean, fundamental demand seems pretty strong, I mean 12 months ago, although I admit in a different macro context, we were talking about €5.5 billion sales. Maybe this year we have very aggressive order behavior and we have EUV shipments kicking in the second half. So I was just wondering, to what extent could H2 be flat or maybe even slightly up on H1 and if you can comment on that?
",98
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230922.0,Answer,Peter Wennink,,Executives,9,"Yeah. I think there is of course a reason why we stick to the six months, because we have visibility to the six months. And the reason is that, basically what we do here, we have a top-down simulation based on forecasted growth numbers from some of the analysts companies like iSupply and then we do a simulation which is top-down. We corroborate that with the bottom up that customers are giving us and when that is within a reasonable range of each other, then we feel comfortable enough to go out and to give you guidance. This is what we did last year. So that actually customers gave us 12 months. So we could collaborate this and gave you 12 months. Now what we are doing, of course, the market is a bit more uncertain. I talk about the macro economics; so customers gave us six months. We can collaborate six months and this is what we do. So not more color in that sense. 
The only thing is and that is what I repeat what I said in my introductory statements is that when we look at the order backlog, it is more skewed towards Logic which actually means that Logic will be an important element for us to ship in the first six months. NAND still for 2012 shows good bit growth numbers, which actually needs to be supported. We know they shrink roadmaps and you could say the outlier is a bit that DRAM market today because it's not good. But now clearly we have then had 2011 and 2012 as not very good DRAM years and what we are currently seeing in terms of expectation of bit growth in 2013 for DRAM is actually quite significantly up. That needs to be supported, so I would say that is an opportunity. I think that is - but that opportunity is clearly not for the first six months. I think that is kind of the color which I would like to give you and stay with that because we simply don't know more.
",346
388904.0,"ASML Holding NV, Q4 2011 Earnings Call, Jan 18, 2012",2012-01-18,48.0,Earnings Calls,ASML Holding N.V.,2712.0,208298.0,12230923.0,Question,Gunnar Plagge,Citigroup,Analysts,10,"Okay, thanks. And maybe as a follow-up, I think your main competitor recently extended their modern wafer stage handling system from cutting edge to capacity tools and I was just wondering to what extent you would expect an impact on your capacity tool opportunities going forward and to what extent this reflects also more mature handling system from your competitor compared maybe to your TWINSCAN system? Thank you.
",68
