companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892703.0,Presentation Operator Message,Operator,,Operator,0,"Welcome to the Applied Materials Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded today, February 16, 2012.
Please note that today's call will contain forward-looking statements, which are all statements other than those of historical fact, including statements regarding Applied's performance, industry outlook, opportunities, customer spending, market position, cost control, capital allocation and Q2 of fiscal year 2012 business outlook.
All forward-looking statements are subject to known and unknown risks and uncertainties that could cause actual results to differ materially from those expressed or implied by such statements. Information concerning these risk factors is contained in today's earnings press release and is in the company's filings with the SEC. Forward-looking statements are based on information as of February 16, 2012, and the company assumes no obligation to update such statements.
Today's call also contains non-GAAP financial measures. Reconciliations of the non-GAAP measures to GAAP measures are contained in today's earnings release or in the financial highlight slides, which are on the Investors page of our website at appliedmaterials.com.
I would now like to turn the call -- conference over to Michael Sullivan, Vice President of Investor Relations. Please go ahead, sir.",196
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892704.0,Presenter Speech,Michael Sullivan,,Executives,1,"Thank you, Rachel, and good afternoon. Joining me today are Mike Splinter, our Chairman and CEO; George Davis, our Chief Financial Officer; and Joe Sweeney, our General Counsel and Corporate Secretary.
Today, we'll discuss the results for our first quarter, which ended on January 29. Our earnings release was issued just after 1:00 p.m. Pacific Time and you could find a copy on our website, appliedmaterials.com. Also on the website is our quarterly financial highlights presentation which provides additional details. Mike Splinter will lead off the call with comments about the industry environments as well as our performance and plans. Next, George will discuss our financial performance for the quarter, along with our business outlook.
Before we begin, I have a calendar announcement. Applied invites you to attend our 2012 Investors and Analyst Meeting in New York City on Wednesday, March 28. At the event, you'll have a chance to meet the executive team, get an update on all of our businesses and take a deep look into emerging technologies during our afternoon breakout sessions. The registration site is open now and we hope to see many of you in 6 weeks.
And with that introduction, I'd now like to turn the call over to Mike Splinter.",207
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892705.0,Presenter Speech,Michael Splinter,,Executives,2,"Thanks, Mike, and good afternoon to everyone on the call today. On behalf of Applied Materials, I would like to convey our condolences to Steve Appleton's family and our colleagues at Micron. Steve's leadership in the semiconductor industry will be greatly missed.
Now let me comment on Applied Materials' performance and our industry outlook. I'm pleased to report that Applied started 2012 with a strong first quarter, posting revenue and earnings that exceeded the high-end of our ranges. Global demand for mobile electronics is driving strong capital investments by semiconductor customers, resulting in solid order momentum and higher expectations for our second quarter. The rate of technical change continues to accelerate in all of our markets and leading-edge technology investment remains a priority for our customers.
In early November, we completed our acquisition of Varian, and welcomed their talented team into the Applied Materials family. Bringing these 2 leaders together comes at a critical time as the industry accelerates its advanced transistor roadmap. Our combined capabilities in Epi implant and thermal processing enabled new opportunities to provide customers with high-value solutions for the next generations of high performance energy-efficient transistors.
Let me now turn to the economic outlook. Since the start of the year, we have seen improvements in a number of macroeconomic indicators. While the ongoing recession and increased austerity in parts of Europe remain a concern, we believe the global economic environment will support healthy spending by consumers and businesses.
I'll now provide an update for each of our segments. In semiconductor, 2012 is shaping up to be the year of the foundry. The mobility trend is driving growth and in the fourth calendar quarter, smartphone unit sales surpassed PCs for the first time. We expect between 600 million and 700 million smartphones to be sold in 2012, an increase of 35% year-on-year. In addition, we believe the tablet market will grow by more than 60% this year on top of 65 million units sold in 2011.
Smartphones and tablets are driving demand for application processors and as these processors become increasingly sophisticated, we are seeing a significant increase in die sizes. As a result, foundries are aggressively investing as they ramp production at the 3x and 2x nodes.
Applied is favorably exposed to foundry investment. In our first quarter, we saw 75% increase in revenue from these customers and expect sequential growth of over 40% in our second quarter, driven by record quarterly sales in our front-end products, metal deposition products and implant.
Mobile devices are also driving NAND bit growth rate, which is expected to exceed 70% this year. As a result, NAND manufacturers are investing in new capacity and moving to the 2x and 1x nodes. We believe PCs will be the primary beneficiary of improvements in the macroeconomic outlook. The new ultrabook categories in Windows 8 have the potential to drive a PC refresh cycle and spur growth in the second half of the year.
Oversupply in DRAM continues, with manufacturers able to meet the 30% to 40% bit growth that is expected in 2012 by migrating existing lines to advanced nodes. As a result, we expect another year of low-DRAM investment, although we do expect spending to be modestly higher in the second half.
Wafer fab equipment spending for 2011 exceeded our forecast ending the year at approximately $35 billion. Lithography investment reached record highs last year, as memory makers implemented device shrinks by upgrading lines with immersion systems.
As we look at 2012, we expect another solid year for capital equipment spending and currently estimate wafer fab equipment will be in the range of $30 billion to $35 billion or flat to down 15%. 2011 was a strong year for our inspection, transistor, deposition and electroplating businesses, and we expect to see share gains in all of these areas. However, 2011 was a down year for our share in etch and CMP, primarily due to spending mix.
Over the past 4 quarters, we have increased the number of tools under service contracts in Asia by over 20%, and as we progress with the Varian integration, we see opportunities to expand our implant-related services in the region.
During the quarter, we launched 2 new CVD applications on the producer platform, enabling enhanced device performance for our customers and adding to our served market. We also released the fifth generation of SEMVision, our industry-leading defect review system. As the industry’s 450-millimeter roadmap becomes clearer, we continue to work closely with our customers and focus on developing early test wafer systems.
In Display, the low absolute level of orders show that we are continuing a long bottom of the current down cycle. TV unit shipments grew modestly in 2011, and holiday sales were encouraging, helping to reduce inventories and close the gap between capacity and demand. However, we do not anticipate significant new investments in television-related capacity until late in 2012.
In order to reduce our breakeven point, we've implemented a range of spending controls while continuing to invest in targeted product development. Our customers are starting to transition new technologies into volume production, specifically metal oxide transistors and low-temperature polysilicon for OLED and high-resolution LCDs. We expect these next-generation factories to increase the served available market for our CVD and PVD products by over 30%.
In solar, end market demand exceeded all expectations in 2011, with installations ending the year in the 26- to 28-gigawatt range. This was driven by an acceleration of panel consumption in Europe late in the year, combined with strengthening demand in China, Japan and the United States. Germany alone installed 4 gigawatts in the last 3 months of the calendar year. We expect strong end market growth to continue and anticipate 2012 installations to be in the range of 28 to 35 gigawatts.
In 2011, we capitalized on the industry's rapid capacity expansion, gained market share and delivered strong operating performance. While the industry is currently in a period of capacity digestion, several top-tier manufacturers have been running their factories at close to full utilization. We are also seeing unnecessary rationalization of capacity, as less competitive players consolidate or exit.
Given the depth of this downturn and equipment demand, we are taking significant steps to reduce our cost structure in EES. However, we remain confident in the long-term potential of this business. Cell efficiency is becoming increasingly important for customers and as new technology is adopted, we expect to see an increase in demand for our leading-edge products as some portion of the industry's current capacity becomes obsolete.
In summary, Applied began 2012 with a strong first quarter, and we enter our second quarter with order momentum, driven by our semiconductor businesses. Visibility for the second half of the year is limited, but we're optimistic about 2012 and expect the third consecutive year of wafer fab equipment spending above $30 billion.
Now let me hand the call over to George for additional comments on our performance and outlook. George?",1160
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892706.0,Presenter Speech,George Davis,,Executives,3,"Thank you, Mike, and thank you all for joining us on the call today.
For the first quarter of fiscal 2012, Applied delivered revenue of $2.2 billion and non-GAAP earnings per share of $0.18, both above the high-end of our outlook, led by strong net sales in our Silicon Systems business. The results included Varian's financial for the fourth quarter, which contributed net sales of $202 million and approximately $0.013 in non-GAAP earnings per share.
Applied's orders in the first quarter increased by 26% to $2 billion, as an increase in SSG orders offset softness in AGS and a weak environment for EES and Display. Our backlog decreased by 10% to $2.2 billion. The decrease reflected a 0.92 book-to-bill ratio and negative backlog adjustments of $146 million, partially offset by $94 million in Varian backlog acquired. The negative items consisted of $99 million in financial debookings with the balance from cancellations and foreign exchange effects. Financial debookings are made when the expected delivery date for an existing order moves beyond our 12-month policy window. Our non-semi businesses accounted for over 75% of the negative adjustments.
Net sales were flat at $2.2 billion, exceeding the high-end of our outlook of down 5% to 15%, primarily due to SSG performance. Non-GAAP gross margin was 40.7%, up 1.2 points sequentially, driven by higher mix of SSG revenue that was partially offset by a $31 million inventory adjustment in EES. Non-GAAP gross margins excluded the effects of Varian acquisition adjustments, which I will take a moment to explain.
In accordance with purchase accounting rules, Varian's balance sheet was adjusted to fair market value with inventory essentially written up to sales price. This adjustment, along with the amortization of intangibles, was reflected in cost of sales. The adjusted inventory is expected to be consumed by the end of our second fiscal quarter. Varian acquisition-related charges in Q1, including the purchase accounting adjustments, deal cost and integration costs, were $153 million, of which, $96 million were reported in cost of sales and $57 million were included in operating expenses.
We are very focused on exceeding our synergy goal of $50 million to $60 million by the end of year 2. Our efforts since the close have been productive and we believe we will exceed the high-end of our 2-year target and will reflect more than 50% of our announced savings in our fiscal year-end run rate.
Our non-GAAP operating expenses were $546 million, slightly better than the low-end of our target range due to favorable onetime items and spending controls across the company. We expect our non-GAAP OpEx in Q2 to be $565 million, plus or minus $10 million, with higher investment in Silicon Systems and lower shutdown savings, being mostly offset by lower spending in our non-semi businesses.
Cash and investments ended the quarter at $3 billion, down $4.2 billion from Q4, reflecting cash from operations offset by the Varian purchase and $304 million in cash returned to shareholders in dividends and share repurchase. 
Operating cash flows were $181 million or 8% of net sales. The cash flows reflect the impact of certain Varian closing and initial integration costs, continuing decreases in customer deposits in non-semi as we draw down deferred revenue and our annual variable compensation payout. We expect a strong recovery in cash from operations in the second quarter.
Our capital allocation priorities are to make organic and inorganic investments that provide attractive long-term returns. We are also committed to increasing the dividend, in line with the growth of the business, and to utilizing share repurchases as the preferred means of returning excess cash after investment and debt service. Dividend payouts in the quarter were $104 million, and we used $200 million to purchase 18.3 million shares at $10.95 per share.
Next, I will comment on our operating segments. Silicon Systems Group orders were up 53% to $1.4 billion, reflecting demand from foundry and NAND customers. Net sales increased 26% to $1.3 billion, above the high end of our expectations, led by a more than 75% increase in our revenues from foundry customers and growth in memory-related sales. Customer concentration remained high with 3 customers accounting for approximately 70% of revenue. The non-GAAP operating margin increased to 28.7% and operating margin dollars grew by 36%, reflecting the addition of Varian's equipment business.
In Applied Global Services, orders were down 8% to $517 million, driven by low customer factory utilization levels. We anticipate these levels to gradually improve throughout the year. Net sales in AGS of $534 million were at the midpoint of our outlook of down 10% to 20%. As a reminder, our lower guidance anticipated the absence of $71 million in some fab revenues that were reported in the previous quarter. Non-GAAP operating margin dropped to 21.2% on lower revenue.
In Display, orders increased modestly to $40 million. Net sales were down 39% to $104 million, in line with the downturn. Tight spending controls enabled the group to achieve a non-GAAP operating margin of 7%. In EES, orders declined to $33 million and net sales declined 34% to $207 million. Non-GAAP operating margin was negative 8.2% on lower revenue and an inventory adjustment of $31 million.
We have taken several cost actions in EES to date including workforce reductions, shortened workweeks, product program rationalization and spending controls. Over the past few quarters, operating expenses have been reduced by approximately 20%, and we have removed over 50% of our manufacturing cost structure. Given the uncertain period to an uptick in demand, we are continuing to look for additional cost-saving opportunities in order to further lower breakeven levels. We'll provide an update of these actions at the Investor Analyst Meeting in March.
Now I will cover our targets for what is shaping up to be a very strong second quarter, led by our semiconductor businesses. We expect SSG net sales to be up 15% to 25% due to strong sequential growth in foundry spending. In AGS, we expect net sales to be up 5% to 10%, driven by improving customer utilization levels. In Display, we believe net sales will be in the range of flat to down 25% off a low base, as the industry continues to absorb overcapacity. In EES, we expect net sales to be down greater than 40% due to continuing soft demand and the drawdown of backlog and deferred revenue. We expect our overall net sales to be up 5% to 15%, and we expect our non-GAAP earnings per share to be in the range of $0.20 to $0.28 per share, reflecting the positive effect of higher semiconductor revenues on our margin structure.
Now Mike, let's open the call for questions.",1111
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892707.0,Presenter Speech,Michael Sullivan,,Executives,4,"Thanks George. [Operator Instructions] Rachel, let's, please, begin.",8
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892708.0,Question and Answer Operator Message,Operator,,Operator,5,[Operator Instructions] Your first question comes from Stephen Chin with UBS.,11
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892709.0,Question,Stephen Chin,,Analysts,6,"Question on the equipment [ph] order momentum here, that you mentioned, Mike. The foundry and NAND orders were very strong in the first quarter. Are you managing the company to see those orders sustainable in the near-term or is there kind of a normal digestion period that you're expecting to play out?",52
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892710.0,Answer,Michael Splinter,,Executives,7,"Thanks, Stephen. If we really look at the first half, we think certainly with the visibility that we have so far, we think that they'll be sustainable through the first half of the year. I think the question for the second half of the year is we see that NAND spending will continue to rise in the second half of the year, and it's just a question of how much foundry will soften if it softens during that period.",79
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892711.0,Question,Stephen Chin,,Analysts,8,"And as a quick follow-up on the EES operating breakeven level, do you have an estimate, George, of where we can think about the breakeven level being for the EES division going forward?",34
251230.0,"Applied Materials Inc., Q1 2012 Earnings Call, Feb 16, 2012",2012-02-16,48.0,Earnings Calls,"Applied Materials, Inc.",3652.0,282268.0,13892712.0,Answer,George Davis,,Executives,9,"Yes. Thanks, Stephen. The breakeven level coming into the year was about $800 million. And with the actions that have been taken so far, probably see about $100 million come out of that today. And we'll -- again like I said, we'll cover at the March Investor Meeting, we'll update our progress on that.",54
