companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083553.0,Presentation Operator Message,Operator,,Operator,0,"Good afternoon. My name is Huey, and I'll be your conference operator for today. At this time, I'd like to welcome everyone to AMD's First Quarter 2012 Earnings Conference Call. [Operator Instructions] As a reminder, this conference is being recorded today. 
I would now like to turn the call over to Ms. Ruth Cotter, Vice President of Investor Relations for AMD. Please go ahead.",64
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083554.0,Presenter Speech,Ruth Cotter,,Executives,1,"Thank you, and welcome to AMD's First Quarter Earnings Conference Call. By now, you should have had the opportunity to review a copy of our earnings release and the CFO commentary. If you've not reviewed these documents, they can be found on AMD's website at quarterlyearnings.amd.com.
The participants on our call today are Rory Read, President and Chief Executive Officer; and Thomas Seifert, our Senior Vice President and Chief Financial Officer of AMD. This is a live call and it will be replayed via webcast on amd.com. The replay will be available for the next 10 days starting later this evening.
Before we begin today, I'd like to highlight a few dates of interest for you. Mark Papermaster, our Senior Vice President and Chief Technology Officer, will present at the Jefferies Global Media and Telecom Conference on May 7 in New York. Thomas Seifert will present at the Bank of America Merrill Lynch Technology Conference in San Francisco on the 8th of May. Rory Read will present at the JPMorgan Technology, Media and Telecom Conference in Boston on May 15. And our second quarter quiet time will begin the close of business on Friday, June 15.
Lastly, we intend to announce our second quarter earnings on July 19.
As a result of the 2012 amendment to the Wafer Supply Agreement with GLOBALFOUNDRIES, as of March 5, 2012, AMD no longer has equity ownership in GLOBALFOUNDRIES.
I'd like to take this opportunity to remind everyone that today's discussion contains forward-looking statements based on the environment as we currently see it. Those statements are based on current beliefs, assumptions and expectations, speak only as of the current date, and as such, includes risks and uncertainties that could cause actual results to differ materially from our current expectations. Please refer to our press release for more information on the specific risk factors that could cause actual results to differ materially from our current expectations. You'll also find detailed discussions about such risk factors in our filings with the SEC, and in particular, AMD's annual report on Form 10-K for the year ended December 31, 2011. Finally, any non-GAAP financial measures or references on this call are reconciled in the CFO-written commentary posted on our website.
Now with that, I'd like to hand the call over to Rory. Rory?",385
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083555.0,Presenter Speech,Rory Read,,Executives,2,"Thank you, Ruth. Q1 was a solid quarter for AMD. We made good progress improving our execution, becoming more consistent and building trust with our customers and partners. We have taken steps to position the company to seize the opportunities in front of us, both in the high-growth markets and in the product categories, where our innovative technology provides us with leadership opportunities.
Our improved execution resulted in better-than-expected revenue of $1.59 billion for the seasonally down first quarter, a 6% sequential decrease and a 2% decrease year-over-year. First quarter non-GAAP income was $92 million. This is a 64% improvement from the year-ago period, which was driven by gross margin improvements resulting from a richer product mix and operational efficiencies.
A steady supply of 32-nanometer products allowed us to meet our customer commitment in the quarter. Consistent execution that builds trust with our customers remains the fundamental part of our near-term growth strategy. We are also pleased with our 28-nanometer graphics product ramp. We met our new product introduction commitments in the quarter and we are now the only company offering a top-to-bottom family of 28-nanometer discrete desktop GPU offerings. Customer demand for these industry-leading graphic products is strong.
Adoption of our APUs continues to accelerate. APUs account for nearly 100% of our mobile unit shipments in the quarter, helping drive an approximate 30% increase in mobile processor unit shipments and significant mobile revenue growth from a year ago.
We saw a strong success in the critical 400 to 700 mainstream retail notebook price band, which accounts for nearly 50% of all notebooks sold in retail in 2011. For example, the best-selling premium notebook SKU of the first quarter at Best Buy was in fact powered by our AMD AA APU.
Our next-generation Trinity APU for mainstream notebook extends our leadership opportunity in this large and growing price band. Trinity improves on virtually every aspect of our current A-Series APUs while doubling the performance per watt. By integrating a discrete level GPU into the die, Trinity enables outstanding video and gaming experiences with superior battery life. Trinity is a great value, excelling at running the types of software increasingly used by our consumers buying these mainstream notebooks. We are successfully ramping production of Trinity APUs as customers prepared to launch a record number of AMD notebook designs beginning this quarter. 
Our momentum with Brazos continued in the quarter as well, helping drive a double-digit percentage increase in emerging market revenue from the period one year ago. Brazos delivers an unmatched value proposition and experience for consumers in these emerging markets.
The introduction of Brazos 2.0 this quarter builds on the momentum. Thanks to many new features and improved performance and extended battery life, we have made it easy for customers to take advantage of these advancements by simplifying platform transitions and reducing their time to market. Trinity and Brazos 2.0 systems will be available globally this quarter and we expect broad availability for the key back-to-school period.
Our Server business continues to make steady progress. We achieved our third consecutive quarter of server processor unit shipment growth, driven by increased adoption of our Bulldozer-based offerings. For the first time, Bulldozer processors accounted for more than 50% of server revenue and unit shipments in the quarter. We are strengthening our server customer relationships, refining our capabilities and methodically laying the foundation required to build long-term growth and leadership. We are fully committed to build this business step-by-step over the long term. 
We accelerated our disruptive server strategy in the quarter with the acquisition of SeaMicro. This acquisition positioned AMD to take the leadership position in the fast-growing cloud data center market and sets the stage for AMD to provide unmatched low-power, high-bandwidth server solution that expands our market opportunity. This is an exciting area of the business that I look forward to discussing more in future calls.
In Graphics, solid demand for our next-generation AMD Radeon 7000 graphic cards, particularly in the channel, grew sequential GPU revenue increases. We are focused on growing the profitability of our Graphics business by attacking and winning more channel business. We will introduce our first 28-nanometer notebook discrete graphics chips this quarter. And we expect to quickly transition the majority of our product mix to these industry-leading products.
So in summary, we're excited about the opportunities in front of us. And we know we have the right ingredients to win and grow. First, we're refreshing our entire portfolio of APO offerings, strengthening our growth opportunity in high-volume segments and fast-growing markets. Next, we have amended our Wafer Supply Agreement with GLOBALFOUNDRIES to create a win-win business arrangement. We are also seeing continuous improvement in 32-nanometer yields, helping ensure we have the right products to meet customer demands. And then, step-by-step, we're becoming a more consistent execution engine. We're building more trust with our customers and partners and having a greater opportunity to win more of their business.
We're seeing results with our efforts. For example, with the strong adoption of our Trinity APU for ultrathin notebooks. Customers are excited that Trinity fits into virtually any ultrathin design, providing unmatched visual experience, superior battery life at a very attractive mainstream price point. Trinity-based ultrathins provide superior performance and value for all customers, not just a small portion of the market buying expensive, premium notebooks.
We have a number of high-volume, ultrathin design wins across our customer base, setting the stage for continued growth as mainstream notebooks continue their transition to these thinner and lighter designs that will dominate the market in the years to come.
With that, I'll turn it over to Thomas, who will cover our financials for the first quarter.",946
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083556.0,Presenter Speech,Thomas Seifert,,Executives,3,"Thank you, Rory. Revenue for the first quarter of 2012 was $1.59 billion, down 6% sequentially driven by the seasonal decline in the Computing Solutions segment. The Graphics segment revenue was sequentially flat in a typically down quarter. Non-GAAP gross margin was 46%, flat sequentially and a point higher than expected. The delta to guidance is a result of higher-than-anticipated demand for certain 32-nanometer line of products, particularly in emerging markets.
Non-GAAP gross margin for the quarter was calculated net of the $703 million one-time charge related to the 28-nanometer product, limited wafer of exclusivity from GLOBALFOUNDRIES, associated with the 2012 amendment to the Wafer Supply Agreement. Operating expenses were $598 million, which includes $6 million in one-time expenses related to the SeaMicro acquisition. R&D was $368 million, 23% of net revenue, and SG&A was $230 million, 15% of net revenue.
Non-GAAP net income was $92 million and non-GAAP operating income was $138 million. Interest expense was $43 million, flat compared to the prior quarter. Tax provision was a net credit of $32 million in the quarter compared to $4 million in the prior quarter. The difference is primarily a one-time tax benefit of $36 million related to the SeaMicro acquisition, which closed at the end of the quarter. Net of this one-time tax benefit, 2012 tax guidance is approximately $12 million.
Non-GAAP EPS was $0.12, calculated using 748 million fully diluted shares. Adjusted EBITDA was $250 million, down $45 million from the prior quarter due to lower non-GAAP operating income resulting from lower revenue in the quarter. 
Computing Solutions segment revenue was $1.2 billion, down 8% sequentially, driven by seasonally lower sales in the client business. Client product revenue declined sequentially due to lower units and ASP, primarily driven by lower 45-nanometer desktop processor unit shipments. 
APUs continue to increase as a percentage of our client products and Llano, our first-generation 32-nanometer APU, power top-selling notebook SKUs in North America, priced about $400. Our server processor revenue declined from the prior quarter, mainly due to ASP decline. And unit shipments increased with continued adoption of Bulldozer-based offering.
Chipset revenue declined in the quarter due to seasonally lower unit shipments. Computing Solutions' operating income was $124 million, down $41 million sequentially, primarily due to lower revenue. Graphics segment revenue was $382 million, flat compared to the prior quarter. GPU revenue was up in a seasonally down quarter due to improved desktop GPU ASPs in the channel, offset by seasonally lower game console royalty revenue. Graphics segment operating income was $34 million, up $7 million from the prior quarter, primarily due to higher gross margin.
Now turning to the balance sheet. Our performance was strong as cash, cash equivalents and marketable securities, including long-term securities, ended the quarter at $1.71 billion. Cash declined by $201 million compared to the end of the previous quarter, which was primarily the result of cash payments of $281 million related to the SeaMicro acquisition and $150 million related to the 2012 amendments to the Wafer Supply Agreement.
Despite strategic cash outlays in the quarter, we maintained positive free cash flow of $67 million. Accounts receivable at the end of the quarter was $962 million, up $43 million compared to the end of the fourth quarter of 2011 due to the timing of sales. Inventory was $585 million, exiting the quarter, up $109 million from the prior quarter, primarily in preparation for new product launches. Debt at the end of the quarter was unchanged at $2.02 billion.
Now turning to the outlook. AMD expects revenue to increase 3% sequentially, plus or minus 3%. Operating expenses are expected to be approximately $605 million in the second quarter as we continue to fine-tune our operational efficiencies, executing to all financial targets. We are pleased we delivered solid results in the quarter with a richer product mix. We expect to build on this financial and operational momentum moving forward and look forward to the upcoming launches of Trinity and Brazos 2.0 later this quarter.
With that, I'll turn it back to Ruth.",673
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083557.0,Presenter Speech,Ruth Cotter,,Executives,4,"Thank you. Operator, we'd now like you to poll the audience for some questions.",14
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083558.0,Question and Answer Operator Message,Operator,,Operator,5,"[Operator Instructions] Our first questioner in queue is Uche Orji with UBS.
Next questioner in queue is Sanjay Chaurasia with Nomura.",21
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083559.0,Question,Sanjay Chaurasia,,Analysts,6,"This is Sanjay Chaurasia. My first question is on 28-nanometer. Some of the industry participants have talked about capacity issues in 28-nanometer. My question is, are you seeing any impact to your Graphics business from this? And what are you seeing go ahead in 28-nanometer?",45
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083560.0,Answer,Rory Read,,Executives,7,"28-nanometer has been -- is a very important part of our business. As you may know, we're the first company that has launched our entire desktop discrete graphics product set on 28-nanometer. And I can tell you that within the first quarter, we were able to deliver on all of our customer commitments in that Graphics segment. What we're doing is we're monitoring this closely. We believe that a focus on execution consistently, day in and day out, will yield better returns and better execution. We think that, from our perspective, that we have the execution in place, the relationships with our key foundry partners to deliver on our 28-nanometer product ramp. Of course, we're going to monitor it. We're going to track it week in and week out to make sure. And we do hear some of the information in the quarter. We believe that we can deliver our base plan and our commitments to the customers. Right now, we're looking to the ability to reach upside. That's what's probably holding us back on the 28-nanometer going forward. But again, we're focused on going after that and we have the execution and plans in place, Sanjay.",198
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083561.0,Answer,Thomas Seifert,,Executives,8,"Let me put some color on that, too. As you heard from Rory, we met all of our customer commitments in the first quarter. When demand is strong and your product is good, this opens up opportunity for upside. And that is an area where we would like to see more velocity, to be very honest, and that's why we have to monitor the situation very carefully. We meet commitments, we are limited on upside, and that is not a good situation when your product is good and demand is strong.",91
168864.0,"Advanced Micro Devices, Inc., Q1 2012 Earnings Call, Apr 19, 2012",2012-04-19,48.0,Earnings Calls,"Advanced Micro Devices, Inc.",3973.0,286478.0,14083562.0,Question,Sanjay Chaurasia,,Analysts,9,"And my follow-up is on server ASPs. So given that 50% of server revenue came from newly -- recently launched Bulldozer chips, how is it that server ASPs are down? And now that these products are just before the launch of Ivy Bridge products, what trends can we expect on ASPs on your PC client business and as well as on server?",63
