companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282309.0,Presenter Speech,Leo de Later,,Attendees,0,Mr. Dassen another record year for ASML.,7
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282310.0,Answer,Leo de Later,,Attendees,1,Can you give us a summary of the fourth quarter and the full year results?,15
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282311.0,Answer,R.J.M. Dassen,,Executives,2,"A record year but also a very strong Q4 with total revenue at EUR 4.3 billion. Included in there, EUR 1.1 billion in Installed Base revenue and both higher than guided. Primarily, I would say, as a result of higher sales in DPV, DPV immersion and also as a result of more upgrades. 
If we look at the gross margin, gross margin came in at 52%, also quite a bit better than we guided. Again, same results, if you look at the product mix with more immersion in there and also upgrades, that's really what drove it. 
In terms of net income, EUR 1.4 billion. So overall, really a strong quarter and also the order intake was very, very strong with EUR 4.2 billion of order intake, net bookings included in that net 6 EUV systems representing EUR 1.67 billion.",141
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282312.0,Answer,Leo de Later,,Attendees,3,So that's the quarter. What about the full year?,10
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282313.0,Answer,R.J.M. Dassen,,Executives,4,"As I said, a record year with EUR 14 billion of revenues, included in there EUR 3.7 billion for installed base revenue. Gross margin at 48.6% and net income at EUR 3.6 billion.",33
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282314.0,Answer,Leo de Later,,Attendees,5,"2020 was a dynamic year for everyone, also for ASML, record year, as you said. How do you look back on it?",22
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282315.0,Answer,R.J.M. Dassen,,Executives,6,"A dynamic here, in fact, an extraordinary year. An extraordinary year, starting with concluding as we just did, this was a record year for ASML, but a year where we, obviously, had to navigate the challenging circumstances of COVID-19. And I have to say, the way we were able to navigate that with the stellar performance of our people but also the support of all of our partners, suppliers, other partners, customers have been fantastic. And I really would like to take this opportunity to thank our people and our partners for being able to put up this performance. 
We also have to recognize COVID-19 is not yet behind us, but I think the past experience really strengthens us, I think, in our conviction that we're able to navigate these really tough circumstances.",133
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282316.0,Answer,Leo de Later,,Attendees,7,"Further to the results, how is your EUV business doing?",10
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282317.0,Answer,R.J.M. Dassen,,Executives,8,"EUV is doing very well, both on the Logic front and on the DRAM front. If we start looking at the numbers for Q4, we shipped 9 systems, only 8 were taken in revenue. The one system that we did not recognize as revenue was because it's a new system configuration at a customer that needs to be qualified at the customer still in early 2021. As soon as that has happened, it will also be recognized in revenue. 
If we look at the full year, all in all, 31 systems taken in revenue, total revenue on the system side of EUR 4.5 billion. So a very significant uptick there of 60% in terms of revenue recognized for EUV. 
If you look at the gross margin, as we have been projecting, more than 40% was the gross margin on EUV for the full year and on the system side. 
And if we look at 2021, I would say that with the introduction of the 3600D, that will be the point in time where we will see EUV systems gross margin at the level of the corporate gross margin. 
And also at the service level, as you know, we broke even on EUV service gross margin this year. And we expect that to gradually go to corporate gross margin, and I would say about 4 years' time, and we'll make a gradual step-up again this year.",235
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282318.0,Answer,Leo de Later,,Attendees,9,"Overall, how is EUV demand developing?",6
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282319.0,Answer,R.J.M. Dassen,,Executives,10,"EUV demand is developing very, very strongly. We have an order book of EUR 6.2 billion. Now if we look a little bit into this year and the expectations for this year, we expect total EUV system sales this year of EUR 5.8 billion, which is 30% up in comparison to the EUR 4.5 billion that we had for 2020. 
We are making good progress, I would say, in our manufacturing capacity, primarily, as we said before, by driving down the cycle time. I think the one limiting factor that we have this year really is the orders that we placed into the supply chain. We had to adjust that in the -- during the COVID situation, so that will be the limiting factor for this year.",127
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282320.0,Answer,Leo de Later,,Attendees,11,And what about High-NA? How are you developing over there?,11
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282321.0,Answer,R.J.M. Dassen,,Executives,12,"Overall, High-NA is developing very well. But I think it's also important to recognize that we have a significant road map still ahead of us for 0.33. And we're very aggressively working on that road map, really putting performance for our customers to meet their requirements, both on throughput, both on imaging, on overlay requirements. We think that will cater to the demand of our customers for the next couple of years. And then there will be a certain point in time, and we think that probably will be in '25, '26 time frame, where our customers will no longer be able to perform based on -- or to meet the demands of their customers by applying double patterning. Then they will have to go beyond that. They will want to reduce the process complexity, and that will then require the need for them for High-NA. 
In terms of our own time frame, I think this year, we'll see the first integration of modules. Next year, we will see the availability of the first system available for R&D purposes at our sites. Customers will then have access to that tool in 2023. 
2023, we will also see the first initial installations of High-NA tools at customers. And again, then in the '25, '26 time frame, that's where we really see a High-NA going into high-volume manufacturing.",226
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282322.0,Answer,Leo de Later,,Attendees,13,How does your present business translate into a cash flow dividend share buyback?,13
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282323.0,Answer,R.J.M. Dassen,,Executives,14,"As promised, Q4 was very, very strong from a free cash flow perspective, as I think people have been able to see in the numbers. So really strong performance on that front. And also, for this year, for 2021, we expect a significant generation of free cash flow. Our capital allocation policy hasn't really changed. So in essence, what we say, what we need and the business will need, so whatever we need for R&D, for CapEx, et cetera, we'll use that in the business. And whatever -- what is not necessary for that, we will be able to distribute back to our shareholders by way of increasing dividends over time and share buybacks. 
As far as dividend is concerned, we're looking at a total dividend for 2020 of EUR 2.75. And in terms of share buyback, as you know, we have a 3-year program for share buybacks have in total EUR 6 billion. We were able to execute EUR 1.2 billion last year, and we're looking at executing a significant share buyback in Q1 of 2021.",177
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282324.0,Answer,Leo de Later,,Attendees,15,What's your market outlook for the quarter and for the full year 2021?,14
388904.0,"ASML Holding N.V., Q4 2020 Pre Recorded Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,751.0,2250310.0,87282325.0,Answer,R.J.M. Dassen,,Executives,16,"For the quarter, we're looking at sales between EUR 3.9 billion and EUR 4.1 billion, included in there, EUR 950 million of installed base revenue. We're looking at a gross margin between 50% and 51%. 
For the full year, we're looking at a year of continued growth, both in sales and in gross margin. If I just look at the different businesses that we're in, the different market segments that we're in, we're actually looking -- let's start with Logic. Logic already very strong this year. And still, we believe that Logic, we expect that to grow another 10% in 2021. And that really is because of all the changes that we see, the really continued development in the digital economy that we're witnessing and even more strongly after last year. And you see that everywhere. You see it on the advanced nodes with the secular trends in AI, high-performing compute, 5G. I mean those are the big drivers behind the big demand in advanced nodes, but also in the more mature nodes, where you see, particularly in the Internet of Things and also the application of that, both in the consumer, automotive and industrial markets. 
You see that also the demand for the more mature nodes is at very, very high level. So all in all, very, very positive and therefore, expect another increase of 10% on Logic. 
If we move to Memory, as we projected, you already saw the momentum being turned positively for, particularly, DRAM in 2020. So you did see some growth in DRAM, in particular, last year, and we see that momentum actually sustained into 2021. And that is because of all the demand for data centers but also the application of memory into consumer devices is something that we just continue to see. 
And in that combination of continued bit growth, but also the fact that the utilization of our tools really is at an extremely high level that provides us the comfort that we think Memory is going to increase further, and we believe Memory can grow with 20% for this year in comparison to last year. 
Finally, installed base revenue, again, a significant growth in last year of about 30%, and we expect that to grow another 10% this year. And that's a combination of, on the one hand, the service margin and the service revenue growing. As a result of the fact that the installed base is growing, as a result of the fact that we see more and more EUV tools really going into high-volume manufacturing and really producing a larger and larger number of wafers, so that combination really increases the revenue from service. 
And we also recognize that customers are more and more interested in upgrades in order to increase their capacity but also to increase performance on overlay performance on imaging. So those are things that can be catered to with more and more upgrades, and they will be available also in this year. And we believe that will lead to another growth on that front. 
So if you take it all together, what we're looking at really is another year of double-digit growth as a result of the different dynamics that I just mentioned there. 
We believe there can be actually even more growth than what we just discussed but that would then be under the assumption that we will not be faced with more limitations on the geopolitical front and the export controls front than what we're seeing today. That will be an important dynamic, I think, for all of us to watch for. If we're not confronted with more limitations there, then we believe there is still some more potential on growth than the numbers that I just shared with you. 
So all in all, we're looking with a lot of passion and a lot of comfort, if you like, and a lot of faith into this year and also, quite frankly, beyond this year. We think the growth trends are there, our products are there, the road map that we have caters to demand of our customers. And that gives us a lot of confidence in the performance of ASML in the short and the longer term. 
We really look forward to having conversations with all of you in our Investor Day that we will have later this year.",726
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343445.0,Presentation Operator Message,Operator,,Operator,0,"Thank you for standing by. Welcome to the ASML 2020 Fourth Quarter and Full Year Financial Results Conference call on January 20, 2021. [Operator Instructions]
I would now like to turn the conference call over to Mr. Skip Miller. Please go ahead, sir.",43
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343446.0,Presenter Speech,Skip Miller,,Executives,1,"Thank you, operator. Welcome, everyone. This is Skip Miller, Vice President of Investor Relations at ASML. Joining me today on the call is ASML's CEO, Peter Wennink; and our CFO, Roger Dassen. The subject of today's call is ASML's 2020 fourth quarter and full year results. The length of this call will be 60 minutes, and questions will be taken in the order that they are received.
This call is also being broadcast live over the internet at asml.com. A transcript of management's opening remarks and a replay of the call will be available on our website shortly following the conclusion of this call.
Before we begin, I'd like to caution listeners that comments made by management during this conference call will include forward-looking statements within the meaning of the federal securities laws. These forward-looking statements involve material risks and uncertainties. For a discussion of risk factors, I encourage you to review the safe harbor statement contained in today's press release and presentation found on our website at asml.com and in ASML's annual report on Form 20-F and other documents as filed with the Securities and Exchange Commission.
With that, I'd like to turn the call over to Peter Wennink for a brief introduction.",204
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343447.0,Presenter Speech,P. Wennink,,Executives,2,"Thank you, Skip. Welcome, everyone, and thank you for joining us for our fourth quarter and full year 2020 results conference call. And I do hope all of you and your families are healthy and safe. But before we begin the Q&A session, Roger and I would like to provide an overview and some commentary on the fourth quarter and full year 2020 as well as provide our view on the coming quarters. And Roger will start with a review of our fourth quarter and full year 2020 financial performance with added comments on our short-term outlook, and I will complete the introduction with some additional comments on the current business environment and on our future business outlook.
Roger, if you will?",122
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343448.0,Presenter Speech,R.J.M. Dassen,,Executives,3,"Thank you, Peter. Welcome, everyone. I will first review the fourth quarter and full year financial accomplishments and then provide guidance on the first quarter of 2021. Net sales came in above guidance at EUR 4.3 billion, primarily due to additional DPV system revenue and upgrade business opportunities. We shipped 9 EUV systems and recognized EUR 1.1 billion revenue from 8 systems this quarter. One system was shipped with a new configuration that needs to be qualified at customer site as the revenue will be recognized after site acceptance staffed in early 2021. Net system sales of EUR 3.2 billion was again more weighted towards Logic at 72%, with the remaining 28% from Memory. The strength in Logic drives both DPV and EUV revenue, and recovery in Memory business is mainly driven by DRAM.
Installed Base Management sales for the quarter came in at EUR 1.1 billion above guidance, showing continued strength in our service and upgrade business. Gross margin for the quarter was 52% and was above guidance due to the additional DPV immersion and upgrade business. On operating expenses, R&D expenses came in at EUR 556 million and SG&A expenses at EUR 152 million, which was slightly above our guidance. Net income in Q4 was EUR 1.4 billion, representing 31.7% of net sales and resulting in an EPS of EUR 3.23.
Turning to the balance sheet. We ended the fourth quarter with cash, cash equivalents and short-term investments at a level of EUR 7.4 billion, which is significantly higher due to customer down payments and early payments, which materialize in 2020.
Moving to the order book. Q4 net system bookings came in at EUR 4.2 billion, including EUR 1.1 billion for EUV systems, net 6, and very strong DPV demand. Order intake was largely driven by Logic with 78% of bookings. And Memory, the remaining 22%. For the full year, net sales grew 18% to EUR 14 billion. EUV system sales in 2020 was EUR 4.5 billion, which is about a 60% increase from last year.
On EUV margins, we continue to drive profitability in both the systems as well as the service business. We achieved our 40% system gross margin in 2020 and delivered a positive margin on EUV service. We expect the upward trend for both systems and services gross margin to continue in future years.
The Installed Base Management sales was EUR 3.7 billion, which is a 30% increase compared to previous year. In 2020, we had a total of EUR 11.3 billion, reflecting customers' strong demand for EUV and DPV technology. DPV booking value was at a record EUR 7.3 billion, with demand from both advanced as well as mature market technologies. Our R&D spending increased to EUR 2.2 billion in 2020. While we continue to invest in DPV and applications, product innovation, the increase was primarily driven by the acceleration of our EUV road map, both low and High-NA. Overall R&D investments as a percentage of 2020 sales was about 16%, SG&A was about 4% of sales.
Net income for the full year was EUR 3.6 billion, resulting in 25.4% of net sales and an EPS of EUR 8.49. Improvements in working capital contributed to a free cash flow generation of EUR 3.6 billion as we continue to invest CapEx in support of our road map and planned capacity ramp. Excess cash will be returned as per our policy.
With that, I would like to turn to our expectations for the first quarter of 2021. We expect Q1 total net sales of between EUR 3.9 billion and EUR 4.1 billion, which is a very strong start of the year and a reflection of the current market demand. We expect our Q1 Installed Base Management sales to be around EUR 950 million. Gross margin for Q1 is expected to be between 50% and 51%. The expected R&D expenses for Q1 are EUR 620 million, and SG&A is expected to come in at EUR 165 million, reflecting a continued investment in the future growth of the company. The higher R&D is to support road map plans to drive further innovation of our EUV, DPV and apps products. The SG&A increase is driven by higher IT, security costs and general organizational growth.
These quarterly run rates are a good indicator for the expected full year operating expenses. Our estimated 2021 annualized effective tax rate is expected to be between 14% and 15%.
Regarding our capital return, ASML paid total dividends of EUR 1.1 billion in 2020, made up of the 2019 final dividend and 2020 interim dividend. ASML intends to declare a total dividend with respect to 2020 of EUR 2.75 per ordinary share. Recognizing the interim dividend of EUR 1.20 per ordinary share paid in November '20, this leads to a final dividend proposal to the general meeting of EUR 1.55 per ordinary share. This is a 15% increase compared to the 2019 dividend.
The 2021 Annual General Meeting of Shareholders will take place on April 29, 2021, in Veldhoven. Through December 31, 2020, ASML acquired 3.9 million shares under the 2020-2022 program for a total amount of EUR 1.2 billion. Given our strong cash position and positive outlook, we expect to execute a significant share buyback in Q1 2021.
With that, I'd like to turn the call back over to Peter.",887
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343449.0,Presenter Speech,P. Wennink,,Executives,4,"Thank you, Roger. As Roger has highlighted, we had a very strong quarter, resulting in another solid year of growth in both sales and profitability, driven by strong Logic, recovering Memory demand and a significant step-up in our Installed Base revenue. We were able to achieve an 18% top line growth and 37% growth in profitability despite some unique challenges we're having to continue to run our business through the pandemic. I think this is all thanks to our employees and partners who have done a remarkable job executing in this challenging environment. However, we continue to remain vigilant as this COVID-19-induced crisis is not behind us yet. Following a strong 2020, we currently expect another year of good growth in revenue and profitability in 2021.
In Logic, we expect another very healthy year driven by a further broadening of the application space, fueled by the global digital transition. Customers continue to see strong demand for advanced nodes, which includes the secular growth drivers, such as 5G, AI and HPC. And in addition, and also driven by the digital transformation, we are seeing a strengthening demand for the more mature nodes across a wide variety of markets such as consumer, automotive and industrial. While we are still very early on in the year, we think that with these demand drivers on full throttle for advanced as well as mature nodes, we expect Logic revenue to be up at least 10% from an already very high number of EUR 7.4 billion in 2020.
In Memory, customers have indicated that inventory levels continue to come down and expect a further tightening of supply throughout the year. As is the case with Logic, the digital transformation is also fueling memory demand across the broadening application space. Customers continue to see healthy demand in data centers with increasing Memory content in consumer electronics. With customers indicating stronger bit growth this year for DRAM around 20% and for 3D NAND around 30% to 35%. And taking into account lithography 2 utilization already at high levels, we expect a recovery in lithography demand for Memory to continue this -- through this year. Therefore, we expect Memory revenue to be up around 20% this year from EUR 2.9 billion in 2020. Although DRAM primarily uses DPV technology today, we do expect our EUV shipments to DRAM customers to increase in the coming years.
On our Installed Base revenue -- or Installed Base business, service revenue will continue to scale with the growing installed base. We expect an increase in contribution from EUV service revenue as these systems run more and more wafers in volume production. Customers will continue to utilize upgrades to increase capacity and improve imaging and overlay performance required of future nodes. With this continued growth in both service and upgrade business this year, we expect Installed Base revenue to be up around 10% this year from EUR 3.7 billion in 2020.
All in all, we started the year with robust demand across the entire industry and across all geographical regions. This should bode well for a double-digit upside from our 2020 revenue numbers. We feel comfortable with the levels of potential growth expectation for business segment, but clearly see potential upside to these numbers, where we can disregard any further impact of export control regulations resulting from the current geopolitical situation.
I would now like to update you on our products and business starting with EUV. EUV is making strong progress and continues to mature as we execute our road map and grow our Logic and DRAM business. As Roger mentioned, we shipped 9 systems and recognized revenue of 8 systems in Q4, bringing the total to 31 systems in 2020, with a revenue of EUR 4.5 billion for the year. This translates to about 60% growth in EUV systems revenue, reflecting the expanding use of this technology in high-volume manufacturing.
Based on customers' growing EUV demand in advanced nodes, we currently expect a growth of around 30% over last year, translating to around EUR 5.8 billion in EUV system revenue for 2021. We continue to improve the EUV manufacturing cycle time to enable the capacity in our factory to meet the growing EUV demand.
We will continue to drive the EUV 0.33 NA product road map, which is aligned to our customers' note cadence. Our goal is to deliver value to our customers via performance improvements in imaging, overlay and productivity. As customers continue to shrink on future nodes, the performance improvements of our 0.33 NA systems road map will also enable cost-effective double patterning solutions before customers reach a point where it will require High-NA to reduce process complexity. We are aligning with customers on the road map timing of High-NA, insertion and volume production, currently estimated to be in the 2025, 2026 time frame. To meet this time line, we will start integration of the modules this year and plan to have first qualified system in 2022.
We plan initial installation of the first systems at customer site in 2023, and plan to provide a more detailed update on our High-NA program during our Investor Day this year.
In our DPV business, we're focused on meeting our customers' increasing demand for all of our DPV products by maximizing factory capacity, reducing installation cycle time and optimizing performance of our systems in the field. As we mentioned earlier, the application space for Logic is expanding rapidly, which also has an effect on the demand for DPV products across our entire product offering. The demand has actually been stronger than we anticipated some years ago, which means that we have increased our investments in R&D to provide our customers with ever more powerful and productive litho machines to help them deal with the increasing demand and lower cost per chip challenges.
Our DPV R&D plan, therefore, includes a significant program to bring DPV to our -- from our XT platform onto the NXT platform, thereby seriously boosting productivity and lithographic performance such as CD and overlay.
In our application business, we had a record year for YieldStar shipments and shipped the first YieldStar 385 to a customer in Q4. The YieldStar 385 offers the latest overlay of focus metrology with enhanced throughput and accuracy to its customers' future node requirements. We also shipped an additional 2 e-scan 1,000 multi-beam systems in Q4, bringing the total number of shipments in 2020 to 3. And with 9 beams and high-speed stage technology, these ASMLs provide up to 600% higher productivity in single-beam systems.
In summary, 2020 was another great year despite the challenges presented by the pandemic. For 2021, taking into account that we're coming off a higher 2020 revenue base, we still expect a year of double-digit growth. This is driven by strong demand in Logic and continued recovery in Memory with potential upside to these numbers where we can disregard any further impact of export control regulations. The build-out of the digital infrastructure across multiple markets drives demand for both advanced as well as mature process nodes. This is expected to fuel demand across our entire product portfolio. Although there are, of course, still some near-term macro and geopolitical uncertainties, the long-term demand drivers only increase our confidence in our future growth outlook towards 2025.
And with that, we will be happy to take your questions.",1223
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343450.0,Presenter Speech,Skip Miller,,Executives,5,"Thank you, Roger and Peter. The operator will instruct you momentarily on the protocol for the Q&A session. [Operator Instructions] Now operator, could we have your final instructions and then the first question, please.",34
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343451.0,Question and Answer Operator Message,Operator,,Operator,6,[Operator Instructions] The first question is from Mr. Joe Quatrochi.,10
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343452.0,Question,Joseph Quatrochi,,Analysts,7,"It's Wells Fargo. I was hoping to get some color on your Memory business and the demand you're seeing there. I think last quarter, you had talked about 30% growth for this year for Memory revenue, but you came in a little bit below that. So I guess, did something change there? And then how do we think about that follow through to that into 2021?",67
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343453.0,Answer,R.J.M. Dassen,,Executives,8,"Thanks, Joe. No, I don't think anything really materially changed there. In fact, the fact that we kind of missed the 30% was, in essence, the reallocation of a few tools from Memory into Logic. So that really had to deal with where do the tools go by the end of the quarter. So really is a spread over Q4 versus Q1. So not a systemic reason.
The momentum that we saw building up in Memory in the course of last year, we think, is continuing. And that has to do with the things that Peter talked about. We see the bid growth development, the 20% for DRAM, 35% for NAND. And of course, that's driven by demand in data centers. It's driven by what we see in terms of Memory being design and used in consumer electronics. So we see those underpinnings continue.
We also see that the utilization of the lithography tools is at a very, very high level. So the demand momentum that we saw already in the second half of 2020 we believe is sustained into 2021. And that's the reason why we, again, forecast a 20% increase there for 2021.",195
388904.0,"ASML Holding N.V., Q4 2020 Earnings Call, Jan 20, 2021",2021-01-20,48.0,Earnings Calls,ASML Holding N.V.,3693.0,2251597.0,87343454.0,Question,Joseph Quatrochi,,Analysts,9,"That's helpful. And then as a quick follow-up, in the prepared remarks, you talked about some supply chain limitations potentially on the EUV side that you're seeing. I guess does that change your expectations for producing 45 to 50 units or your capacity to do that number of units this year?",52
