companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311584.0,Presentation Operator Message,Operator,,Operator,0,"Good day, ladies and gentlemen. Welcome to Broadcom Limited First Quarter Fiscal Year 2016 Financial Results Conference Call. At this time, for opening remarks and introductions, I would like to turn the call over to Ashish Saran, Director of Investor Relations. Please go ahead, sir.",45
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311585.0,Presenter Speech,Ashish Saran,,Executives,1,"Thank you, operator, and good afternoon, everyone. Joining me today are Hock Tan, President and CEO; and Tony Maslowski, Chief Financial Officer of Broadcom Limited.
After the market closed today, Broadcom distributed a press release and financial tables describing our financial performance for the first quarter of fiscal year 2016. If you did not receive a copy, you may obtain the information from the Investors section of Broadcom's website at www.broadcom.com. This conference call is being webcast live, and a recording will be available via telephone playback for 1 week. It will also be archived in the Investors section of our website at broadcom.com.
As you're all aware, Broadcom Limited is the successor to Avago Technologies Limited. Following Avago's acquisition of Broadcom Corporation on February 1, 2016, the first day in our second fiscal quarter, Broadcom Limited became the ultimate parent company of Avago Technologies and Broadcom Corporation.
During the prepared comments section of this call, Hock and Tony will be providing details of our first quarter fiscal year 2016 results, which relate to our predecessor Avago only. They will then move on to providing background to our second quarter fiscal year 2016 outlook, which will relate to the combined company. We will take questions after the end of our prepared comments.
In addition to U.S. GAAP reporting, Broadcom reports certain financial measures on a non-GAAP basis. A reconciliation between GAAP and non-GAAP measures is recorded in the tables attached to today's press release. Comments made during today's call will primarily refer to our non-GAAP financial results. Please refer to our press release today and our recent filings with the SEC for information on the specific risk factors that could cause our actual results to differ materially from the forward-looking statements made on this call.
At this time, I would like to turn the call over to Hock Tan. Hock?",310
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311586.0,Presenter Speech,Hock Tan,,Executives,2,"Thank you, Ashish. Good afternoon, everyone. As Ashish mentioned, my comments on first quarter results relate only to classic Avago, while comments for the second fiscal quarter relate to the combined company, Broadcom Limited. 
Now the combination of classic Avago and classic Broadcom has produced a new, larger and more diversified company. I'm very pleased to welcome classic Broadcom employees to the new company. They are truly a very talented group of people who bring a great deal of unique engineering expertise.
Talking of which, we are making very good progress on the integration front, have started to realize the acquisition-related cost synergies although we are only at the beginning of this exercise. We've also just started the process of pruning some noncore classic Broadcom product lines. Accordingly, my comments for the second quarter focus only on continuing operations, which do not include these noncore product lines classified as discontinued operations.
From a segment point of view, we will continue to report results broken out by our 4 end markets, namely: wired, wireless, enterprise storage and industrial. However, starting with our second fiscal quarter, the components of revenue will increase significantly for our wired and wireless segments as a result of the Broadcom acquisition. And I will provide additional color on these changes in my end-market discussion. Our enterprise storage and industrial segments will remain unchanged from classic Avago.
Let me start with a short summary of first quarter fiscal 2016 results, which only refer to classic Avago. Revenue for our first quarter came in at $1.78 billion, a 4% sequential decline and in line with our guidance. Our tight control over operating expenses during the quarter helped keep Q1 operating margins flat sequentially at a robust 44% of revenue despite the sequential decline in revenues. Earnings per share came in at $2.41, better than the midpoint of guidance.
Moving on to our expectations for the second quarter, which now include revenue contributions from classic Broadcom. We expect consolidated revenues to approximately double to $3.55 billion. We currently anticipate this quarter's revenue level to be the trough for the rest of the fiscal year. 
So with this, let me now turn to a discussion by segment of our Q1 results as well as our outlook in Q2. Starting with wired. In the first quarter, wired revenue grew by 2% sequentially, and the wired segment represented 22% of our total revenue. Growth in the quarter was driven by broad strength in our fiber optic business, largely offset by a decline in our ASIC products, reflecting weakness in data center switching. However, starting with second fiscal quarter, in addition to classic Avago's custom networking ASICs and fiber optic products, the consolidation of classic Broadcom will add Ethernet switching and routing standard products; physical layers, copper and optical standard products to this segment. In addition, it will also include classic Broadcom's broadband communication solutions for set-top box, cable modem and carrier access.
In the second quarter, we're expecting strength, good strength on multiple fronts in the wired segment. We're expecting growth to resume in our custom ASIC business, driven by increase in shipments to wireless base stations and the start of a product ramp into the new data center switches. Our standard ASSP switching, routing and physical layer products are seeing an increase from enterprise demand. Broadband carrier access is experiencing strong activity driven by fiber to the home and DSL deployments in multiple regions including China. And finally, we expect our set-top box business to also benefit from some seasonal refresh cycles at key customers. In aggregate, we expect second quarter revenues from wired segment to be approximately 55% of our total revenue from continuing operations.
Moving on to wireless. In the first quarter, revenue from the wireless segment declined by 15%, 1-5 percent, sequentially and represented 32% of our total revenues. And just to remind you, that's just Avago classic. Last year, unusually high demand in the first quarter from our North American customer offset the normal seasonality. This year, however, as we all well know, seasonality returned, and there was a product life cycle-related decline in demand from that key customer. We did see a small positive offset from an increase in shipments to our large Korean customer driven by the launch of their new flagship smartphones where we also increased our RF content.
Turning to the second fiscal quarter. In addition to Avago's -- Avago classic RF FBAR filters and power amplifiers, our wireless segment will now include classic Broadcom's wireless connectivity and custom analog handset solutions. And in this second quarter 2016 that we're in, we expect the product life cycle-related decline demand from our North American customer to continue to impact our combined wireless revenue. And in the aggregate, we expect second quarter revenue from our wireless segment to be approximately 23% of our total revenue from continuing operations.
We expect the second quarter though to be the trough for our wireless business for the rest of the fiscal year, and we expect to start ramping up shipments late in our third quarter to support the increase in demand driven by the difficult product cycle ramp in our North American customer. In fact, we have already started prebuilding in significant quantities our RF FBAR filters to support this expected ramp. We expect the demand increase from this product ramp to be further enhanced by a substantial increase in our content in this new next-generation phone. Classic Broadcom's combo Wi-Fi, Bluetooth, GPS and custom analog solutions will further add significantly to our content in these Tier 1 OEM-leading smartphones. By the same token, of course, we expect the classic Broadcom wireless products to also benefit from the launch of new generation of phones later this year.
Let me now turn to enterprise storage. In the first quarter, this segment revenue grew by 6% sequentially, better than expectations and enterprise storage represented 38% of our total revenue, that's revenue of Avago classic in Q1. This was our largest segment in the first quarter. During the quarter, we saw strong demand from enterprise and nearline hard disk drives. Our server and storage connectivity businesses also had a good quarter led by seasonal growth from fiber channel shipments, while our RAID and SaaS businesses largely sustained.
Going forward, composition of this segment will remain largely unchanged. However, we expect a somewhat different picture in the second quarter with seasonal declines impacting both our hard disk drive business and server storage. We expect second quarter revenues from this segment to be approximately 17% of our total revenue from continuing operations.
Finally, to the last segment, industrial. First quarter 2016 industrial segment represented 8% of our total revenue as we had planned. In the face of lingering uncertainty in industrial end markets, we decreased shipments in the distribution and during the quarter, our industrial segment revenue declined by 10% sequentially in the first quarter. Keep in mind, we recognize revenue on shipping basis. So -- but -- and so industrial resales on the other hand decreased only moderately in the mid-single digits on a sequential basis.
By region, resales in Asia Pacific was slightly up, Japan flat, Americas down moderately, while Europe declined in the low teens sequentially last quarter. Our prudent approach to distributor shipments, which like resales, resulted in a reduction in channel inventory. Please keep in mind, as I said again, we recognize revenue only on a sell-in basis. And as we look at the second quarter, the composition of this segment will also remain unchanged, Avago classic and then -- but anticipating favorable seasonality to the start of the year, we expect a high single digit sequential increase in industrial resales. However, we will continue to manage channel inventory and expect a more moderate increase in shipments into the channel and by that, revenue. We are also expecting a substantial increase in our IP licensing revenue due to a few deals we expect to close within the second quarter. And so in aggregate, we expect second quarter revenue from industrial to be approximately 5% of our total revenue from continuing operations of this combined company.
With those color, let me summarize for the second quarter. With the addition of classic Broadcom, wired now becomes our broadest and largest segment, and we're expecting a very strong performance from multiple product lines in this segment. Wireless also becomes broader but remains tight to a limited number of large high-end smartphone customers, and we expect this current Q2 quarter to be the seasonal trough for the rest of the year. We also expect a seasonal decline in enterprise storage, but something of a recovery in industrial.
We are very excited by the opportunities in front of us as a combined company to continue to drive our financial model on an even larger scale with broader access to very attractive end markets. We continue to expect we will achieve the $750 million target in annualized cost synergies over the next 6 fiscal quarters, and we think we might be able to even beat that. We're also working on returning to our long-term financial model of driving operating margins back above 40% as quickly as possible.
With that, let me now turn the call over to Tony for a more detailed review of our first quarter financials.",1553
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311587.0,Presenter Speech,Anthony Maslowski,,Executives,3,"Thank you, Hock, and good afternoon, everyone. As a reminder, my comments on our first quarter results relate to our predecessor Avago, while comments, including guidance for the second fiscal quarter, relate to the combined company. My comments today will focus primarily on our non-GAAP results from continuing operations unless otherwise specifically noted. A reconciliation of our GAAP and non-GAAP data is included with the earnings release issued today and is also available on our website at www.broadcom.com.
Revenue of $1.78 billion in the first quarter represented a decrease of 4% from the prior quarter. Foxconn and Apple were greater than 10% direct customers in the fiscal first quarter. Our first quarter gross margin from continuing operations was 61%, which was at the midpoint of our guidance range.
Turning to operating expenses. R&D expenses were $238 million, and SG&A expenses were $68 million. This resulted in total operating expenses for the first quarter of $306 million, $8 million below guidance as we were cautious going into the close of the acquisition. On a percentage basis, total operating expenses were 17% of revenues, a reduction from 18% in the prior quarter. As a percentage of sales, R&D was 13% and SG&A was 4% of net revenue.
Operating income from continuing operations for the quarter was $783 million and represented 44% of net revenue. Taxes came in at $35 million, which is a 5% rate for the first quarter, a bit lower than our guidance at 5.5%. First quarter net income was $710 million, and earnings per diluted share were $2.41. First quarter interest expense was $41 million, and this does not include the ticking fees we incurred in the quarter related to the debt commitments we secured for the Broadcom acquisition. Other income net was $3 million.
Our share-based compensation expense for the first quarter was $57 million. The breakdown for the first quarter includes $6 million in cost of goods sold, $28 million in R&D and $23 million in SG&A. In the second quarter of fiscal 2016, we anticipate share-based compensation expense will be approximately $195 million. Just as a reminder, the definition of non-GAAP net income excludes share-based compensation expense.
Moving on to the balance sheet. Our days sales outstanding were 54 days, an increase of 4 days from the prior quarter caused by linearity of revenue in the quarter. Our inventory ended at $490 million, a $34 million decrease from the fourth quarter of fiscal 2015. Days on hand were 64 days, a reduction of 4 days from the prior quarter as we sold raw material and work-in-process inventories in conjunction with the sale of certain fiber optics subsystem manufacturing and related assets to a third-party. We generated $474 million in operational cash flow and ended the quarter with a cash balance of $2.2 billion, which increased by approximately $350 million from the prior quarter. During the first quarter, we also received $68 million from the sale of the fiber optics subsystem assets.
In the first quarter, we spent $140 million on capital expenditures. For the second quarter, we expect CapEx to be approximately $210 million, which includes approximately $60 million for campus construction activity primarily at our Irvine location, $50 million for ongoing capacity expansion for manufacturing RF filters at our Fort Collins fab and $10 million of IT integration expenses related to the acquisition.
On December 30, 2015, we paid a cash dividend of $0.44 per ordinary share, which consumed $122 million of cash. This dividend was raised by $0.02 from the prior quarter. Since the inception of Avago's dividend program in second quarter of 2011 to date, our financial performance has allowed us to increase our dividend each quarter. As you have seen, our board has also declared a dividend of $0.49 per share to be paid on March 31 this quarter. As a reminder, our board reviews and determines our dividend policy on a quarterly basis based on our financial performance and condition, the contractual provisions related to our outstanding indebtedness and other factors deemed relevant by our board.
Now let me turn to our non-GAAP guidance for second quarter of fiscal year 2016, which include projected contributions from the combined Avago and Broadcom Corporation businesses. This guidance reflects our current assessment of business conditions, and we do not intend to update this guidance. This guidance is from continuing operations only.
Net revenue is expected to be $3.55 billion plus or minus $75 million. Gross margin is expected to be 59% plus or minus 1 percentage point. Operating expenses are estimated to be approximately $832 million. Taxes are forecasted to be approximately $50 million. Net interest expense and other is expected to be approximately $161 million. The diluted share count forecast is for 443 million shares.
And one balance sheet item, the ending cash balance, which is expected to be in the range of $1.7 billion to $2 billion, which includes the expected repayment of $300 million of our outstanding debt in the quarter. As mentioned, this guidance excludes the estimated results of certain recently acquired Broadcom businesses, which have been classified as assets held for sale and will be reported as discontinued operations beginning February 1, 2016. In fiscal 2015, we estimate these businesses generated $295 million in annual revenue and consumed $282 million in annual operating expenses. 
That concludes my prepared remarks. Operator, please open the call for questions.",897
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311588.0,Question and Answer Operator Message,Operator,,Operator,4,[Operator Instructions] And our first question is from the line of Ross Seymore with Deutsche Bank.,16
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311589.0,Question,Ross Seymore,,Analysts,5,"I guess, Hock, the first one is for you. It sounds like the wired side is particularly strong in your April quarter guidance. Can you walk through a little bit of this, the subsegments within that, that are driving that growth?",41
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311590.0,Answer,Hock Tan,,Executives,6,"Oh, sure. We're seeing pretty broad-based strength even from -- both from Avago classic as well as the newer product divisions from Broadcom classic. One clear example is the initial ramp of -- you probably heard announcement on data center switching where our ASIC business are coming in and starting to see a ramp in certain -- at certain cloud guys through a fairly large OEM, and this has been successful and things are moving along very nicely. And the funny thing is while the ASIC ramp is happening, the existing products, which is using standard switch products from Broadcom classics, is also seeing a lot of strength, especially in this case, from enterprise. So we think across the board and carrying along that, of course, are our physical layer products and Ethernet switching, which all moves in the same direction. So that pretty much is enterprise largely, to answer your question, a couple of product ramps but largely enterprise.",160
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311591.0,Question,Ross Seymore,,Analysts,7,"Great. I guess as my one follow-up, one for Tony. On the OpEx side, it looks like a lot of cuts have occurred already to get to that $832 million. Can you just update us on the trajectory of that towards that, I believe, the $550 million in total savings? On a quarterly basis, it looks like you've gotten, I think mathematically, over 85% of that already in your guide. So any color you could give would be helpful.",79
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311592.0,Answer,Anthony Maslowski,,Executives,8,"No, no, no. Yes, so Ross, the thing you're not putting in there is that we have about an $80 million reduction if I -- if you look at those expense numbers I gave you for discontinued ops. So you have to pull that out because remember, we never counted that in what we thought was the synergies we're going after. Synergies we talked about was pure synergies, and then anything from discontinued ops was going to be added on top of that.",83
25016048.0,"Broadcom Limited, Q1 2016 Earnings Call, Mar 03, 2016",2016-03-03,48.0,Earnings Calls,Broadcom Inc.,3217.0,947367.0,40311593.0,Question,Ross Seymore,,Analysts,9,"So I guess could you then -- taking that out of the equation, can you just talk about the trajectory to your $138 million for the quarter [ph]?",28
