companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144301.0,Presentation Operator Message,Operator,,Operator,0,"Good day, everyone, and welcome to the Google Inc. Fourth Quarter 2013 Earnings Call. Today's call is being recorded. At this time, I'd like to turn the call over to Jane Penner, Director, Investor Relations. Please go ahead.",38
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144302.0,Presenter Speech,Jane Penner,,Executives,1,"Good afternoon, everyone, and welcome to Google's fourth quarter 2013 earnings conference call. With us now are Patrick Pitchette, Senior Vice President and Chief Financial Officer; Nikesh Arora, Senior Vice President and Chief Business Officer. Also, as you know, we distribute our earnings release through our investor relation's website located at investor.google.com. So please refer to our IR website for our earnings releases, as well as the supplementary slides that accompany the call. You can also visit our Google+ Investor Relations page for the latest company news and updates. Please check it out. 
This call is also being webcast from investor.google.com. A replay of the call will be available on our website later today.
Now let me quickly cover the Safe Harbor. Some of the statements that we make today may be considered forward-looking, including statements regarding Google's future investments, our long-term growth and innovation, the expected performance of our businesses and our expected level of capital expenditures. These statements involve a number of risks and uncertainties that could cause actual results to differ materially. Please note that these forward-looking statements reflect our opinions only as of the date of this presentation and we undertake no obligation to revise or publicly release the results of any revisions to these forward-looking statements in light of new information or future events. Please refer to our SEC filings for a more detailed description of the risk factors that may affect our results.
Please note that certain financial measures that we use on this call, such as operating income and operating margin, are expressed on a non-GAAP basis and have been adjusted to exclude charges related to stock-based compensation and restructuring. We have also adjusted our net cash provided by operating activities to remove capital expenditures, which we refer to as free cash flow. Our GAAP results and reconciliations of non-GAAP to GAAP measures can be found in our earnings press release.
With that, I'll turn the call over to Patrick.",327
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144303.0,Presenter Speech,Patrick Pichette,,Executives,2,"Thank you, Jane. Good afternoon, everyone. This is Patrick, and you may remember we've mentioned last quarter that Larry will no longer be joining us on a regular basis on this call, as he focuses his energy on running the company. But consistent with our prior calls, Nikesh and I will be here. We'll cover the performance, as well as answer any questions you have about the business including significant ad product launches or other developments. And in the case that you have a very, very detailed product-related question, in some cases we may simply take it off-line with you. But with that, why don't we just dive into the details of our financial performance for Q4?
Our gross total consolidated revenue for the quarter was $16.9 billion, and the overall business was up 17% year-over-year and 13% quarter-over-quarter. Our Google segment gross revenue grew a healthy 22% year-over-year to $15.7 billion, it was up 14% quarter-over-quarter. Without currency fluctuations, the Google segment revenue growth would have been 23% year-over-year and 13% quarter-over-quarter. Our Google Sites revenue was up 22% year-over-year to $10.6 billion and was up 12% quarter-over-quarter, driven by the strength of our core Search advertising business. Network revenue was up 3% year-over-year at $3.5 billion and was up 12% quarter-over-quarter. This was driven in part by easier year-over-year comparisons as we anniversary some of our ad policy changes implemented at the end of 2012, but we also saw improved year-over-year growth from our Ad Exchange. 
Finally, Google's other revenue grew 99%, almost doubled, year-over-year to $1.6 billion and was up 34% quarter-over-quarter. The digital sales of apps and content in our Play Store drove the year-over-year growth in this line and in hardware sales, and the Play hardware sales drove most of big chunk of the quarter-over-quarter growth.
Turning to Motorola segment, gross revenue was $1.2 billion. As we announced yesterday, Lenovo plans to acquire our Motorola business for approximately $2.9 billion. This is great news for Motorola and the Android ecosystem. And as Larry noted in our press release, Lenovo has the expertise and the track record to scale Motorola Mobility into a major player within the Android ecosystem. 
Coming back to our Google segment, our global aggregate paid-click growth was strong this quarter, up 31% year-over-year and up 13% quarter-over-quarter. Our aggregate cost per click was down 11% year-over-year and down 2% quarter-over-quarter. And please note that currency fluctuations had a minimal impact on Q4 on the cost per click. Our monetization metrics continue to be impacted by a number of factors discussed on previous calls, including FX, geographic mix, platform mix, property mix, as well as product and policy changes.
Turning to geographic performance of our Google segment, we saw improved performance in the U.S. and the U.K. and strong performance in the rest of the world. In our earnings slides you can find on our investor relations website, you'll see that we've broken down our revenue by U.S., U.K. and rest of world to show the impact of FX and the benefits of our hedging programs, so please refer to those slides for the exact calculations. 
U.S. revenue was up 16% year-over-year to $6.9 billion. The U.K. was up 15% year-over-year to $1.5 billion, which includes a small $2 million benefit from our hedging program. So currency fluctuation had minimal impact on U.K. revenues in Q4. Our non-U.S. revenue excluding the U.K. was up 30% year-over-year to $7.3 billion, and this accounted for 46% of our total revenue, which included, again, a very small benefit from our hedging program. In fixed FX terms, the rest of world grew a strong 33% year-over-year.
So let's come back to an aggregate level for the total consolidated business. Our non-GAAP other cost of revenue was $4 billion in Q4 excluding stock-based compensation and Motorola restructuring.  And our non-GAAP operating profit was $4.8 billion in Q4, resulting in a non-GAAP operating margin for the consolidated business of 29%. For our Google segment, specifically, our traffic acquisition costs were $3.3 billion or 24% of total advertising revenue. The other cost of revenue was $2.8 billion, excluding $127 million of stock-based compensation. And our Google segment operating expenses were $4.3 billion, again excluding SBC of $746 million.
Depreciation and amortization expenses on property, plant and equipment for the Google segment was $660 million this quarter, and Google segment profitability was $5.3 billion in Q4, resulting in a Google segment operating margin of 34%. At Motorola, total segment operating expenses including cost of revenue were $1.6 billion, excluding $29 million of SBC and $15 million of restructuring charges from Motorola. And keep in mind that intangible amortization expenses attributed to Google segment and Motorola segments are included in these segment measures.
Of the $279 million in consolidated intangible amortization expense this quarter, $153 million was a result of the acquisition of Motorola, of which $116 million was allocated to Google and $37 million was allocated to the Motorola segment. As a result, the operating loss for the Motorola segment was $384 million in Q4 and the operating margin for that segment was negative 31%.
Our headcount for the consolidated business was up roughly 1,300 people in Q4. Google segment added 1,700 people during the quarter. And in total, the consolidated company ended the quarter with approximately 48,000 full-time employees. Our effective tax rate was 16% in Q4. This tax rate this quarter was impacted by the continuing mix shift of earnings between our domestic and international subsidiaries.
Let me now turn to cash management. Our OI&E was $125 million for the quarter. Interest income and realized gains on investments offset the continued impact of our FAS 133 expense from our hedging program. For more detail on OI&E, please refer to the slides that accompany this call on our IR website. We continue to be happy with our strong operating cash flow at $5.2 billion. CapEx for the quarter was $2.3 billion. And this quarter, the majority of our CapEx spend was related to production equipment, data center construction and real estate purchases. 
As I mentioned last quarter during my remarks, we continue to invest for the long term and our infrastructure continues to be a key strategic area for us to invest. Our free cash flow, in consequence of all this, was $3 billion. So there you have it, strong results and an optimism that provides us the confidence to fund strategic growth opportunities, including Android, Chrome, YouTube, Enterprise, just to name a few.
Before I wrap up, I want to cover 2 quick things. First, I want to remind everybody, as I do every time at this time of year, that as we start the new year, things such as employer taxes, 401(k)s and all these other related accruals tend to be front-loaded in the year. So please consider this as you model your forecast. And second, before I hand it off to Nikesh, I want to give an update on our issuance of Class C shares. 
Our Board of Directors has formally approved the Class C dividend and have set the March 27 as the record date and April 2 of this year as the issuance date. So we expect the Class C shares to begin trading on April 3. And we were excited to announce that the Class C shares will actually trade under our original ticker that is GOOG, while the Class A shares will trade under a new ticker, GOOGL. We're setting up a link on our Investor Relations site, so that it can give you more information on the Class C dividends. 
And with that, I'll let Nikesh cover the details of our business performance in the quarter, and after his remarks, we'll open up the phone lines for questions. So here you go, Nikesh.",1301
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144304.0,Presenter Speech,Nikesh Arora,,Executives,3,"Thank you, Patrick. As Patrick mentioned, our business had a strong quarter at $15.7 billion in Google segment gross revenue. Overall performance was strong in retail, in automotive and CPG sectors. We had, particularly, good growth in Asia Pacific, including its various emerging countries, as well as in Southern Europe. I want to talk about 3 areas that are fueling growth for Google and our clients. 
First, our continued efforts to help performance marketeers reach customers and drive action across screens. Second, our continued progress in brand advertising. And third, our ad technology platform used by thousands of agencies and publishers. Then I'll say a few words about new areas like digital content, hardware and Enterprise. On performance. 
Performance advertising continues to be a mainstream for our core business. We're seeing good growth, is driven primarily by increased search activity across all screens, is driven by new measurement features and more sophisticated marketeers are aligning their Search and Display advertising strategies.
Last year, we made the move to Enhanced Campaigns and AdWords. 12 months in, marketeers tell us it helps them get results and reach people across screens in a big way. Our internal slogan for this is advertisers' ROIs don't lie. We also rolled out estimated total conversion. Marketeers can now measure results like calls and conversions that take place in different devices. For example, 1-800-Flowers discovered a 7% increase in overall conversions when they figured out that conversion can start on one device and end on the other. This is a great example of our vision as it relates to the seamless multiscreen marketing and something that was the impetus for us to launch an Enhanced Campaigns.
In the holiday season, one thing has become very clear. The web has truly become the new holiday store window. It's the first place people go and it's where everyone gets excited about holiday shopping. In the U.S., Walmart continues to use Google Search more and more. They're investing with us more than ever before to drive sales during the holiday season. There is also great momentum in Product Listing Ads and we continue to improve the experience of shoppers and retailers. 
Last quarter, Google Shopping came to 8 more countries. We even help deliver products to your doorstep in just a few hours. Google Shopping Express, our same-day delivery service, has been open to shoppers in the Bay Area since last year. I'm very pleased with the feedback we've gotten from our partners and users.
Now moving onto brand marketing. Working closer and closer with brand advertisers had been a big priority for us, and we're making great strides. You might have seen all the teaser ads running in YouTube ahead of the big game this Sunday. Given my personal passion for Cricket and lack of, pretty much, any knowledge of American football, I decided to turn to Google Trends and see who's leading. I see that Seahawks have more searches than the Broncos, so that's my bet for the Super Bowl, but folks in Denver will better -- then will better get searching if they want the Broncos to win. I don't know what that means for the big game on Sunday, but I do know that we are becoming essential to the biggest brand building campaigns of the world. 
There's 2 big areas of focus that brands and our agency partners really like. First, building out great content in YouTube. YouTube gives brands amazing reach and a passion that unique audience can't get elsewhere. YouTube has over 1 billion viewers per month and saw a 50% increase in daily watch time last year. Second, the best digital marketing captivates people when it's by the web, for the web. It's so much more than simply taking television ads and transplanting them on YouTube. So investing in creative ad formats that pivot around user engagement, like TrueView, or engagement ads across the web. Last year, for the first time, 3 videos by brand marketeers were on YouTube's list of top 10 videos for 2013. Third, and importantly, better measurement that enables brands and agencies to measure and optimize campaigns based on metrics like reach, recall or awareness. Last quarter, we enabled advertisers in our Google Display Network to start buying ads based on Google impressions. A fancy way of saying ads that people actually saw. 
In November, we began testing Neilsen OCR measurement on YouTube and our network. There's a lot more to come here, but it's an important step to helping brands invest online.
We think our efforts are really resonating with major clients and agencies from around the world. Our sales team continues to fire on all cylinders. I'm very pleased, we're pleased we hired Kirk Perry as our President of Brand Solutions from Procter & Gamble. His role is to help the largest brand ad agencies in the world embrace digital marketing more and more. He speaks their language so we hope that he will be able to convince them that the future for brands is truly digital.
We worked with Kraft to build a series of engagement ads showcasing brand videos, recipes and coupons for its new fresh-take brand. That campaign was very successful and led to an impressive 2.9% engagement rate and an average engagement time of 48 seconds. 
Moving onto our ad technology platforms. Our DoubleClick buying tools continue to be the choice of agencies around the world, and we're really benefiting from the growth in programmatic spend. One trend we're seeing is the move towards private Ad Exchanges in which a premium publisher uses our technology to make ad space available to a small number of hand-picked, highly quality -- high-quality and highly qualified advertisers. This can provide a very safe, real-time environment for both brand and publishers. 
The volume of impressions running through our private exchanges has, on average, doubled every quarter over the past year. Overall, our monetizing -- monetization solutions like our Ad Exchange, AdSense, AdMob are helping major publishers maximize their revenues from digital advertising.
So that's our core ads business. Let's talk about our trifecta of emerging new businesses, Google Play, Hardware and Enterprise. Google Play continues to win the hearts and minds of people, the latest books, newspapers and magazines, 20 million songs, thousands of movies, textbooks, all-access music. You can live your life in Google Play. People love it, so far. 
This quarter, we introduced the Google Play Newsstand that brings together more than 2,000 free and paid news sources including newspapers like the New York Times, Wall Street Journal, Financial Times. We also introduced Google Play for education that's designed for schools and educator-approved apps, as well as tools to easily set up a classroom of tablets in minutes. We had a strong holiday season for our growing suite of Hardware products. One thing that has done really well for us is Chromecast. It continues to be a living room favorite, remaining the best-selling product throughout the entire quarter. We've also been adding to the growing list of content available through Chromecast with new supported apps like Google+, HBO GO and Pandora, and more to come.
Chromebooks are also seeing great momentum with 8 of the top manufacturers of computers now making Chromebooks, including new devices from both Dell and Toshiba. 1 in 4 devices sold into K12 education in the U.S. is a Chromebook according to Futuresource. We've also been seeing strong momentum in Nexus hardware, with great reception for Nexus 5. And as cars become more connected, we recently teamed up with the automotive technology leaders: Audi, GM, Honda, Hyundai and nVidia to form the Open Automotive Alliance.
Our Enterprise business continues to grow steadily as more businesses than ever want their employees to work the way they live. We're seeing great momentum in the retail space. U.K. supermarket, Waitrose, the clothing retailer, Chico, and the fashion accessory brand, Fossil, have all gone to Google this quarter. On our top platforms site, we announced that Google Compute Engine is now generally available supporting additional operating expenses -- operating systems at new lower prices. 
But before I close, I also want to give a shout out to our marketing team and, particularly, they have really helped drive the success of Google Play and our hardware products over the holidays. They've been able to do that through great effective advertising and creating awesome retail environments. And of course, thanks to all the Googlers and our partners for helping us have a terrific quarter. You're not just embracing the future, you're helping to shape it. 
With that, I'll hand it over to Patrick.",1437
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144305.0,Presenter Speech,Patrick Pichette,,Executives,4,"Thank you, Nikesh. So, Jamie, we'll look for your instructions to open the lines and get onto the Q&A please.",20
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144306.0,Question and Answer Operator Message,Operator,,Operator,5,[Operator Instructions] And we'll take our first question from Carlos Kirjner with Bernstein.,13
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144307.0,Question,Carlos Kirjner,,Analysts,6,"Two quick questions. Patrick, if you took your 5 or 6 major geographies for Search, and for each of them, you plotted separately the evolution of CPCs for mobile and for PCs and tablets. And you look at this curve from 5,000 feet, would they be mostly going up, down, flat or all over the place? And secondly, could you let us know if Google Compute Engine and Google App Engine are significant drivers of CapEx, 5% or more of your CapEx?",82
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144308.0,Answer,Patrick Pichette,,Executives,7,"All right. So let me jump by the second one first. Compute Engine, most of our CapEx right now is really driven by data center construction and machines that are actually driving both the core businesses of Google. And of course, App Engine, but App Engine I wouldn't describe as any of the core areas where we're seeing a ton of growth. Not that App Engine is not successful, it's just when you compare it to Search or other elements that kind of use a lot more capacity. In the case of your first question, it's very clear that we don't usually break down each of these geographies. But the fundamental trends are happening across the web, right, and in the same way. So all this issue of some markets are growing much faster, which is the emerging markets. So you can see that and you can infer that from our results, obviously. Clearly, there's a shift between all those platforms, whether it be mobile, tablet and desktop gain across the world, so you can infer that as well. Our sites versus network, the U.S. is a strong network area, everybody knows that. And so you can basically kind of, from your own inference, kind of pick apart these kind of elements. But they, together, move to actually really make the ecosystem vibrant and growing. And at the end of the day, when you have to do -- as just -- how did you say it? ROIs don't lie, Nikesh? So I mean at the end of the day, that's what you're pleased about. You're pleased about great results for our users that give them exactly the right answer they're looking for, and great answers for advertisers. So that's how actually you should think about it, Carlos. Thank you for your question.",302
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144309.0,Question and Answer Operator Message,Operator,,Operator,8,We'll go next to Scott Devitt with Morgan Stanley.,10
29096.0,"Google Inc., Q4 2013 Earnings Call, Jan 30, 2014",2014-01-30,48.0,Earnings Calls,Alphabet Inc.,3231.0,574794.0,26144310.0,Question,Jordan Monahan,,Analysts,9,"It's actually Jordan for Scott. I guess 2 quick questions. The first is you didn't talk much about Nest. We were curious whether you were primarily interested in their design team or product or something else. And then on the other revenue line, what was the contribution to the other revenue line from Chromebooks or Chrome, otherwise, and the Enterprise?",61
