companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630820.0,Presentation Operator Message,Operator,,Operator,0,"Good day, ladies and gentlemen, and welcome to the Q4 2018 Intel Corporation Earnings Conference Call. [Operator Instructions] As a reminder, this conference call is being recorded.
I would now like to introduce your host for today's conference, Mr. Mark Henninger, Head of Investor Relations. Sir, you may begin.",49
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630821.0,Presenter Speech,Mark Henninger,,Executives,1,"Thank you, operator. And welcome, everyone, to Intel's Fourth Quarter and Full Year 2018 Earnings Conference Call. By now you should have received a copy of our earnings release and the earnings presentation. If you've not received both documents, they're available on our Investor website, intc.com. The earnings presentation is also available in the webcast window for those joining us online.
I'm joined today by Bob Swan, Intel's Chief Financial Officer and interim CEO; Murthy Renduchintala, Group President of the Technology, Systems Architecture & Client Group and Chief Engineering Officer; as well as Navin Shenoy, Executive Vice President and General Manager of the Data Center Group. In a moment, we'll hear brief remarks from Bob followed by Q&A.
Before we begin, let me remind everyone that today's discussion contains forward-looking statements based on the environment as we currently see it and, as such, does include risks and uncertainties. Please refer to our press release for more information on the specific risk factors that could cause actual results to differ materially.
A brief reminder that this quarter, we have provided both GAAP and non-GAAP financial measures. Today, we will be speaking to the non-GAAP financial measures when describing our consolidated results. The earnings presentation and earnings release available on intc.com include the full GAAP and non-GAAP reconciliations.
With that, let me hand it over to Bob.",225
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630822.0,Presenter Speech,Robert Swan,,Executives,2,"Thanks, Mark. And thanks to Navin and Murthy who will participate in the Q&A later in the call.
Before I get into the results, I'll take a minute to address what I expect is a top of mind question: the status of Intel's CEO search. The board continues to evaluate candidates for what I believe is the biggest and best open job on the planet. They are proceeding with a sense of urgency while also ensuring that they make the right choice for this great company. Meanwhile, Murthy, Navin, the entire management team and 107,000 employees have come together as a team to continue driving Intel's transformation to a data-centric company. Our 2018 results demonstrate the progress we made, and I'd like to share those results with you now.
2018 marked Intel's golden anniversary. It was a truly remarkable year for a remarkable company. Full year revenue grew 13% and crossed the $70 billion mark for the first time, setting an all-time revenue record for the third consecutive year. Our data center, Internet of Things, Programmable Solutions, memory, Mobileye and modem businesses each set all-time full year revenue records.
2018 was also a pivotal year in Intel's transformation to become a data-centric company, pursuing an expanded greater-than-$300 billion market opportunity. Intel's collection of data-centric businesses grew 20% in 2018 after adjusting for McAfee. The largest of our data-centric businesses, the Data Center Group, delivered record annual revenue of $23 billion, up 21% year-over-year on strong cloud demand and growing share with communication service provider customers. Our PC-centric business achieved 9% growth in 2018 as the PC market stabilized, and we gained share in modems.
While 2018 was a record year, we expected a stronger finish. Fourth quarter revenue of $18.7 billion was up 9% but short of our expectations as a result of a dramatically weakening modem demand, lower overall growth in China, cloud service providers absorbing capacity and a weakening NAND pricing environment. While revenue fell short, we exceeded our EPS outlook by $0.06 or about 5%.
We continued to deliver outstanding new products for our customers and previewed new innovations that position Intel to compete and win for years to come, and we also made significant progress in growth areas like AI, autonomous driving and 5G. I'll take a few minutes to give some specifics before we dive into the financial results.
Over the course of the quarter and culminating at CES, we highlighted breakthrough innovations that will be central to our product leadership for years to come. We outlined our product design philosophy, which combines 6 pillars of innovation: process technology, architecture, memory, interconnect, security features and software to consistently and reliably deliver leadership products that solve our customers' most challenging problems.
One example of this design philosophy in action is our unique Foveros 3D packaging technology. Foveros enables active stacking of logic chiplets for the first time in the industry's history and lets us mix and match process technologies and architectures to deliver breakthrough products. The first such product, Lakefield, is slated for production in 2019. Lakefield features a 10-nanometer hybrid CPU architecture combining a Sunny Cove CPU core, 4 low-power Atom CPU cores, Gen11 graphics and more in a dime-sized product that enables the smallest PC motherboard ever possible. Foveros gives us tremendous design flexibility and paves the way for a myriad of devices and systems combining high performance, high density and low-power silicon process technologies.
In the data center, we began shipping the new Cascade Lake family of high-performance Xeon processors with DL Boost for accelerated AI performance, hardware-based security mitigations and the first implementation of Optane DC persistent memory. Many of our data-center OEMs and cloud customers are now offering early trials of Intel Optane DC persistent memory, which is enabling entirely new usage models and improved system performance.
In client computing, we launched our new ninth gen Intel Core desktop product lineup for gaming and content creation, growth segments that demand Intel performance. We also previewed our upcoming 10-nanometer Icelake client CPUs, which will deliver unprecedented levels of integration, including DL Boost inference acceleration, WiFi 6, Thunderbolt 3 and Gen11 graphics, our first integrated GPU with a full teraflop of performance. Our 10-nanometer yields continue to improve, and Icelake remains on track to be in volume systems on retail shelves for the 2019 holiday selling season.
In Q4, we also made important progress in AI, 5G and autonomous driving. For artificial intelligence, we saw accelerating adoption of OpenVINO, our open-source tool kit for neural network optimization and the rapid deployment of AI-based Computer Vision. In addition to the strong adoption of OpenVINO by the developer community, we also launched several new products during the year, including our third-generation Vision processing unit. Our partners created a catalog of AI-based Vision accelerator cards with our VPU and FPGA products. While digital video was once a vertical within the IoT business, AI-based machine vision is becoming a critical horizontal capability that cuts across all IoTG verticals. And our leadership portfolio, both hardware and software solutions, is removing the barriers to deployment and accelerating IoTG's growth.
We also highlighted a new AI product on our road map, the Nervana Neural Network Processor for Inference, or NNPI, which is designed to accelerate inference workloads and achieve the highest performance per watt in the industry. We expect NNPI to be in production this year.
5G is another big opportunity for both our PC-centric and data-centric businesses. At CES, we unveiled the new 10-nanometer-based network system on chip, codenamed Snow Ridge, developed specifically for 5G wireless access and edge computing. Snow Ridge will bring Intel Architecture into wireless access base stations and allow more computing functions to be distributed out at the edge of the network. We expect to be in production on Snow Ridge in the second half of this year, which is also when we'll deliver our first 5G modem, the Intel XMM 8160 5G.
In autonomous driving and ADAS, mobilized effort to lead this revolution continues to build momentum with 28 new design wins and 78 vehicle model launches in 2018. In the fourth quarter, we announced plans to commercialize mobility as a service in Israel with Volkswagen and Champion Motors, making Mobileye's breadth of products, technologies and services unmatched in the industry. Mobileye's products now span from open ADAS and AV compute platforms to turnkey vehicle retrofits to, ultimately, mobility as a service. And they are enabled by the industry's best vision algorithms and driving policy software, the groundbreaking RSS model for AV safety and REM real-time crowdsourced maps.
At CES, we announced important progress for both RSS and REM. ITS, China's leading industry organization for transportation standards, approved a proposal to standardize RSS for the China market. We also completed the mapping of Japan's highway system, 25,000 kilometers of roads, using data harvested from a customer fleet of vehicles outfitted with EyeQ4 in just 24 hours. This is a task that would have previously required thousands of hours of driving and scanning using specialized vehicles. This sort of breakthrough is possible only with Mobileye's combination of technology and massive market scale, and it positions Mobileye to monetize ADAS and AV technology long before Level 4 and 5 autonomy are deployed at scale. And REM will be monetized in areas beyond autonomous vehicles. We just announced a partnership with Ordnance Survey who use data collected via consumer vehicles outfitted with EyeQ4 to help utilities manage infrastructure.
Looking back at 2018, it is abundantly clear that Intel's employees, the unstoppable engine driving our innovation, are more determined than at any point in our history to make Intel technology the foundation for the world's most important innovations and advances. Not only was it a record year from a financial perspective, we achieved major milestones in terms of our diversity and inclusion goals. We reached full representation in our U.S. workforce 2 years ahead of our plan. We also achieved gender pay equity across our global workforce. And to celebrate 50 years of Intel, more than 68,000 employees volunteered approximately 1.5 million hours in the communities where we operate. I'm proud of what Intel employees achieved in 2018, and I am equally proud on how they responded to challenges.
With that, let's turn to the financial results. The fourth quarter closed a record 50th anniversary year with strong data-centric and PC-centric growth. Revenue for the quarter was $18.7 billion, up 9% year-over-year. Our data-centric businesses were collectively up 9%, and our PC-centric business was up 10%. Operating margin of 35% was approximately flat with strong mix and continued spending leverage, offset by 10-nanometer cost and growth in our adjacent businesses. Strong business performance, spending leverage and a lower tax rate resulted in non-GAAP net income of $5.9 billion, up 14% year-over-year. EPS of $1.28 was up 18% year-over-year.
For the full year of 2018, we generated $14.3 billion of free cash flow; returned $16.3 billion to shareholders, including $5.5 billion in dividends; repurchased 217 million shares; and increased our buyback authorization by $15 billion. Free cash flow was $1.2 billion short of our October expectations due largely to an increase in accounts receivable.
To summarize, we had a strong quarter and fantastic year with full year revenue up 13% or nearly $6 billion higher than our original forecast in January. Earnings per share was up 32%, and free cash flow was up 38% over last year. We're expecting another record year in 2019. And as a result of our continued growth, we are raising the dividend 5%.
Our leadership products continue to win share in our expanded TAM as both our data-centric and our PC-centric businesses continued to grow in the fourth quarter. Our data-centric businesses were up 9% for the quarter as customers choose our performance products to move, store and process more data faster from the cloud to the edge. And our PC-centric business was up 10% as we saw continued strength in the commercial and gaming PC segments and regained modem share.
Moving to earnings. We generated solid EPS expansion in the quarter, up 18% year-over-year, and our operating income increased $580 million with operating margin approximately flat year-over-year in the quarter. Our EPS improvement was driven by growing demand for higher-performance products in the data center and client businesses, leading to higher volumes and ASPs, continued spending leverage, a lower tax rate and lower share count as a result of buybacks.
Our focus on operational efficiency continues to produce strong results with 2018 spending as a percentage of revenue at 28.6%, down over 7 points since 2015 and meeting our 30% commitment 2 full years ahead of our goal. R&D is up $1.4 billion over the same period as we continue to increase investment in areas that will drive growth in our expanded TAM such as product leadership, artificial intelligence and autonomous driving. Over the last 3 years, we've grown annual revenue by more than $15 billion while adding less than $250 million in spending, resulting in a more than 25% increase in revenue per employee.
Now some Q4 performance highlights by segment. The Data Center Group delivered another greater-than-$6 billion revenue quarter and a growing storage and networking CPU TAM that is greater than 30 million units. Revenue of $6.1 billion was up 9% year-over-year but below our October expectations. Year-over-year growth decelerated as all 3 major verticals within DCG were impacted by weakness in China demand and as some CSPs moved to consume capacity put in place earlier in the year. Platform unit volume was up 9%, and ASPs were up 1%. Our Xeon ASP grew mid-single digits as customers continue to transition to Xeon Scalable and a richer mix of higher-performance products. We also saw ASP expansion in our SoC products and much higher SoC volume as we continued to have success in network transformation. The higher SoC volumes resulted in more modest blended platform ASP growth. Non-CPU adjacencies were down 2%, driven by several large onetime deals in the fourth quarter of 2017 that did not repeat in the fourth quarter '18. Cloud revenue grew 24% year-over-year, decelerating from Q3 '18. Enterprise and government revenue declined 5% year-over-year on a very challenging compare versus fourth quarter 2017 and weaker China demand. Comms service provider revenue grew 12% year-over-year on continued MSS gains as customers choose to virtualize and transform their networks on Intel Architecture.
Our other data-centric businesses, IoTG, NSG and PSG, achieved solid growth in Q4, together were up 9% year-over-year or 13% excluding the Wind River divestiture. Our Internet of Things business had revenue of $816 million, down 7% or up 4% excluding Wind River, with operating profit of $189 million, down 27% year-over-year due primarily to supply constraints. Mobileye revenue was $183 million, up 43% over last year as design wins and ADAS adoption continue to accelerate.
Our memory business delivered revenue of $1.1 billion, up 25% year-over-year due to strong data center growth and continued Optane adoption offset by a weaker NAND pricing environment. The shift of our data center and client SSDs to our 64-layer 3D NAND continues in both the data center and client businesses with volume mix greater than 75%. NSG was approximately breakeven for the year.
As expected, Micron exercised its right to call Intel's interest in our joint venture IM Flash Technologies. This announcement does not change Intel's plans in the coming quarters, and the close of the call is at our discretion up to 1 year after the date of the call with a supply agreement that extends beyond the close. We have manufacturing options available and have been shipping a broad portfolio of Intel Optane technology products for more than a year. We will continue to expand our product line and lead the industry with this exciting new technology.
PSG's revenues came in at $612 million, up 8% on strength in the data center and comms segments. We saw continued momentum in PSG's data center segment, up 50% over last year. In the Advanced products category, our 28-, 20- and 14-nanometer solutions grew an outstanding 70%. Operating profit was $162 million, up 4% year-over-year.
Finally, the Client Computing Group delivered another outstanding quarter with revenue of $9.8 billion, up 10% year-over-year. Commercial and gaming demand continued to be strong. The notebook segment grew 8% year-over-year. The desktop segment grew 3% year-over-year. Supply remained constrained, particularly at the value end of our product range. We are working closely with our customers to align demand with available supply while we add capacity, and we expect supply-demand balance to improve by midyear.
Client adjacencies grew 45% year-over-year, driven primarily by increased modem share gains. Though modem revenue fell significantly below our expectations as a result of weaker smartphone demand.
Our operating profit grew $402 million year-over-year with operating margin up 1 point. While our PC volumes were down 2%, our leadership product performance and segmentation contributed to strong mix.
The investments we have made in the business organically and through acquisition are delivering excellent cash flow generation. For 2018, we generated $29.4 billion in cash from operations. We invested $15.2 billion in capital expenditures and delivered $14.3 billion in free cash flow, up 38% year-on-year and closing the gap versus EPS by 4.5 points. During this period, we returned 114% of our free cash flow to our shareholders. Buybacks totaled $10.7 billion, and dividends totaled $5.5 billion. In addition, settlements of our convertible debt reduced fully diluted shares by 40 million.
To wrap up with our full year results, we ended 2018, our 50th anniversary year, with our third consecutive year of record results, revenue of $70.8 billion, up 13% year-on-year driven by 20% growth in our data-centric businesses and 9% growth in our PC-centric businesses. We started the year in January expecting to generate $65 billion in revenue, 30% operating margin and $3.55 in EPS. The growth that we and the industry have seen has been remarkable. We ended the year approximately $6 billion higher in revenue with operating margin of 35% and $4.58 in EPS. Operating income of $25 billion was up 25% on strong execution across the businesses and disciplined spending.
In October, we provided a preview of our outlook for 2019. At the time, we described a combination of tailwinds and headwinds that we balanced. The tailwinds were an expanded and growing TAM, product momentum and business mix. The headwinds were tougher compares following an especially strong 2018 and increasingly competitive environment in global trade. Since that time, trade and macro concerns, especially in China, have intensified. Cloud service providers shifted from building capacity to absorbing capacity, and the NAND pricing environment has further deteriorated. Those incremental headwinds are impacting our revenue expectations and slightly reducing our operating margin percentage forecast. The remaining factors are roughly consistent with our October assessment.
Now turning to our outlook for 2019. We expect 2019 to be another record year for us as the world's appetite for the analysis, transmission and storage of data continues to grow. We are forecasting revenue of approximately $71.5 billion, up 1% year-on-year, and operating margin of approximately 34%, down less than a point year-on-year. We expect a modest decrease in gross margin percentage driven by the 10-nanometer ramp and the growth of our adjacencies. This will be partially offset by increasing OpEx leverage as we continue to make thoughtful tradeoffs and invest in R&D that will accelerate our growth and profitability. We expect the full year tax rate to be approximately 13.5%, following several beneficial discrete events in 2018, and we expect EPS of $4.60.
We expect gross capital expenditures of $15.5 billion with logic spending up and memory spending down. The increase in logic CapEx reflects our effort to meet our customers' needs and avoid constraining their growth, while our investment in memory is focused on the sit-up of our independent technology development facility in New Mexico. And finally, we expect free cash flow of $16 billion, an increase of approximately 12%.
As we look to the first quarter of 2019, we are forecasting revenue of approximately $16 billion, flat year-on-year, excluding Wind River. We expect PC-centric revenue to be up low single digits on higher modem share and data-centric revenue to be down low single digits on broad weakness in data center and continued NAND pricing pressure. We expect operating margin of 29%, down 1 point year-over-year, with a decline in gross margin as a result of the 10-nanometer ramp and the growth of adjacencies, partially offset by increased spending leverage. We expect EPS of $0.87, flat year-on-year.
We expect 2019 to be our fourth record year in a row. We feel great about where we are and where we're going. Five years ago, we set out to transform Intel from a PC-centric company to a data-centric company. Today, our strategy, products and people are delivering on that ambition with strong growth, record results and the largest TAM opportunity in the company's history. I have been inspired and humbled time and time again by our employees' commitment to this company, their colleagues and our customers. And we're just getting started. I am convinced the board will close on a new CEO in the near future, and I believe the management team, myself and 107,000 employees will rally behind him or her to take this company to a whole new level. In the meantime, we will not be distracted by the void.
With that, let me turn it over back to Mark, and we'll get to your questions.",3253
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630823.0,Presenter Speech,Mark Henninger,,Executives,3,"Okay. Thank you, Bob. Moving on now to the Q&A. [Operator Instructions] Operator, please introduce our first questioner.",18
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630824.0,Question and Answer Operator Message,Operator,,Operator,4,[Operator Instructions] Our first question comes from John Pitzer with Credit Suisse.,12
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630825.0,Question,John Pitzer,,Analysts,5,"Just relative to the DC -- the data-centric guidance for the full year of up mid-single digits year-over-year in calendar year '19, you did a good job kind of explaining what's causing the weakness in Q1, DCG and the NAND pricing. But as you look throughout the year from a minus kind of low single digits to full year being mid-single-digit growth, you are kind of looking for an acceleration against what becomes harder year-over-year compares in the June and September time frame at least. I'm just kind of curious if you can help us frame how you think that, that reacceleration occurs. How long of a pause are you seeing with the cloud customers? And importantly, how are you thinking about increased competition in '19 in the data-centric businesses, especially in the server business, as you think about mid-single-digit year-over-year growth?",142
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630826.0,Answer,Robert Swan,,Executives,6,"Yes. Thanks for your one question, John. I'll take a stab, and then Navin is here with me as well, I'm sure he has some few comments. First, I would say that since we look at just overall demand for the data center environment, the end user demand by consumers and by enterprises, the workloads that we're seeing, the continued growth in workloads, we are as excited about the future as we've ever been. So we feel pretty good about the medium and long-term trends. 
As you know, in 2018, our growth rate, particularly in the cloud, was up 45% through the first 9 months of the year. So what we saw in the fourth quarter was -- as I had mentioned, we saw a little bit of consumption going on. As you know, the purchases are done in -- kind of in cycles, massive purchases through the first 9 months. And we started to see some of those purchases consumed in the fourth quarter. And we end the year, we think, with inventory levels on the server side of the business just a little bit higher than they had been historically. So as we project forward in the first 6 months of the year, we think that it's going to continue to be both consumption on the server side and pricing in the NSG environment to be down through the first 6 months. And consistent with kind of historical patterns, we do expect the purchasing to start picking up again in the second half of the year. That's kind of how we see it. Long -- medium, long-term, we feel great, massive buying in the first 9 months. The buying slowed a bit in the fourth quarter, and we expect that to continue through the first 6 months. 
I think just -- I think the last part of your question, I think just competitively, and I'll tick it over to Navin, look, we're going into 2019 with every expectation to compete, to protect our share position across our entire business. So we're going to -- we're obviously investing in the capital required to ensure we don't constrain customers' growth. We're continuing to invest in R&D. And third, we're going to invest to protect our competitive position, both on the PC side and the data-centric side. So yes, we expect competition to be stronger as we go through '19, but we're going to -- our guidance incorporates the fact that we're going to fight to protect our position. Navin, any...",420
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630827.0,Answer,Navin Shenoy,,Executives,7,"Maybe the only thing I'd add, John, is that from a product point of view, the dynamic to think about in 2019 is that, as Bob mentioned, we began shipping for production Cascade Lake, our next-generation Xeon. And really, that product is going to ramp -- start to ramp in the middle part of the year and into the second half of the year. The design momentum looks very strong. The product features look very compelling. The AI capability we have with DL Boost, the support for Optane persistent memory, the security, hardware mitigation fixes, so that the customer momentum around that product line looks very strong. But it really doesn't ramp until the middle to the second half of the year. So as Bob said, the first half, a little bit tougher but second half, with product momentum as well as what we're hearing from our customers, we expect to be better in the Data Center Group.",159
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630828.0,Question and Answer Operator Message,Operator,,Operator,8,And our next question comes from Stacy Rasgon with Bernstein Research.,11
21127.0,"Intel Corporation, Q4 2018 Earnings Call, Jan 24, 2019",2019-01-24,48.0,Earnings Calls,Intel Corporation,3602.0,1640911.0,64630829.0,Question,Stacy Rasgon,,Analysts,9,"To maybe generalize on that, if I just look through your guidance, you're basically guiding flat in Q1. And roughly flattish for the full year would suggest that overall, you're looking for a revenue trajectory in 2019 that's very similar to the trajectory you had in 2018, which was very, very strong sequentially, in many of the quarters. So I guess, what is the risk, just given everything that's going on that, that may be too aggressive, especially as you had a number of drivers in 2018, both on the data center as well as on the client side, that aren't going to be repeated in 2019? Like how do we think about that?",114
