companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941987.0,Presentation Operator Message,Operator,,Operator,0,"Good afternoon. My name is Tamara, and I will be your conference operator today. At this time, I'd like to welcome everyone to the NVIDIA Financial Results Conference Call. [Operator Instructions] I would now like to turn the call over to your host, Rob Csongor, Vice President of Investor Relations. Sir, you may begin.",54
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941988.0,Presenter Speech,Rob Csongor,,Executives,1,"Thank you. Good afternoon, and welcome to NVIDIA's conference call on annual and fourth quarter of fiscal 2012 results. 
With me on the call today from NVIDIA are Jen-Hsun Huang, President and Chief Executive Officer; and Karen Burns, Interim Chief Financial Officer. After our prepared remarks, we will open up the call to a question-and-answer session. [Operator Instructions].
Before we begin, I'd like to remind you that today's call is being webcast live on NVIDIA's Investor Relations website and is also being recorded. A replay of the conference call will be available via telephone until February 22, 2012, and the webcast will be available for replay until our conference call to discuss our financial results for our first quarter of fiscal 2013. The content of today's conference call is NVIDIA's property and cannot be reproduced or transcribed without our prior written consent.
During the course of this call, we may make forward-looking statements based on current expectations. These forward-looking statements are subject to a number of significant risks and uncertainties, and our actual results may differ materially. For a discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release, our Form 10-Q for the quarterly period ended October 30, 2011, and the reports we may file from time to time on Form 8-K filed with the Securities and Exchange Commission.
All our statements are made as of today, February 15, 2012, based on information available to us as of today, and except as required by law, we assume no obligation to update any such statements. Unless or otherwise noted, all references to market research and market share numbers throughout the call come from Mercury Research or Jon Peddie Research.
During this call, we will discuss non-GAAP financial measures. You can find a reconciliation of these non-GAAP financial measures to GAAP financial measures in our financial release, which is posted on our website or in the case of our fiscal year 2013 outlook, the reconciliation is posted on our Investor Relations website.
With that, let's begin. After 5 consecutive quarters of sequential revenue growth, fourth quarter revenue was negatively impacted by the global disk drive shortage caused by the flooding in Thailand, which affected the mainstream GPU segment more than anticipated. Shipments by some PC OEMs were reduced, and higher disk drive prices constrained the ability of some PC OEMs to include a GPU in their systems.  Additionally, the Tegra 2 mobile business declined more rapidly than expected ahead of devices based on the Tegra 3 processor ramping into production in the first quarter of calendar year 2012. 
However, despite tough economic conditions and the exiting of our chipset business, NVIDIA recorded very good results for our full fiscal year 2012.  First, our overall GP -- our overall business grew 33%, excluding the chipset business we've been exiting. Discrete GPUs, including GeForce, Quadro and Tesla grew sharply over the year. GPU attach rates remained strong at 53% of consumer PCs and 36% overall, according to Mercury Research data.
A resurgent PC gaming market saw games like Battlefield 3 and Modern Warfare 3 record over $1  billion in sales in their first week on the shelves. At the time of the launch of Battlefield 3, over 80% of gamers were below the recommended hardware specification to play the game, driving a significant increase in gamer GPU revenues over the year.
Our Professional Solutions Business had a record revenue year driven by large adoption of the Fermi generation of Quadro workstation products, as well as growth in emerging design economies such as India and China. Our Tesla products were selected to power the world's fastest supercomputers, including Oak Ridge National Laboratory's upcoming Titan supercomputer. In addition, we made major strides in speeding up GPU computing applications support and code porting through our open HPC and directives initiatives.
And in one of our most important achievements for the year, we established a position in the mobile market. Tegra products captured share in Tier 1 tablets and smartphones. Over the course of the year, Tegra products shipped in 14 phones, 34 tablets and in 18 of the top 20 carriers. We designed and shipped 3 generations of Android devices. With Tegra 2, we were the first to ship dual-core mobile processors. And now with Tegra 3, we are the first to ship quad-core processors. The Tegra mobile processor has grown into a multi-hundred million dollar business.
Looking ahead, while we anticipate continued negative effects from the hard drive shortage, we believe gaming demand will continue to be robust, driven by the combination of our next-generation Kepler architecture and new hit games, such as Mass Effect 3 and Diablo III, both highly anticipated PC games coming in early calendar year 2012.
We believe that tax rates will continue to be stable, and that we are well positioned to grow notebook share with significant new notebook wins in the upcoming Ivy Bridge design cycle.
We are excited about a number of recent announcements we made in the professional space, which we believe will transform the workstation.  First, yesterday, we announced that NVIDIA has joined forces with HP to introduce the world's first of all-in-one workstation, the Quadro-based HP Z1 Workstation. The Z1 features a 27-inch display that snaps open like the hood of the car, so users can easily swap out parts and make upgrades without any tools required. This is the first and an entirely new category of professional workstation that we believe will tap market segments where space is a premium and users are unwilling to compromise performance. 
Second, we announced Maximus, a breakthrough for the workstation industry. Maximus enables for the first time a single workstation to simultaneously handle real-time visualization and compute-intensive simulation, functions which previously required separate steps or separate systems. Design and creative professionals have longed for machine that could perform these functions simultaneously. Maximus includes a combination of Quadro and Tesla, unifying software technology and a rigorous certification process for professional applications. We believe Maximus will redefine the workflow in several segments and that workstations will increasingly shift with multiple GPUs.
Meanwhile, Tesla continued to make headlines in computational science. In addition to a number of new supercomputer deployment announcements, we announced breakthroughs in research. Two of the most important supercomputers in the world were recently announced in Oak Ridge National Labs' Titan and the NCSA's Blue Waters, both Tesla-based. China -- Chinese researchers announced they had achieved a major breakthrough in the race to battle influenza by using NVIDIA Tesla GPUs to create the world's first computer simulation of a whole H1N1 influenza virus at the atomic level.
With Tegra 3, we believe our mobile business is poised for renewed growth. In addition to the launch of the world's first quad-core tablet, the ASUS Transformer Prime, we announced tablets based on Tegra 3 from a number of key OEMs, including Lenovo, ZTE, Fujitsu and Acer. We also announced, together with ASUS, the world's first quad-core tablet priced at $249, the ASUS 7-inch MeMO ME370T. Next up, our Tegra 3 phones. We're looking forward to announcing some of the first ones at Mobile World Congress.  
With innovating, exciting new tablets at the high end, quad-core tablets at lowered price points for consumers, the world's first quad-core smartphones coming soon and Windows 8 devices later in the year, we remain confident that Tegra 3 will drive a new phase of growth for our mobile business.
With that, let me hand the call over to Karen.",1255
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941989.0,Presenter Speech,Karen Burns,,Executives,2,"Thanks, Rob. For the fiscal year 2012, revenue was $4 billion, up 12.8% from the prior year. GAAP net interest -- net income grew 129.5%, resulting in earnings of $0.94 per diluted share, an increase of 118.6% over the prior fiscal year of $0.43. Non-GAAP net income grew 54.2%, resulting in earnings of $1.19 per diluted share, an increase of 46.9% over the prior fiscal year of $0.81.
For the fourth quarter, revenue was $953.2 million, down 10.6% from the prior quarter. As Rob discussed, the hard disk drive shortage had more impact on our mainstream GPU segments than originally anticipated, and our Tegra 2 products declined more rapidly than expected. GAAP gross margin for the quarter was 51.4%, 0.8% lower than the prior quarter and our original expectations due to an additional charge in the quarter to settle a patent dispute with Rambus. Non-GAAP gross margin, which excluded this charge, was 52.5%, consistent with the record gross margins we achieved in Q3. These results contributed to a GAAP net income of $116 million for the quarter or $0.19 per diluted share, and non-GAAP net income worth $158.1 million or $0.26 per diluted share.
Revenue results by business segment were as follows: Our GPU business was down 3.6% quarter on quarter, due to the impact of the disk drive shortage on our mainstream GPU desktop and notebook businesses. Our professional business was down 3.6% from the record level achieved in the third quarter. Our Consumer business was down 42.5% sequentially. As mentioned previously, this primarily related to the sharp decline in our Tegra 2 products ahead of the ramp of Tegra 3, as well as the seasonal decline in our game console revenues.
For GAAP, our outlook for the first quarter is as follows: Revenue at $900 million to $930 million; gross margin of 49.2%, plus or minus 1%; OpEx at $383 million; and a tax at approximately 20%. For non-GAAP, we expect the following differences from our gap outlook: gross margin of 49.5%, plus or minus 1%; and OpEx at $340 million. Depreciation and amortization are expected in the range of $52 million to $56 million, and capital expenditures in the range of $35 million to $45 million. Diluted shares are expected to be 622.5 million.
As for the FY '13 outlook, our view of the market has changed and the outlook we gave in Q3 should no longer be relied upon. We are updating our FY '13 outlook as follows: we expect the overall PC market to experience continued headwind from the disk drive shortage. We expect our GPU business to gain share. Our Professional Solutions Business is expected to have another record year. Maximus enables us to sell more than 1 GPU on to a workstation, and new supercomputer centers around the world are anticipating the shipment of Kepler.
Tegra this year was $360 million, and we expect it to grow at least 50%. We expect gross margins to exit FY '13 at around 52%. We expect our OpEx investments in FY '13 to be approximately $1.56 billion on a GAAP basis and $1.4 billion for non-GAAP. 
That concludes our prepared remarks. We will now take questions.",530
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941990.0,Question and Answer Operator Message,Operator,,Operator,3,[Operator Instructions] And your first question comes from the line of JoAnne Feeney.,13
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941991.0,Question,JoAnne Feeney,,Analysts,4,"I just wish you could give us a little bit more clarity on the outlook, in particular which segments do you see driving the reduction quarter-over-quarter? And why are you expecting the decline in the gross margin? Is it purely volume or is it mix or some of both?",49
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941992.0,Answer,Jen-Hsun Huang,,Executives,5,"The top line decline for Q1 is expected to be due to the hard disk drive shortage continuing, as well as a shortage of 28-nanometer wafers. We're ramping our Kepler generation very hard, and we could use more wafers. The gross margin decline is contributed almost entirely to the yields of 28-nanometer being lower than expected. And that is, I guess, unsurprising at this point. And because we have -- we use wafer-based pricing now, when the yield is lower, our cost is higher. And so we've transitioned to a wafer-based pricing for some time. And our expectation, of course, is that the yields will improve as they have in the previous generation nodes, and as the yields improve, our output would increase and our costs will decline. And that's why we expect to exit the year at 52% or about.",141
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941993.0,Question and Answer Operator Message,Operator,,Operator,6,The next question comes from the line of Chris Caso with Susquehanna Financial.,13
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941994.0,Question,Christopher Caso,,Analysts,7,"With regard to the Tegra business, and you gave some outlook for fiscal '13 in general, could you give us some indication as to how that looks as you go through the year? When do the Tegra 3 wins come up? And then perhaps talk about the impact of Windows on ARM and you talked about that having some potential impact later this year. If you could expand on that.",70
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941995.0,Answer,Jen-Hsun Huang,,Executives,8,"We're expecting to -- Tegra 3 -- as you know, Tegra 3 tablets are starting to ramp in the marketplace. But this quarter, we are expecting to announce and ship Tegra 3-based superphones. And they -- rumors of them are starting to -- and excitement about it is starting to leak, but at Mobile World Congress is when we expect to announce these devices. And we expect to announce and ship them this quarter. And so we're expecting Q1 to be a sharp uptick in Tegra sales and shipments. Our expectation is Windows 8 is later in the year. And Microsoft has given their estimates about Windows 8, and our expectation is that there will be meaningful contributions from Windows 8 later in the year, starting probably in Q3.",130
32307.0,"NVIDIA Corporation, Q4 2012 Earnings Call, Feb 15, 2012",2012-02-15,48.0,Earnings Calls,NVIDIA Corporation,3598.0,259182.0,12941996.0,Question,Christopher Caso,,Analysts,9,"All right. And just as a follow-up, with respect to kind of what you're seeing in the PC market and specifically, the impact of hard drives, maybe give a little more color that. Obviously, we've heard from some of your competitors on that and it sounded like that the hard drive availability is getting somewhat better depending on who you talk to. How do you see that playing out kind of over the next 2 quarters or so as it impacts your business?",83
