companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033455.0,Presenter Speech,Jeff Su,,Executives,0,"[Foreign Language] Happy New Year to everyone, and welcome to TSMC's Fourth Quarter 2019 Earnings Conference and Conference Call. This is Jeff Su, TSMC's Deputy Director of Investor Relations and your host for today. Today's event is webcast live through TSMC's website at www.tsmc.com. [Operator Instructions] As this conference is being viewed by investors around the world, we will conduct this event in English only.  
The format for today's event will be as follows: First, TSMC's Vice President and CFO, Mr. Wendell Huang, will summarize our operations in the fourth quarter of 2019 and the full year of 2019, followed by our guidance for the first quarter of 2020. Afterwards, Mr. Huang and TSMC's CEO, Dr. C.C. Wei, will jointly provide the company's key messages. Then, TSMC's Chairman, Dr. Mark Liu, will host the Q&A session where all 3 executives will entertain your questions. 
For those participants on the call, if you do not yet have a copy of the press release, you may download it from TSMC's website at www.tsmc.com. Please also download the summary slides in relation to today's earnings conference presentation. 
As usual, I would like to remind everybody that today's discussions may contain forward-looking statements that are subject to significant risks and uncertainties, which could cause actual results to differ materially from those contained in the forward-looking statements. So please refer to the safe harbor notice that appears on our press release. 
And now I would like to turn the microphone over to TSMC's CFO, Mr. Wendell Huang, for the summary of operations and the current quarter guidance.",262
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033456.0,Presenter Speech,Jen-Chau Huang,,Executives,1,"Thank you, Jeff. Happy New Year, everyone. Thank you for joining us today. My presentation will start with financial highlights for the fourth quarter and a recap of full year 2019. After that, I will provide the guidance for the first quarter of 2020. 
Fourth quarter revenue increased 8.3% sequentially to TWD 317 billion, driven by high-end smartphones, initial 5G deployment and HPC-related applications using TSMC's industry-leading 7-nanometer technology. 
Gross margin increased 2.6 percentage points sequentially to 50.2%, thanks to a higher level of capacity utilization and continuous cost improvement, partially offset by an unfavorable foreign exchange rate. 
Total operating expenses increased by TWD 3.6 billion, reflecting higher development activities for 5-nanometer and 3-nanometer as well as opening expenses in preparation for 5-nanometer ramp. 
Operating margin increased by 2.4 percentage points sequentially to 39.2%. 
Overall, our fourth quarter EPS reached TWD 4.47 and ROE was 28.9%. 
Now let's take a look at revenue by technology. 7-nanometer process technology continued to ramp strongly and accounted for 35% of wafer revenue in the fourth quarter; 10-nanometer was 1%; and 16-nanometer was 20%. Advanced technologies, defined as 16-nanometer and below, accounted for 56% of wafer revenue, up from 51% in the third quarter. 
On a full year basis, 7-nanometer contribution increased from 9% in 2018 to 27% of wafer revenue in 2019; 10-nanometer was 3%; and 16-nanometer was 20%. Advanced technologies accounted for 50% of total wafer revenue, up from 41% in 2018. 
Now let's take a look at revenue contribution by platform. Our fourth quarter revenue growth was driven mainly by smartphone and HPC. Smartphone increased 16% quarter-over-quarter to account for 53% of our fourth quarter revenue. HPC increased 6% to account for 29%. IoT decreased 4% to account for 8%. Automotive remained flat and accounted for 4%. 
On a full year basis, smartphone and IoT led the growth with 12% and 33%, respectively, while HPC, automotive and DCE decreased 8%, 7% and 8%, respectively. If we exclude cryptocurrency from both years, HPC would have grown mid-single digit in 2019. Overall, smartphone accounted for 49% of our 2019 revenue; HPC, 30%; and IoT, 8%. 
Moving onto the balance sheet. We ended the fourth quarter with cash and marketable securities of TWD 583 billion, flat versus the prior quarter. On the liabilities side, current liabilities increased by TWD 96 billion as we increased TWD 33 billion in short-term borrowings mainly for hedging purpose, TWD 51 billion in payables to suppliers and TWD 13 billion in dividends payable. On financial ratios, accounts receivable turnover days remained at 41 days. Days of inventory decreased 10 days to 55 days due to higher wafer shipments during the quarter. 
Now let me make a few comments on cash flow and CapEx. During the fourth quarter, we generated about TWD 203 billion in cash from operations, spent TWD 170 billion in CapEx and distributed TWD 52 billion for first quarter '19 cash dividend. We also increased 33 -- TWD 36 billion in short-term loans for hedging purpose. Overall, our cash balance slightly increased TWD 3 billion to TWD 455 billion at the end of the quarter. In U.S. dollar terms, our fourth quarter capital expenditures reached USD 5.6 billion and totaled USD 14.9 billion for the full year. 
Now let's take a look at the recap of our performance in 2019. 2019 was a challenging year for the global semiconductor industry given the rising macroeconomic uncertainties and supply chain inventory correction, to name a few. However, we are able to grow our revenue by 1.3% year-over-year in U.S. dollar term and 3.7% in NT dollar term. 
Gross margin decreased 2.3 percentage points to 46% primarily because of lower capacity utilization in the first half of the year. Operating margin decreased 2.4 percentage points to 34.8%. Overall, full year EPS slightly declined 1.7% to TWD 13.32. 
On cash flow, we spent TWD 460 billion in CapEx, while we generated TWD 615 billion in operating cash flow and TWD 155 billion in free cash flow. We also paid TWD 259 billion in cash dividends, an increase of 25% from the previous year. 
I have finished my financial summary. Now let's turn to first quarter guidance. Based on the current business outlook, we expect our first quarter revenue to be between USD 10.2 billion and USD 10.3 billion, which represents a 1.4% sequential decrease at the midpoint. Based on the exchange rate assumption of USD 1 to TWD 29.9, gross margin is expected to be between 48.5% and 50.5%; operating margin between 37.5% and 39.5%. 
Now I will look -- I would like to make one more comment on tax rate. In the past, we needed to accrue tax on undistributed earnings, which trigger a much higher tax rate in the second quarter. Now, due to the tax regulation changes, we can offset the tax with our capital investments and no longer need to incur the tax expense on undistributed earnings. 
Meanwhile, we are still subjected to the alternative minimum tax. As a result, we will still have a full year tax rate approximately 12%, and this will be equally applied to all 4 quarters of the year. This concludes my financial presentation. 
Let me follow by making a few comments about near-term demand in inventory and 2020 capital budget. We concluded our fourth quarter with revenue of TWD 317.2 billion or USD 10.4 billion, slightly above our guidance, mainly due to better demand from smartphone-related applications than our forecast 3 months ago. Concluding 2019, the semiconductor industry, excluding memory, declined 3%, while foundry was flat. TSMC's revenue grew 1.3% year-over-year in U.S. dollar terms, outpacing both the semiconductor ex memory and foundry industry growth.
On the inventory front, our fabless customers' overall inventory continue to be digested throughout the fourth quarter. We now expect it to reduce to the seasonal level exiting 2019, setting up a healthier inventory base entering 2020. 
Moving into first quarter 2020, despite mobile product seasonality, our business is expected to be better than the seasonality in recent years, supported by continued ramp of 5G smartphones. 
Now I will talk about our capital budget in 2019 and 2020. We expect the ramp of 5G-related and HPC applications to drive strong demand for our advanced technologies in the next several years. In order to meet this increased demand and support of customers' capacity needs, we raised our 2019 CapEx guidance by $4 billion to $14 billion to $15 billion, and we ended up spending $14.9 billion. 
Our 2020 capital budget is expected to be between USD 15 billion and USD 16 billion. Out of the $15 billion to $16 billion CapEx for 2020, about 80% of the capital budget will be allocated for advanced process technologies including 3-, 5- and 7-nanometers. About 10% will be spent for advanced packaging and mask-making and about 10% for specialty technologies. With this level of capital spending in 2020, we reiterate that TSMC remains committed to sustainable cash dividends on both an annual and quarterly basis. 
Now let me turn the microphone to C.C.",1173
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033457.0,Presenter Speech,C.C. Wei,,Executives,2,"Thank you, Wendell. Good afternoon, ladies and gentlemen. Let me start with our 2020 full year outlook. 
For the full year of 2020, we forecast the overall semiconductor market growth excluding memory to be 8%, while foundry industry growth is forecast to be about 17%. For TSMC, we are confident we can outperform the foundry revenue growth by several percentage points in U.S. dollar term. Our 2020 business will be supported by strong demand for our industry-leading 7-nanometer and 5-nanometer technologies, where we see strong interest from all 4 growth platform which are mobile, HPC, IoT and automotive. 
Now let me talk about 5G and HPC as the major long-term growth driver for TSMC. We continue to see stronger deployment of 5G networks and smartphones in several major markets around the world. We reiterate mid-teens penetration rate for 5G smartphones of the total smartphone market in 2020. We also forecast a faster penetration of 5G smartphone as compared to 4G over the next several years while silicon content of 5G smartphone will be substantially higher than that of a 4G smartphone. 
In addition, the significant performance, bandwidth and latency improvement of 5G network will drive AI application and unlock new usage cases such as real-time response and control across many different types of connected end devices. We believe 5G is a multiyear megatrend that will enable a world where digital computation is increasingly ubiquitous, which will fuel the course of all 4 of our growth platform in the next several years. 
With 5G driving exponential network in the amount of big data being generated and continuous improvement in algorithm, a smarter and more intelligent world will require massive increase in computation power. Thus, HPC become another major long-term growth driver for TSMC. 
CPU, networking and AI accelerator will be the main growth area for our HPC platform. By working diligently to provide the foundry industry the most advanced technology and making it available to all the product innovators, TSMC can expand the pool of innovators who fuel the semiconductor industry growth. With the successful ramp-up of N7, N7+ and the upcoming ramp of N6, N5 and N3, we are able to widen our customer product portfolio and expand our addressable market. 
We also see growth in networking, thanks to 5G infrastructure deployment over the next few years. With 5G and HPC applications as a major growth driver, we now expect to grow at the high end of our long-term growth projection of 5% to 10% CAGR in U.S. dollar terms. 
Now I'll talk about the ramp-up of N7, N7+ and the status of N6. As N7 enters its third year of ramp, we continue to see very strong demand across a wide spectrum of products for mobile, HPC, IoT and automotive applications. Our N7+ is entering its second year of ramp. N7+ is the industry's first high-volume production with EUV photolithography technology while paving the way for N6. 
Our N6 provides a clear migration path for the next wave N7 products as its design rule are fully compatible with N7 while providing 15% to 20% higher density, which improve power consumption when compared to N7. N6 is on track for risk production in fourth quarter this year and volume production before the end of this year. N6 will have 1 more EUV layer than N7+ and will further extend our N7 family way into the future. We expect our 7-nanometer family to continue to grow in its third year and contribute more than 30% of our wafer revenue in 2020. 
Now allow me to talk about our N5 volume production. Our N5 technology is a full node stride from our N7, with 80% logic density gain and about a 20% speed gain compared with 7-nanometer. N5 will adopt the EUV extensively and is well on track for volume production in first half this year and with good yield. We expect a very fast and smooth ramp of N5 in the second half of this year, driven by both mobile and HPC applications. We expect 5-nanometer to contribute about 10% of our wafer revenue in 2020. N5 will be the foundry industry's most advanced solution with the best PPA. We will offer continuous enhancement to further improve the performance, power and density of our 5-nanometer technology solution into the future as well. Thus, we are confident that 5-nanometer will be another large and long-lasting node for TSMC. 
Finally, I'll talk about our N3 status. We are working with customers on N3's design, and the technology development progress is going well. We have many technology options in development and we carefully evaluate all the different approaches. Our decision is based on technology maturity, performance and cost. Our N3 will offer another full node scaling benefit in terms of performance, power and density as compared with our N5 technology. We expect our 3-nanometer technology will be the most advanced foundry technology in both PPA and transistor technology when it is introduced. We will announce more details about our N3 technology at our TSMC North America Technology Symposium on April 29. 
Thank you for your attention.",852
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033458.0,Presenter Speech,Jeff Su,,Executives,3,Okay. Thank you. This concludes our prepared statements. [Operator Instructions],10
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033459.0,Answer,Jeff Su,,Executives,4,"So now let's begin the question-and-answer session. Our first question will come from the floor. Crédit Suisse, Randy Abrams.",20
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033460.0,Question,Randy Abrams,,Analysts,5,"Yes. I guess with the trade war eased a bit, there's still a couple of maybe political issues out there, so I wanted to just start with that. The first one, if you could give some color on TSMC's U.S. content and just if -- maybe the calculation, there's talk about the content threshold lowered to 10%, and if -- there's some talk the equipment may be excluded from that calculation. So if you could give a bit more color about that. 
And then second, with more of the geopolitical concerns about some of the military technology, you've talked in the past about not needing to or having more scale with the fabs in Taiwan, but if any new considerations on the fab location?",124
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033461.0,Answer,Mark Liu,,Executives,6,"Yes. Happy New Year, everyone. On the possible further tightening up of export control from the U.S. government, I think this is -- they haven't really announced with the specifics about the rules. So everything I say here can only be a speculation. So -- and particularly, I don't want to comment on particular customers. But one thing for sure is our business profile is massive. We are everyone's foundry. And we will deal with each customer fairly and equally. 
Secondly is we have been and we will follow the law and regulation. So upon the regulation being effective, we will carefully study and evaluate, product by product, our eligibility in the export. And we really have a very sophisticated export control system. As you might know, every product is calculated automatically. Every product is different in terms of their content. So it's really difficult to describe to you generally what is the content percentages. But I can just tell you that whatever you read on the newspaper, it's not true, okay? So we are prepared to deal with this new export control regulation.",184
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033462.0,Question,Randy Abrams,,Analysts,7,"Yes. And thanks for clarifying especially that it's not a node by node, which some of the press was speculating. 
The second question, I just wanted to ask on the higher CapEx, where it came in the high end of guidance and a higher range of CapEx for 2020. If you could talk maybe the areas where the incremental increase both just from an investment, where that new spend is coming, and maybe what changed on the demand side versus a few months ago to lift the budget. 
And then the second part, because of this higher base, how you're looking at kind of the base over the -- say, the following year because now we have a 2-year higher elevated spend, if, say, some moderation from there.",128
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033463.0,Answer,C.C. Wei,,Executives,8,"Yes, we did increase substantial amount on the CapEx. Let me give you some color why we did that, okay? We expect -- actually, we expect the mobile phone and HPC, these 2 segments probably goes above 20% this year; and with another 2 segments, 2 platforms, automotive and IoT, probably in mid-teens. So put all together, we had to increase the capacity. We work with the customer to fulfill their demand and so that's a result of why we increase our capacity. 
Now your question about our growth?",89
380075.0,"Taiwan Semiconductor Manufacturing Company Limited, Q4 2019 Earnings Call, Jan 16, 2020",2020-01-16,48.0,Earnings Calls,Taiwan Semiconductor Manufacturing Company Limited,4842.0,1891053.0,74033464.0,Question,Randy Abrams,,Analysts,9,"Yes. The second question was where the spends sit, like 5, 7 versus back end, so where the additional increase?",20
