companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count,sentiment_value,complexity_value,normalized_sentiment,normalized_complexity
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355481.0,Presenter Speech,Craig DeYoung,,Executives,1,"Thank you, Operator, and good morning and good afternoon, ladies and gentlemen.  This is Craig DeYoung, Vice President of Investor Relations at ASML and I'd like to welcome you to our investor call and webcast.
As the operator mentioned, the subject of today's call is ASML's 2010 fourth quarter and annual results.  Co-hosting today's call from our headquarters here in Veldhoven, the Netherlands are Mr. Eric Meurice, ASML CEO and he is joined by Mr. Peter Wennink, ASMLS's CFO.
At this time, I'd like to draw your attention to the Safe Harbor statement contained in today's press release and in our fourth quarter results presentation, both of which you can find on our website at www.asml.com.  This Safe Harbor statement will apply to this call and all associated presentation materials.  The length of the call will be 60 minutes.
Now, I'd like to turn the call over to Mr. Meurice for a brief introduction.
",154,7.0,5.0,0.8888888888888888,0.5
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355482.0,Presenter Speech,Eric Meurice,,Executives,2,"Good afternoon, good morning.  Thank you for attending our fourth quarter and full year 2010 results conference call.  Before we begin the Q&A session, Pete and I would like to provide an overview and some commentary on the fourth quarter and our view on the total year, as usual.
Peter will start with a review of the financial performance with comments on the short-term outlook.  I will complete the introduction with some further details on our current position as we look back on 2010 and look forward to 2011.  So please, Peter.
",92,6.0,4.0,0.8333333333333334,0.4
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355483.0,Presenter Speech,Peter Wennink,,Executives,3,"Thank you, Eric, and welcome to everyone.  Our fourth quarter and full year numbers provided us with several financial records, including record sales profits, cash flow and system bookings.  I would like to take a moment to highlight some of these along with some other details and observations on the fourth quarter and on the full year.
Our fourth quarter sales came in above our guidance and set a record EUR1.5 billion.  Sales versus the third quarter grew in favor of NAND memory and foundry customers as they began to add further wafer capacity in these sectors.
The number of dry shipments, mostly KrF, represented well over 50% of the total.  As a result of this, the system mix new system ASP dropped slightly from around ERU24 million in the third quarter to around EUR22.4 million in the fourth quarter.
Our service and field option sales came in just over EUR200 million, driven in part by further adoption of several of our new holistic lithography products and continued demand for various other system performance, enhancement products and service products.
Q4 net bookings came in at a remarkably strong 117 systems valued at EUR2.3 billion.  Let me mention here a slight change in a definition of our book systems and backlog.  Over the course of the last several quarters we have been closing an increasing number of long-term contracts that involve not only the lithography systems but other sales-related items such as system options and certain services that will create sales after the tool ships.
Through the third quarter of 2010 we did not include these additional items in our systems bookings.  However, due to the growing size of these additional purchases and the growing importance of our holistic products and in order to better represent the future sales potential, we have started to do so in Q4 and will continue to do so in the future.
In reviewing the impact of this new bookings definition on the previous five quarters, we see a high-single digit percentage as a positive difference.
I'd like to refer to slide 15 of our Q4 results presentation to see where the strength on our Q4 bookings came from.  We see significant increased demand from NAND manufacturers, representing an increase of over 200% in booked value versus the third quarter.
Foundry customers showed even greater strength with a 300% increase in the booked value Q4 versus Q3.  Our IDM customers reduced their order values versus Q3 by approximately 50%.  But notably is also that the DRAM sector that reduced their orders versus Q3 by 40%, likely a reaction to a current supply demand imbalance in the DRAM devices.
Strength in NAND, foundry and IDM should be considered largely in support of new fab projects as identified on slide 18 of our fourth quarter presentation.  It's important to realize that customers often commit purchase orders for critical lithography systems for new and major fab projects as early as possible in order to ensure timely system deliveries against factory expansion plans.
Notably, for the first time in many years, total memory backlog, which is DRAM and NAND, represents less than 50% of our total backlog.  Our near-term demand outlook firmly indicates support for another strong year.
Our existing backlog plus our normal annual [server] sales and our expected bookings in Q1, while, of course, less than Q4, justifies the expectations of net sales above EUR5 billion in 2011.
As a quick final comment on cash, as reported, we are building a strong gross cash balance and expect to grow our cash balance further in the coming quarters.  Therefore, we announce the implementation of a share buyback program whereby we will purchase up to an equivalent of EUR1 billion of our own shares within a maximum period of 24 months.
In addition, and thanks to also our strong financial position and operating cash flows, we intend to propose to the AGM a doubling of the current dividend of EUR0.20 per share to EUR0.40 per share for 2010 and this dividend increase reflects our confidence in our prospects for a sustained, long-term profitability and growth.
With that, I'd like to turn it back over to Eric for more on our view of the coming year.
",705,7.0,6.0,0.8888888888888888,0.6
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355484.0,Presenter Speech,Eric Meurice,,Executives,4,"Thank you, Peter.  We look back on a year of sales growth and financial performance for ASML that confirms our earlier view that the semiconductor recovery cycle was, in fact, strong and sustained.
I think it's good to recognize that we had a good understanding of our drivers a year ago and that we managed to this expectation.
We now have a backlog of orders to be delivered in 2011, which, with the expected bookings to be received in Q1, justifies expectations of further revenue growth in 2011 versus 2010.  The fundamental question is whether these orders will remain if the end demand suddenly collapses or whether the current demand trend will continue into 2012.
It is fairly common in the history of semiconductors to see two to three years of an up cycle.  This time, we are encouraged by the following factors: first, the memory lithography capacity buildup in NAND and DRAM at this moment is fairly measured and the backlog that we have, that we showed you, does not yet support the analyst expected end product growth for 2011.  Namely, the analysts are expecting 59% bit growth for DRAM and 84% bit growth for NAND.
The second factor, which is positive for the future after 2011, is that the logic capacity buildup, which occurs currently at foundries, is certainly ahead of pure semiconductor market unit demand.  But as we noted in the past, it is needed in order to put strategic capacity in place for the new 40 nanometer nodes.
We estimate that the overall capacity built will sustain about 40% logic unit growth versus an expected 8% unit demand growth expected by analysts for 2011, so 14^ capacity built versus 8% demand growth.  So in a sense, if the analysts are correct, the foundries are building ahead of the need by some six to nine months, which is real but measurable.
The third positive aspect about the trend is that all semiconductor segments are accelerating the technology transition with all transition being more lithography intensive.  We mentioned two or three times about the numbers of lithography layers, in particular immersion.  Of course, this is continuing.
DRAM vendors are targeting one new node per year now like the NAND manufacturers from 18 months per year -- 18 months every generation, leading respectively to 30 nanometer and 20 nanometer RAMs in 2011.
Logic transitions to 40 nanometer in volume and 30 nanometer in prototyping and processors ramping 20 nanometer in 2011 and 2012.  So this is a third positive trend.
The fourth positive trend is that none of these favorable litho forecasts include assumptions of potential lower yield and process control difficulties that will likely accompany these technology transitions.  This has formed a potential upside for us if the industry takes a bit more time to reach the same level of field maturity and stability that they have been accustomed to with less aggressive technologies.
So these are all the positive trends that we see and all this capacity being built is also supported by a very rich, leading-edge technology content in the end products themselves.  The drive for affordability and power thriftiness device are certainly not awaiting.
But additionally, there isa  wide area of new internet connected device like the tablets, e-readers, the high-end smartphone connected TVs and also the solid state hard disk drive, which are biasing the demand for high volume, high-end, high-content semiconductor device.
Assuming the continuation of this technology trend into 2012, we will have to support another huge technology transition as the new technology nodes by then will require EUV development to start in earnest with significant investment in lithography capability only to support, not manufacturing, but only to support R&D development and qualification.
We will have shipped six NXE.3100, our second generation extreme EUV system, by the end of 2011 with revenue recognition earliest in 2012.  We have received, as you know, nine orders to date for our third generation EUV tool NXE.3300 and this system will start being delivered in 2012.
The  industry still requires a number of months, of course, to confirm the EUV performance, the plans and the roadmaps, but it is encouraging to think, to envision, this as another engine of growth for 2012 and beyond.
In addition and in parallel to all this, we are continuously expanding our product differentiation and immersion in particular with our continuously evolving NXT performance and the addition of Holistic Lithography suite of products.
We're also improving our KrF product lines with unique throughput and overlay performance, all this necessary for sustaining the new node specification and for maintaining our market share.
With all this, Peter and I would be very pleased to take your questions.
",784,7.0,8.0,0.8888888888888888,0.8
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355485.0,Answer,Craig DeYoung,,Executives,5,"Ladies and gentlemen, the operator will instruct you momentarily on the protocol for the Q&A session but, beforehand, I would like to ask that you kindly limit yourself to one question and one follow-up if necessary.  This will allow us to get as many callers on as possible.
With that, Operator, may we have your instructions and then the first question, please?
",62,6.0,3.0,0.8333333333333334,0.3
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355486.0,Question and Answer Operator Message,Operator,,Operator,6,"(Operator Instructions).  Your first question comes from the line of Gunnar Plagge - Nomura Asset Management.
",16,6.0,4.0,0.8333333333333334,0.4
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355487.0,Question,Gunnar Plagge,Nomura Asset Management,Analysts,7,"Eric, you mentioned the drivers maybe for 2012 that could provide upside to estimates.  O the other hand, if you look at industry tool productivity, that should also substantially go up in 2011 and 2012 with the new product cycle being launched.
Could you maybe talk a little bit about what you expect on the overall installed base?  What are the increases that we can expect in terms of tool productivity over the next two years?
",76,5.0,6.0,0.7777777777777778,0.6
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355488.0,Answer,Eric Meurice,,Executives,8,"Everything we simulate, in other terms, we look at the demand forecast of semiconductors, then we calculate back how many machines that are necessary to do this, are always simulated with the latest and greatest performance of our machines as well as the installed base upgraded.
So, clearly, what we always do not mention to you is that we are selling a lot of options which are served at upgrading installed base and they are, in fact, usually upside.  But they are clearly used to calculate the numbers of machine necessary to build the given numbers of wafers and of dyes.
",101,6.0,8.0,0.8333333333333334,0.8
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355489.0,Question,Gunnar Plagge,Nomura Asset Management,Analysts,9,"Could you give us an indication about percentage changes over the next two years?
",14,6.0,5.0,0.8333333333333334,0.5
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355490.0,Answer,Eric Meurice,,Executives,10,"So you could -- at this moment, I would say we would have a family of immersion tools in the field that runs at about 150 wafer per hour and we are planning to convert this to a family of tools doing 175.
This is not going to happen immediately into 2011.  It will go well into 2012 ad even 2013.  But, of course, when we bring EUV back in, we are going to bring machines which goes towards 120 or 125 wafer per hour.  So we will restart from this type of level, although there will be less layers processed [on EUV].
",103,4.0,7.0,0.7222222222222222,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355491.0,Question,Gunnar Plagge,Nomura Asset Management,Analysts,11,"As a follow-up, you haven't given us a quantitative number for the Q1 orders.  Clearly you have discussed before whether it actually makes sense to give guidance on orders.  But could you give us some broad color what you expect going into Q1?  What are ranges maybe that you are seeing at the moment?
",55,2.0,5.0,0.6111111111111112,0.5
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355492.0,Answer,Peter Wennink,,Executives,12,"Clearly, Q4 was an extraordinary quarter in terms of our bookings; it was clear.  Many of those bookings were focused on fulfilling the needs of our customers, looking at their fab expansion requirements for 2011.
Now, clearly, we were surprised.  Hence, we gave the pre-warning on the orders early December.  But it also creates a situation where we think Q1 will just be a bookings quarter which will enable us to, let's say, fill up 2011 from a, let's say, shipment point of view.  The rest of the year we'll really be looking at order momentum, which will be focused on 2012.
I can hear you thinking of the next question, which we'll probably not allow because it will be question number three but I'll give you the answer anyway.  On 2012, really, the way that we look at it, we don't see any negatives for the year 2012.  We do see positives.  WE do see measured investments in NAND in 2011.
We definitely see Logic.  There's a lot of people think there's a lot of Logic budget there but the speed with which this Logic ramp-up will take place in 2011 will be measured also and will be largely towards the second half of 2011 and will extend into 2012.  That's number one.
Number two, as Eric talked about in his introduction, there is a technology trend that is continuing continuously which will drive the need for technology upgrades at our customers.  Last, but not least, that is also driven by EUV.  So in 2012 we will see the EUV introduction with very high price tools.  We'll be starting the new generation.
So in short, Q1 will see a finalization of our shipment pattern and our shipment expectation for the year 2011.  The rest of the year will be in the eye of 2012 and, like I said, we see a lot of positives.
",315,7.0,8.0,0.8888888888888888,0.8
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355493.0,Question and Answer Operator Message,Operator,,Operator,13,"Your next question comes from the line of Nick Gaudois - UBS.
",11,6.0,7.0,0.8333333333333334,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355494.0,Question,Nick Gaudois,UBS,Analysts,14,"Just wanted to kick off with where you just left things, Peter.  Effectively we're seeing a standoff between Intel and TSMC, Globalfoundries, Samsung (inaudible) on CapEx and we're seeing capital intensity for Logic and Foundries combing going up for first time in ages.
Do you actually think there is a transfer of psychic risk away from memory potentially [to that are we now] and how much does this concern you potentially for 2012?
",73,1.0,8.0,0.5555555555555556,0.8
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355495.0,Answer,Peter Wennink,,Executives,15,"Well, I think, like I said earlier, when we look at the shipment pattern for projects that you just mentioned for those customers, that's going to be a second half 2011 phenomena, which will actually lead into 2012.
Also, if you look at the spend pattern for the Foundries, don't forget that everything that is leading edge investments today and built out of any capacity, which is 65 nanometers, is only by a very, very few customers, only three.  So those customers are the Logic industry with the exception of the big microprocessor maker.
So in that sense, to look at that number in the context of what happened 10 years ago is a bit difficult and, at least, we are not looking at it in that way.
",128,4.0,7.0,0.7222222222222222,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355496.0,Answer,Eric Meurice,,Executives,16,"But also, Nicholas, we discussed the statistics, this large CapEx investment by the foundry is, in fact, to be relativized.  We only think that it will create, if you add 2010, 2011, just 14% capacity growth.
Remember that in this Logic business, when you go to a 40 nanometer or so you go towards the very large numbers of critical layers, so you need a lot of machine to do not so many wafers.  So this capital intensity in dollars doesn't mean that we create a lot of capacity.
So our calculation is indeed that this 14% unit growth is higher than what analysts talk about, 8%, but, as you know, difference between 14% and 8% is a six months or nine months digestion time, which in the environment where things have significant yield issues and timing capacity management difficulties, et cetera, is not abnormal.
So in other terms, yes, indeed, there is on paper an over investment but it is not material such at this moment and that it will be eaten up into 2012 by the ramp of these new products which will happen even if the volume of the total macro economy is not there, the mix will be there to pick them up.
",207,5.0,7.0,0.7777777777777778,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355497.0,Question,Nick Gaudois,UBS,Analysts,17,"You said for NXE.3100 no revenue recognition before 2012.  Did I hear you correctly, so shipments this year but all revenue recognition in 2012 basically?
",26,-6.0,7.0,0.16666666666666666,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355498.0,Answer,Peter Wennink,,Executives,18,"Yes, that's what we expect.  When it's sooner it's sooner and it's great and then we'll let you know.
",19,3.0,3.0,0.6666666666666666,0.3
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355499.0,Question and Answer Operator Message,Operator,,Operator,19,"Your next question comes from the line of Odon de Laporte - Cheuvreux.
",12,5.0,7.0,0.7777777777777778,0.7
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355500.0,Question,Odon de Laporte,Cheuvreux,Analysts,20,"I have a question relating to sales guidance in Q1.  I was wondering why you looked a bit cautious.  Your guidance for Q1 is weaker than actual sales in Q4, so could you clarify the reason behind this conservative statement?
",40,-4.0,4.0,0.2777777777777778,0.4
388904.0,"ASML Holding NV, Q4 2010 Earnings Call, Jan 19, 2011",2011-01-19,48.0,Earnings Calls,ASML Holding N.V.,,108528.0,7355501.0,Answer,Peter Wennink,,Executives,21,"It's not that conservative and it's because of the following reason.  We did EUR1.5 billion in sales in Q4.  There is about EUR50 million, EUR60 million in there on billable service, which was in the fourth quarter also bit of a surprise to us.  It was really customers making up their budget for that year, which included system refurbishments at customer sites, which we normally did here in Veldhoven.  Now we did it at the customer site.
Customers are trying to monetize some of their assets that they had.  They used to sell those tools to us and then we would refurbish and we would resell.  That's not what we do now.  So basically we do those refurbishments at their site and we can charge a nice and good price rate.
We had system relocations.  Customers are shifting around systems because they need to make place for their new leading edge tools and we had a lot of fast installs.  Customers want those tools to be working fast and they are willing to pay nice service sums to get those tools installed.  So we had, you could say, windfall sales of EUR50 million, EUR60 million in Q4.
On top of that, there are about EUR75 million worth of system sales that were actually a few evaluation tools that we shipped to customers in previous quarters that we agreed with them they could use for a few months or one or two quarters and then they would buy them and that happened in Q4.
So you could say that the shipment was, in fact, if you peel it all off, it was about EUR130 million worth of business, EUR125 million, EUR130 million worth of business.  It was a bit of a windfall business.  If you take that out then the guidance of EUR1.4 billion is not conservative.  It's actually, you could say, equal but even a bit up.
",318,5.0,6.0,0.7777777777777778,0.6
