companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count,sentiment_value,complexity_value,normalized_sentiment,normalized_complexity
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375795.0,Presentation Operator Message,Operator,,Operator,0,"Welcome to Broadcom Inc.'s First Quarter Fiscal Year 2022 Financial Results Conference Call. 
At this time, for opening remarks and introductions, I would like to turn the call over to Ji Yoo, Director of Investor Relations of Broadcom Inc.",40,6.0,5.0,0.8333333333333334,0.5
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375796.0,Presenter Speech,Ji Yoo,,Executives,1,"Thank you, Cheri, and good afternoon, everyone. 
Joining me on today's call are Hock Tan, President and CEO; Kirsten Spears, Chief Financial Officer; Tom Krause, President, Broadcom Software Group; and Charlie Kawwas, Chief Operating Officer. 
Broadcom also distributed a press release and financial tables after the market close describing our financial performance for the first quarter fiscal year 2022. If you did not receive a copy, you may obtain the information from the Investors section of Broadcom's website at broadcom.com. 
This conference call is being webcast live, and a recording will be available via telephone playback for 1 week. It will also be archived in the Investors section of our website at broadcom.com. 
During the prepared comments, Hock and Kirsten will be providing details of our first quarter fiscal year 2022 results, guidance for our second quarter as well as commentary regarding the business environment. We'll take questions after the end of our prepared comments. 
Please refer to our press release today and our recent filings with the SEC for information on the specific risk factors that could cause our actual results to differ materially from the forward-looking statements made on this call. 
In addition to U.S. GAAP reporting, Broadcom reports certain financial measures on a non-GAAP basis. A reconciliation between GAAP and non-GAAP measures is included in the tables attached to today's press release. Comments made during today's call will primarily refer to our non-GAAP financial results. 
I'll now turn the call over to Hock.",246,6.0,5.0,0.8333333333333334,0.5
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375797.0,Presenter Speech,Hock Tan,,Executives,2,"All Right. Thank you, Ji. Thank you, everyone, for joining us today. 
So in our fiscal Q1 '22, consolidated net revenue was a record $7.7 billion, up 16% year-on-year. Semiconductor solutions revenue grew 20% year-on-year to $5.9 billion, and infrastructure software revenue grew 5% year-on-year to $1.8 billion. 
Now enterprise demand grew very robustly from the trough we saw in Q1 last year as the recovery in enterprise IT spending continued to accelerate. Meanwhile, hyper clouds are upgrading their data centers, and service providers, telcos continue to deploy next-generation fiber-to-the-home. As expected, against the peak of a year ago, wireless grew single digits, and our core software business remains very stable and steady. On the supply front, lead times remain extended and unchanged as inventory of our products in the channel and in our customers remains lean. Our semiconductor backlog at the close of Q1 continue to grow double digits from that of the prior quarter. 
Let me now provide more color by end markets, starting with networking. Networking revenue of $1.9 billion was up 33% year-on-year and represented 32% of our semiconductor revenue. This strong growth was driven by deployment at scale of Tomahawk 4 and compute offload across several hyperscale customers. Hence, they upgrade and scale out their data centers. In enterprises, campus switching upgrades continue to accelerate. 
Let me talk about routing in this space. Investments in 5G backhaul by telco operators worldwide continue to drive strong growth in our Qumran family of products. More than this, the opportunity in our routing silicon has expanded into hyperscale in a very significant way, moving Ethernet into the back-end network of large-scale AI/ML clusters. 
In particular, I'm referring to the Arista 7800 AI platform, which scales Ethernet to connect many tens of thousands of CPUs and GPUs in hyperscale. This platform is built on our Jericho router. Our devices provide the most cost-effective fabric for AI/ML scaler with an end-to-end congestion-managed lossless network and highest efficiency load balancing across the link. 
Now in contrast to proprietary protocols such as Infiniband used typically in high-performance computing, we see low-latency Ethernet as the way forward for large-scale AI/ML networks as a widely adopted open architecture. Our unique ability to network these complex AI workloads in hyperscale is extending our customized training and inference SoC footprint at several cloud guys. In Q2, we expect networking to continue to be strong across the board and revenue growth to be in excess of 30% year-over-year. 
Next, our server storage connectivity revenue was $801 million, and growth accelerated to 32% year-on-year, representing 14% of semiconductor revenue. This was driven in large part by the continuing recovery of enterprise IT spending, much of which was deployed towards upgrading compute servers. And most of these compute servers use either our MegaRAID or SAN for server storage connectivity. We are also benefiting from increased content as enterprises upgrade to next-generation storage connectivity solutions to support deployment of leading-edge servers. 
Beyond enterprise, with proliferation of video content in social media, we see our cloud customers increasingly adopting nearline hard disk drives as the primary storage of choice. And to manage these large arrays of hard disk drives, they deploy storage service and expanders, which utilize very much our next-generation storage connectivity, silicon and software, creating another driver for revenue growth. Interestingly, we are also a critical supplier of preamplifiers and rechannels in nearline hard disk drives, with our revenue growing at over 20% CAGR over the last 5 years. Our nearline revenue represented over 2/3 of our hard drive business this quarter. 
With the adoption of next-generation technology here, we're selling more boards than just silicon, resulting in much higher dollar content. This dynamic, coupled with continuing strong demand from both enterprise and hyperscale, is expected to accelerate Q2 server storage connectivity revenue to over 55% year-on-year. 
Now moving on to broadband. Revenue of $911 million grew 23% year-on-year and represented 16% of semiconductor revenue. This was driven largely by increased deployment of next-generation PON and DOCSIS, our cable modem, with high attach rates of WiFi 6 and 6E in home gateways. Examples of this abound. Last quarter, Charter announced trials of DOCSIS 4.0 running at speeds of 8.5 gigabit downstream and 6 gigabit upstream, both in CPE and remote node. Comcast started deployment of their WiFi 6E DOCSIS 3.1 gateway. And AT&T announced a multi-gig PON service on their gateways. All of this are using Broadcom SoCs. 
We remain the market leader in delivering WiFi 6 and 6E chips to leading phones as well as routers, enterprise access points and carrier gateways. Through the first quarter of 2022, we have cumulatively shipped over 1 billion WiFi 6 and 6E radios in just around 3 years since our launch. Our OEM customers and carrier partners are now ramping WiFi 6E, the current generation of WiFi making use of the 6 gigahertz band, which has increasingly been made available for unlicensed access across the globe. 
And as we look ahead, we are the industry leader heavily investing in WiFi 7 as the strategic complement to 10G PON and cable modem. We see -- both broadband. We see this as the next step in broadband development and deployment globally. In the U.S. alone, the pending infrastructure access to site $65 billion over the next 5 years to connect more homes to high-speed broadband. Across the world, the same is happening as next-generation wide broadband is seen as the better alternative to 5G for home connectivity. As far as Q2 is concerned, we expect our broadband business to continue to grow 20% year-on-year. 
Moving on to wireless. Q1 revenue of $2 billion represented 34% of semiconductor revenue. Demand from our North American customer for our products continued to be strong during the quarter, driving wireless revenue up 10% sequentially and up 4% year-on-year from the peak quarter in fiscal '21. As expected in Q2, wireless revenue will be seasonally down, about mid-teens quarter-on-quarter, but will still be up mid-single digits from a year ago. 
Finally, industrial revenue of $243 million represented approximately 4% of Q1 semiconductor revenue. Q1 resales of $239 million grew 37% year-over-year driven by robust demand from electric vehicles, renewable energy, factory automation and health care. Reflecting such strong resales, our inventory in the channel remain around 1 month, and we expect resales to continue to be strong in Q2. 
Accordingly, in summary, Q1 semiconductor solution revenue was up 20% year-on-year. Q2, we expect semiconductor revenue to accelerate to 25% year-on-year. 
Turning to software. In Q1, infrastructure software revenue of $1.8 billion grew 5% year-on-year and represented 24% of total revenue. Core software revenue grew 6% year-on-year. In dollar terms, consolidated renewal rates averaged 121% over expiring contracts, while in our strategic accounts, we averaged 136%. Within these strategic accounts, $656 million represented renewals on expiring contracts, of which $164 million represented cross-selling, including PLAs, of our portfolio products to the same customers. Over 90% of the renewal value represented recurring subscription and maintenance. 
Okay. ARR, annual recurring revenue, at the end of Q1 was $5.3 billion, which was up 5% from a year ago. In Q2, we expect our infrastructure software revenue to sustain around mid-single-digit percentage growth year-upon-year. In summary, in Q1, semiconductor revenue grew a strong 20%. In fact, excluding wireless, it grew -- actually grew over 30%. Combined with our stable software business, consolidated revenue grew 16% year-on-year to $7.7 billion. 
Now turning to Q2 guidance. We expect semiconductor revenue growth will accelerate to 25% year-upon-year. And excluding wireless, it will be 35% year-on-year. Layering on our stable software business, we expect Q2 consolidated revenue growth of 20% year-on-year to $7.9 billion. 
And before I turn this call over to Kirsten, I just want to add, Broadcom recently published its second annual ESG report available on the company's corporate citizenship site, which discusses the company's ESG initiatives. As a global technology leader, we recognize the company's responsibility to have a positive impact on our communities. Through our product and technology innovation and operational excellence, we remain very committed to this mission. 
With that, let me turn the call over to Kirsten.",1356,8.0,7.0,0.9444444444444444,0.7
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375798.0,Presenter Speech,Kirsten Spears,,Executives,3,"Thank you, Hock. Let me now provide additional detail on our financial performance. 
Revenue was $7.7 billion for the quarter, up 16% from a year ago. Gross margins were 76% of revenue in the quarter and up 227 basis points year-on-year. Operating expenses were $1.2 billion, up 6% year-on-year, driven by investment in research and development. Operating income for the quarter was $4.7 billion and was up 23% from a year ago. Operating margin was 60% of revenue, up approximately 362 basis points year-on-year. Adjusted EBITDA was $4.8 billion or 62.5% of revenue. Note that this figure excludes $136 million of depreciation. 
Now a review of the P&L for our 2 segments. Revenue for our semiconductor solutions segment was $5.9 billion and represented 76% of total revenue in the quarter. This was up 20% year-on-year. Gross margins for our semiconductor solutions segment were approximately 71%, up 347 basis points year-on-year, driven by favorable product mix and content growth in next-generation products across our extensive product portfolio. 
Operating expenses were $817 million in Q1, up 9% year-on-year. R&D was $725 million in the quarter, up 10% year-on-year. Q1 semiconductor operating margins increased to 57%. So while semiconductor revenue was up 20%, operating profit grew 31%. 
Moving to the P&L for our infrastructure software segment. Revenue for infrastructure software was $1.8 billion and represented 24% of revenue. This was up 5% year-on-year. Gross margins for infrastructure software were 90% in the quarter, up 71 basis points year-over-year. Operating expenses were $348 million in the quarter, up 1% year-over-year. Infrastructure software operating margin was 71% in Q1, and operating profit grew 7%. 
Moving to cash flow. Free cash flow in the quarter was $3.4 billion, representing 44% of revenue. We spent $101 million on capital expenditures. Days sales outstanding were 30 days in the first quarter compared to 35 days a year ago. We ended the first quarter with inventory of $1.5 billion, up 17% from the end of the prior quarter, in large part due to higher material costs. Our hardware backlog at the end of the quarter was over $25 billion compared to $22 billion the preceding quarter. And our lead times remain steady at 50 weeks. Our software backlog continued to grow as well and ended the quarter at over $15 billion. As a point of reference, software backlog was $13 billion a year ago. 
We ended the quarter with $10.2 billion of cash and $39.5 billion of gross debt, of which $300 million is short term. 
Turning to capital allocation. In the quarter, we paid stockholders $1.8 billion of cash dividends. Consistent with our commitment to return excess cash to shareholders, we repurchased $2.7 billion in common stock and eliminated $375 million of common stock for taxes due on vesting of employee equity, resulting in the elimination of approximately 5 million AVGO shares. The non-GAAP diluted share count in Q1 was 446 million. 
Based on current business trends and conditions, our guidance for the second quarter of fiscal 2022 is for consolidated revenues of $7.9 billion and adjusted EBITDA of approximately 62.5% of projected revenue. Note that we expect Q2 non-GAAP diluted share count to be 442 million. This excludes the potential impact of any share repurchases completed in the second quarter. 
That concludes my prepared remarks. Operator, please open up the call for questions.",556,7.0,6.0,0.8888888888888888,0.6
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375799.0,Question and Answer Operator Message,Operator,,Operator,4,[Operator Instructions] Our first question will come from Harlan Sur with JPMorgan.,12,4.0,6.0,0.7222222222222222,0.6
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375800.0,Question,Harlan Sur,,Analysts,5,"Congratulations on the strong results and execution. 
Hock, given your backlog and extended lead times, you've got pretty good visibility into this year. Your end markets are strong, right? Cloud and hyperscale. CapEx spending is looking to grow about 30%. You're driving the 200 and 400 gig networking upgrade cycle. Enterprise spending is still expanding. As you mentioned, Broadcom continues strong, whether it's DOCSIS, WiFi, fiber upgrades. 
And then on your compute acceleration, ASIC pipeline, you've got Google, Facebook, Microsoft, all of these guys ramping. So it seems like the demand, your product leadership, seasonality can sustain a sort of low to mid-20% plus-type year-over-year revenue growth profile through this year. 
So I guess the question for you is do you have line of sight and confidence on sustaining this type of growth through the year? And then more importantly, do you have the supply commitments to support this type of growth?",152,7.0,6.0,0.8888888888888888,0.6
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375801.0,Answer,Hock Tan,,Executives,6,"I'm not providing annual guidance, Harlan, if that's what you're angling for. But what you're saying makes a lot of sense. And to answer your question directly, yes, we have line of sight through end of 2022, both, we believe, in demand and in supply.",46,7.0,6.0,0.8888888888888888,0.6
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375802.0,Question and Answer Operator Message,Operator,,Operator,7,Our next question will come from Vivek Arya with Bank of America.,12,2.0,7.0,0.6111111111111112,0.7
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375803.0,Question,Vivek Arya,,Analysts,8,"Hock, I was hoping if you could just revisit what's driving the acceleration in growth. And then the more important question is that there is a perception that semiconductor companies are benefiting abnormally because of a pricing lever because of the tight supply conditions. And as the foundry capacity eases, that your costs will go down and the pricing advantage will disappear. 
And I was hoping you could give us some more color, how much of a role is pricing playing in the expected sales growth this year on a like-to-like basis versus what you saw last year?",98,-3.0,7.0,0.3333333333333333,0.7
25016048.0,"Broadcom Inc., Q1 2022 Earnings Call, Mar 03, 2022",2022-03-03,48.0,Earnings Calls,Broadcom Inc.,3358.0,2516505.0,95375804.0,Answer,Hock Tan,,Executives,9,"That's a very good question. And I mean -- and true, the rail demand that we're seeing underlying -- if you talk about underlying trend that is sustainable, at least in this upcycle, you're right, it's -- while we're showing 30% in networking, in server storage, a part of it is driven by ASP increases simply because we are passing on our material cost increases, wafer, substrates, assembly to our customers, inevitably. But it's much less than you probably think it is. What is really sustainable is what Harlan said in the previous question. We think the trend demand increase is more like closer to 20% year-on-year than what perhaps in dollar terms you're represented. 
And how long would it last? Who knows? It's hard for me to figure out because I've been wrong so many times. And this is now going on into the almost -- '22 is done and is strong. We're now booking, given our lead times I indicated, in '23. And '23, I think, will be -- at least the first half of '23, we'll still be pretty close to the same. And it's the latter part of '23 and '24 that we have to figure out whether there's enough supply that will start coming in to basically address what is today and what we're seeing an extremely strong demand environment, whether it's from enterprise, telcos and service providers and hyperscale. All three are strong.",240,7.0,8.0,0.8888888888888888,0.8
