companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count,sentiment_value,complexity_value,normalized_sentiment,normalized_complexity
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623805.0,Presentation Operator Message,Operator,,Operator,0,"Good afternoon. My name is Erika, and I will be your conference operator today. At this time, I would like to welcome everyone to the NVIDIA Fourth Quarter Earnings Conference Call. [Operator Instructions] Thank you. I would now like to turn the call over to your host, Mr. Rob Csongor. Sir, you may begin your conference.",56,7.0,4.0,0.8888888888888888,0.4
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623806.0,Presenter Speech,Rob Csongor,,Executives,1,"Thank you. Good afternoon, and welcome to NVIDIA's Conference Call on Annual and Fourth Quarter Fiscal 2013 results. With me on the call today from NVIDIA are Jen-Hsun Huang, President and Chief Executive Officer; and Karen Burns, Interim Chief Financial Officer. 
After our prepared remarks, we will open up the call to a question-and-answer session. [Operator Instructions] Before we begin, I'd like to remind you that today's call is being webcast live on NVIDIA's Investor Relations website and is also being recorded. A replay of the conference call will be available via telephone until February 20, 2013, and the webcast will be available for replay until our conference call to discuss our financial results for our first quarter of fiscal 2014. 
The content of today's conference call is NVIDIA's property and cannot be reproduced or transcribed without our prior written consent. 
During the course of this call, we may make forward-looking statements based on current expectations. These forward-looking statements are subject to a number of significant risks and uncertainties, and our actual results may differ materially. For a discussion of factors that could affect our future financial results and business, please refer to the disclosure in today's earnings release, our Form 10-Q for the quarterly period ended October 28, 2012, and the reports we may file from time to time on Form 8-K filed with the Securities and Exchange Commission. 
All our statements are made as of today, February 13, 2013, based on information available to us as of today, and except as required by law, we assume no obligation to update any such statements. 
Unless otherwise noted, all references to market research and market share numbers throughout the call come from Mercury Research or Jon Peddie Research. 
During this call, we will discuss non-GAAP financial measures. You can find a reconciliation of these non-GAAP financial measures to GAAP financial measures in our financial release, which is posted on our website. 
With that, let's begin. We are pleased to report a record year for the company. Despite significant headwinds, we achieved record annual revenues and gross margins for fiscal year 2013. Excluding chipset revenue, which we exited, we grew our GPU business 8% last year and for the third consecutive year. 
We increased overall GPU market share from 53% to 65%, and our notebook share by almost 20 percentage points from 47% to 66%. 
Tegra, Tesla and notebook GPUs all achieved record revenue. We invested in new growth products that are now sampling including Tegra 4, i500 4G/LTE modem, Project Shield and GRID, while controlling OpEx at target for the year. 
This year, we transitioned Kepler across our GPU businesses. Gaming was a key area to benefit. Massively multiplayer games or MMOs continue to drive a robust PC gaming market. Worldwide MMO revenues grew 21% last year to $13 billion according to market research firm, Newzoo, and GeForce is the gamers' choice of GPU by a margin of almost 2:1 according to gamers on Steam. Our notebook share is near a record high. Kepler is also starting to shift into Quadro, with revenues up 10% this quarter. 
With Tesla, we are leveraging GPUs beyond graphics into massively parallel processing and supercomputers. 
Just 3 years after we entered the market, 50 of the world's top 500 fastest computers are now powered by NVIDIA GPUs, including the fastest and the most energy-efficient. 
We introduced NVIDIA GRID visual computing appliances. GRID is a first of its kind graphic system that serves graphics-intensive applications to many concurrent users at once. One of the major applications is cloud gaming. More than a dozen cloud gaming trials are up and running around the world, and others will be announced by more telcos as the year progresses. 
At CES, we announced Tegra 4, the world's fastest mobile processor. It is the first 4-PLUS-1 quad-core A15 processor with an extra energy-saving core and 72 graphics cores compared with Tegra 3's 12 cores. It delivers the world's fastest web browsing performance and new, always-on, high-dynamic range computational photography. At this point in time, we already have more design wins with Tegra 4 than we had in total with Tegra 3. 
We see significant new growth opportunities in the LTE connected device market, which is projected to be 150 million units in 2013, and growing at 50% a year. We are now sampling our i500 4G/LTE multiband, multimode voice and data modem. 
More efficient and 40% the size of conventional modems, i500 delivers 4x the processing capability of its predecessor. 
This is the first result of our Icera acquisition. Icera is the first company to successfully create and commercialize a software defined radio modem and has been building modems since 2006. 
And we announced Project Shield, an NVIDIA-branded open platform and gaming device. A pure Android device connected to the Google Play store and TegraZone, Project Shield is able to play any Android application and game, and can also stream PC games from a nearby GeForce GTX PC. 
Powered by a Tegra 4 processor, Project Shield integrates a 5-inch retinal display, a console grate game controller and a first mobile-tuned port base reflex speakers. We believe Shield will be attractive to modern gamers who want to play on open platforms and have great gaming experiences, while unfettered to their TVs or PCs. 
Shield will enhance the strategic position of Tegra. Besides highlighting the capabilities of Tegra, Shield will attract great games to TegraZone, which can then be enjoyed on every Tegra-powered device. 
TegraZone has already been downloaded 6 million times. 
Looking forward, our company is shifting gears to accelerate. Our GPU business remains strong, while we extend our visual computing technology leadership. Tegra 4 is ramping into production for mobile devices this year, while growing into embedded devices such as cars and gaming devices. We will engage the LTE-connected devices market aggressively this year. And we will add new system products incorporating our processors and software, the NVIDIA GRID graphics appliance and Shield Android gaming device. 
We are excited by the investments we're making into these very large markets, where our expertise in visual computing can make unique contributions. 
With that, let me turn the call over to Karen.",1029,7.0,6.0,0.8888888888888888,0.6
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623807.0,Presenter Speech,Karen Burns,,Executives,2,"Thanks, Rob. NVIDIA had record revenue for the year of $4.3 billion, up 7% from fiscal 2012. At the start of the year, we set out a number of financial objectives. It's satisfying to note that we achieved many of them. Among these goals were the following: gain share and our GPU business. 
Driven by the introduction of our new Kepler architecture, we gained share in both desktop and notebook, and delivered record revenue for our notebook products. 
Grow Tegra revenue at least 50%. Revenue for Tegra products sold into smartphones and tablets increased by $181 million to a record $541 million, up 50% year-on-year. Grow Quadro and Tesla revenue. Revenue for Tesla products increased 37% year-on-year as we shift our first Kepler products, Tesla K10 in Q3, and Tesla K20 in Q4. 
Quadro revenue was down roughly 6% year-on-year. In October, we shipped Quadro K5000, our first Kepler-based Quadro product in limited volume. 
This year, we will launch Kepler for Quadro in volume, top to bottom, into the professional market. We expect Kepler for both Quadro and Tesla to do very well. 
Exit the year with gross margin of approximately 52%. We exceeded our target, exiting Q4 with a gross margin of 52.9% and non-GAAP at 53.2%. 
We had record gross margin for the full year with GAAP gross margin at 52%, up 60 basis points from the previous year and non-GAAP gross margin of 52.3%, up 40 basis points. 
Manage our OpEx investment at approximately $1.56 billion on a GAAP basis and $1.4 billion for non-GAAP. 
GAAP OpEx was $1.58 billion, up $20 million from our original expectations. This was due to a $20 million expense for corporate donation made in the second quarter. 
On a non-GAAP basis, which excluded this $20 million charge, as well as stock-based compensation and acquisition-related costs, we successfully managed to our target of $1.4 billion. 
Before moving on, I'd like to provide more background on OpEx as we continue to invest in our key growth strategies. Our OpEx is comprised primarily of employee-related costs. This includes compensation and benefits, as well as other related expenses and supporting cost, largely infrastructure for facilities and IT equipment. 
GAAP and non-GAAP OpEx were both at 12% from fiscal 2012. Of the year-on-year OpEx increase for GAAP, 86% related to these employee-related costs, 12% to a contribution expense for corporate donation and 2% related to all other costs. 
With non-GAAP OpEx excluding the contribution expense, as well as stock-based comp and acquisition-related costs, which were flat year-over-year, 98% of the increase came from employee and supporting infrastructure costs. The remaining 2% related to all other operating expenses. 
We are investing in the new products and major growth opportunities Rob talked about. Icera i500, Project Grey and Shield and NVIDIA GRID. 
We added about 840 new staff in fiscal 2013, giving us a total of nearly 8,000 employees at the end of the year. Of our new staff, 88% joined our engineering teams, 12% joined our operations and SG&A organizations. 
We also invested in an annual pay increase for existing employees and began a 401(k) match in Q4. 
We believe our focused investment and our growth strategies and our core businesses are critical to our future growth. 
Now onto revenue by business segment for the full fiscal year. 
Beginning this quarter, we changed our financial reporting segments to reflect the way we are now managing our business. We now have 2 primary reporting segments: GPU and Tegra processor. 
This new segmentation recognizes that we have 2 fundamental technologies: GPUs and SoCs, which we leverage across several markets under different brands. 
Revenue for the GPU business, which includes GeForce, Quadro and Tesla-based GPUs, was at 2% year-on-year. 
This increase was achieved despite a $173 million decline in chipset products, which we discontinued. 
Excluding chipset product revenue, our GPU business grew 8%, representing our third consecutive year of GPU growth. 
Revenue for the Tegra processor business was up almost 30% from the previous year, driven by the 50% increase in revenue for Tegra sales shipped into smartphones and tablets, including Win RT devices referenced earlier. 
Full details of our new reporting segments, as well as historical revenue segmentation, can be found in my CFO commentary posted on our website. 
Now I'd like to talk briefly about the fourth quarter. Apart from our tax rate, Q4 results were in line with our expectations at the beginning of the quarter. Revenue was $1.11 billion, down 8% sequentially and up 16% year-on-year. 
Growth margins remained at record levels. GAAP gross margin was 52.9%, non-GAAP was 53.2%. Operating expenses were $402 million for GAAP and $360 million for non-GAAP. GAAP and non-GAAP tax rates were both below expectations at roughly 7% in Q4 as we benefited from the extension of the U.S. research tax credit. 
Extension of this credit was enacted during our fourth quarter, bringing our effective tax rates down for the year to roughly 15% for GAAP and non-GAAP, in line with outlook with the inclusion of this credit. 
Turning to the balance sheet, our position remains strong in the quarter and throughout the year. Cash increased each quarter, reaching a record $3.73 billion at Q4, up 9% sequentially and at 19% on fiscal 2012. 
In Q4, we initiated quarterly cash dividend and extended our share repurchase program. We returned $147 million of cash to shareholders in the quarter, with $100 million of stock repurchased and $47 million in dividends paid. 
Accounts receivable at Q4 was up $9 million over the prior quarter on slightly less shipment linearity. Conversely, inventory was down $9 million from the prior quarter at $420 million. 
Regarding the first quarter outlook for fiscal 2014, our expectations for GAAP are as follows: Revenue is expected to be $940 million, plus or minus 2%. We expect revenue for the first quarter to be less than Q4, reflecting lower GPU sales in line with expectations for the PC industry and lower Tegra sales as customer devices based on Tegra 3 ramped down ahead of Tegra 4 production. We expect gross margin of approximately 52.9%, flat from Q4; OpEx of approximately $430 million and a tax rate of approximately 16%, plus or minus 1%. We expect the same for the annual effective tax rate for fiscal 2014. 
For non-GAAP, we expect the following differences from our GAAP outlook: Growth margin of approximately 53.2%, flat from Q4, and OpEx of approximately $395 million. This excludes stock-based compensation and certain charges related to acquisitions in aggregate of approximately $35 million. 
The increase in OpEx for Q1 over the fourth quarter is primarily due to the employee-related costs, including planned hiring for our key growth businesses with the addition of a large FICA tax reset that occurs each first quarter. 
Depreciation and amortization are expected to be in the range of $59 million to $61 million, and capital expenditures of $55 million to $65 million. Diluted shares are expected to be approximately $619 million. 
Lastly, we will pay our next quarterly cash dividend at $0.75 per share in the first quarter of fiscal 2014. 
On an annual basis, this is equivalent to $0.30 per share and approximates an annual yield of about 2.4% based on yesterday's closing price of $12.43. 
That concludes our prepared remarks. We will now take questions.",1217,7.0,7.0,0.8888888888888888,0.7
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623808.0,Question and Answer Operator Message,Operator,,Operator,3,[Operator Instructions] Your first question comes from Betsy Van Hees with Wedbush Securities.,13,5.0,7.0,0.7777777777777778,0.7
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623809.0,Question,Betsy Van Hees,,Analysts,4,"I was wondering if you could help us understand in terms of the guidance with the revenue, which business segment -- is it going to be equally down as a percentage basis or is one going to be down more than the other in your new reporting segments?",48,6.0,4.0,0.8333333333333334,0.4
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623810.0,Answer,Karen Burns,,Executives,5,"So as I mentioned, we expect that our GPU business will be down very much in line with the PC industry. And as you know, Intel, AMD and other companies have already disclosed. And then the other component will be Tegra-related, which will be larger, and that, again, is a transition effect from T4 -- from T3 to Tegra 4.",60,-3.0,6.0,0.3333333333333333,0.6
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623811.0,Question,Betsy Van Hees,,Analysts,6,"Okay. And so my follow-up question had to with OpEx. So that's a pretty big jump up in the GAAP OpEx, $430 million from your $402 million, and then your $384 million in the prior quarter. So as we're looking at the July and October, are we going to see OpEx sort of flattening out or are we going to continue to have these incremental increases? And I was wondering if you could help us a little bit with the OpEx.",81,-3.0,6.0,0.3333333333333333,0.6
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623812.0,Answer,Karen Burns,,Executives,7,"Sure. So as you saw last year, we had a similar jump and we have it every first quarter. And as I explained, it's really the FICA tax reset that hits us pretty hard in the first quarter. And just like in fiscal 2013, OpEx levels off for the rest of the year. So we expect a similar type of impact this year.",63,-2.0,4.0,0.3888888888888889,0.4
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623813.0,Question and Answer Operator Message,Operator,,Operator,8,Your next question comes from Steven Eliscu with UBS.,9,3.0,6.0,0.6666666666666666,0.6
32307.0,"NVIDIA Corporation, Q4 2013 Earnings Call, Feb 13, 2013",2013-02-13,48.0,Earnings Calls,NVIDIA Corporation,3888.0,415974.0,19623814.0,Question,Steven Eliscu,,Analysts,9,"Last year, just more specifically, you gave us full year guidance for both OpEx and the percentage growth on Tegra, which was very helpful in terms of thinking about where NVIDIA was going to land in fiscal '13. Slide 12 in your presentation talks about your growth drivers. Can you give us a sense as to what Tegra will grow the OpEx number? And just review some of those other growth drivers, so we have a sense as to where you'll end out for the full year.",87,6.0,7.0,0.8333333333333334,0.7
