companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121538.0,Presentation Operator Message,Operator,,Operator,1,"Good day, ladies and gentlemen. Welcome to the Q4 2009 Intel Corporation Earnings Conference Call. My name is Christina, and I will be your coordinator for today. [Operator Instructions] I would now like to turn the presentation over to your host for today's call, Mr. Kevin Sellers, Vice President of Investor Relations. Please proceed, sir.",55
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121539.0,Presenter Speech,R. Sellers,,Executives,2,"Thank you, Christina, and welcome, everyone, to Intel's Fourth Quarter 2009 Earnings Conference Call. I'm joined today as usual by our Chief Executive Officer, Paul Otellini; and Chief Financial Officer, Stacy Smith. Our earnings release and updated financial statements were released today at approximately 1:15 Pacific Daylight Time, and can be found on our investor website, www.intc.com.  This quarter, we continued the practice that we started last quarter of posting additional management commentary from CFO Stacy Smith to our investor website. This commentary was posted at approximately 1:30 p.m., Pacific Daylight Time, and contains added detail about our quarterly performance that was previously reviewed, and prepared remarks during our conference call.  As we begin our call, let me remind everyone that today's discussion contains forward-looking statements based on the environment as we currently see it, and as such, does include risks and uncertainties. Please refer to our press release for more information on the specific risk factors that could cause actual results to differ materially. If during our call today there are any non-GAAP financial references made, we will post the appropriate GAAP financial reconciliations to our investor website.  So with that, let me now hand it over to Paul for some comments, followed by brief remarks from Stacy. Paul?",210
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121540.0,Presenter Speech,Paul Otellini,,Executives,3,"Thanks, Kevin. Our fourth quarter results capped a great year of execution and innovation for Intel. We started the year in one of the deepest recessions in our history and emerged from it with better products and technology, driving new demand for computing worldwide. Our restructuring efforts have borne real fruit by improving the operational efficiency of the company, driving relatively good results in challenging times and exceptional results in a stronger market.  The demand picture in the quarter reflected broad-based strength across all regions and all product categories, with notebooks leading the way. Our product mix was also a notable highlight. Demand for our latest generation of processors, both PC and server, was particularly strong providing an ASP uplift in the quarter. Inventory levels remain in good shape, with OEM comp inventories roughly flat quarter-on-quarter and below level of a year ago.  Distributor inventories are down sequentially. The combination of much stronger sell through and lower year-on-year inventory levels gives us comfort that the supply chain continues to operate very efficiently.  Looking across our product segments, servers had a very strong quarter. The value proposition of Nehalem is clearly evident, and we are seeing a demand shift towards the high end of the performance stack, improving average selling prices. Looking ahead over the next three months, we are planning to refresh our entire server product line with the new 32-nanometer Xeon in the single, dual and multiprocessor segments. It is noteworthy to point out that the Nehalem EX, our multiprocessor version, represents the biggest leap in performance in the history of the Xeon brand.  We remain in an excellent position to benefit from the build out of cloud infrastructure, as well as the reconfiguration of existing state centers for power performance efficiency improvements. Our Atom processor business also continues to do very well, both in netbooks as well as in winning new designs for our growth initiatives. Atom design momentum is very strong, with our new Pine Trail platform in over 80 netbook designs. In the embedded space, we now have over 600 Atom-based design wins and over 2,500 design engagements across 230 customers, 93 of which are brand-new customers to Intel.  At CES, we also demonstrated progress with handheld and consumer electronics platforms built around Atom cores that were very well received. We demonstrated for the first time the LG GW990, a smartphone built with our yet to be released Atom Moorestown platform, which was awarded best smartphone of the show. This demonstrates the power of our architecture in bringing an uncompromising computing experience to handheld devices. Expect more meaningful news and announcements around these businesses during 2010.  Our Notebook business was exceptional this quarter, with demand very strong across the globe. We have been carefully preparing for the shift to mobile, and our product strategy is a reflection of that. To further enhance our PC lineup, at CES, we formally launched 27 new processors produced with our leading-edge 32-nanometer process technology, the biggest consumer launch of new processors since Centrino. Our new core processors are the first ever mainstream PC processors to integrate the graphics engine onto the CPU. This is Moore's Law at work, driving increased performance and improved power and form factor characteristics to our new platforms.  Our new graphics engine is notable, and that it offers full HD video, great mainstream gaming and enhanced 3D capability. I'm happy to report that early demand for these products is excellent.  In closing, we had an outstanding quarter and entered 2010 in a very strong position. We have delivered breakthroughs in our product offerings and our competitive positioning through the Tick Tock development model. Our recently launched 32-nanometer process technology is the critical process capability that will not only bring computing to new levels, but also allow us to broadly offer Atom system-on-chips into many new product categories. We are pleased with our current momentum and look forward to an exciting year in 2010. With that, let me turn the time over to Stacy for a few comments.",671
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121541.0,Presenter Speech,Stacy Smith,,Executives,4,"Thanks, Paul. The fourth quarter was one of our most profitable quarters ever due to a combination of solid execution, the ramp of innovative new products and a healthy consumer market. Fourth quarter revenue at $10.6 billion was up 28% from a year ago, the largest year-on-year percent increase in more than a decade. Our financial results reflect both significant improvements in our cost structure and higher microprocessor average selling prices. The impact of these improvements can be seen in the gross margin percent of 65%, which was up seven points from the third quarter, and is the highest gross margin percent in our history.  In the fourth quarter, we achieved $2.5 billion in operating profit and $2.3 billion in net income. The PC market has recovered nicely, with our microprocessor revenue, excluding Atom, growing 42% since the market bottomed in the first quarter. In the same time period, Atom microprocessors and associated chipsets have grown to $438 million in revenue in the fourth quarter and $1.4 billion for the year. Fourth quarter gross margin benefited from lower inventory write offs, improving costs and our exceptional product lineup as we ramp and sold the first products manufactured on our 32-nanometer process technology. Total inventories increased $450 million due to these new 32-nanometer products.  For 2009, gross margin was 56%, including a 20-point increase from Q1 to Q4. For 2010, we are forecasting continued strong gross margin, with the midpoint of our annual forecast at 61%. As a result of capital we use in achieving efficiencies, we are able to ramp 32-nanometer process technology and still bring down our capital forecast from our expectation at the beginning of the year. Our capital purchases for the year of $4.5 billion is down from our original forecast of around $5.2 billion, and was less than the annual depreciation run rate.  Operating expenses remain in tight control. This is most clearly seen in spending as a percent of revenue. In the fourth quarter, spending for R&D and MG&A as a percent of revenue remained constant at 29% down from 35% in the first quarter, and 32% in the second quarter. The number of employees decreased by 1,000 people in the fourth quarter as a result of planned factory actions announced early in 2009. Revenue per employee for the year is $440,000, the third highest in our history. The fourth quarter of 2009 demonstrates the strength of our execution and business model. Excluding the impact of the $1.25 billion AMD settlement agreement taken in the fourth quarter, operating profit was a quarterly record $3.7 billion, and as a percent of revenue, was 35%.  Total cash investments comprised of cash, short-term investments and debt security trading assets ended the quarter to $13.9 billion, $1 billion higher than the third quarter. Cash flow from operations was more than $3 billion. During the first quarter, we paid the AMD settlement agreement, paid nearly $800 million in dividends and purchased $1.1 billion in capital assets.  For the first quarter, we are forecasting a seasonal decrease in revenue, taking the midpoint of our forecast range to $9.7 billion, a 36% increase from the first quarter of 2009. We are forecasting the midpoint of the gross margin range to decrease four points from the fourth quarter to 61%.  In addition to the impact of the unit decline, the decrease is primarily due to the higher costs associated with the early ramp of 32-nanometer-based products.  The fourth quarter was a strong finish to what turned out to be a good year. The improvements we have made to our cost structure and efficiency levels have led to exceptional financial results in the fourth quarter, and serviced a strong foundation upon which we can build in 2010 as we refresh our product line and ramp 32-nanometer process technology.  With that, let me turn it back to Kevin.",643
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121542.0,Presenter Speech,R. Sellers,,Executives,5,"Okay. Thanks, Stacy and Paul. We'll be now happy to take questions. As most of you know, Intel has a large number of analysts that cover our company. Like we did last quarter, and in an effort to include as many of you as we can, we'll be limiting each caller to one question only. If you need clarification on that question, do please ask. We want to make sure we answer your question adequately. But please, no follow ups and no multipart questions. Christina, go ahead and introduce the first question.",92
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121543.0,Question and Answer Operator Message,Operator,,Operator,6,[Operator Instructions] Your first question comes from the line of Ross Seymore from Deutsche Bank.,15
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121544.0,Question,Ross Seymore,,Analysts,7,Just a question on what your mixed assumptions are for your first quarter and full-year 2010 gross margin guidance.,20
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121545.0,Answer,Paul Otellini,,Executives,8,"Let me start with what we saw in the fourth quarter. I think that kind of serves as a baseline to talk about Q1 and 2010. What we saw in the fourth quarter was really a very rich mix. We saw strength across-the-board on our new products, and in particular, what we saw was we took the first production on 32-nanometer we filled from the top. And there was good market acceptance of those products. And so the combination of that led to a rich mix in the fourth quarter. I expect that that comes back down into a more mixed range as we go across 2010. In particular, we'll be bringing out mainstream and value versions of the 32-nanometer products, and that should say that the sales mix gets into a more normal range as we progress across the next several quarters.",143
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121546.0,Question,Ross Seymore,,Analysts,9,And that will offset any enterprise improving year-over-year?,9
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121547.0,Answer,Paul Otellini,,Executives,10,"From an overall average selling price standpoint for 2010, we're predicting kind of a normal decline year-on-year. Keep in mind, you have lots of things that go up and down. We'll have a rich mix at the beginning as enterprise coming in. But at the end of the day, we do bring pricing down because we see unit growth potential and consumer segment of the market in emerging markets. There's good price elasticity there. So it's kind of consistent with what you've seen from us the last several years. The price comes down and we drive unit growth with that, and that ends up driving incremental gross margin dollars.",109
21127.0,"Intel Corporation, Q4 2009 Earnings Call, Jan-14-2010",2010-01-14,48.0,Earnings Calls,Intel Corporation,1680.0,54631.0,4121548.0,Question and Answer Operator Message,Operator,,Operator,11,Your next question comes from the line of Tim Luke with Barclays Capital.,13
