companyid,headline,mostimportantdateutc,keydeveventtypeid,keydeveventtypename,companyname,audiolengthsec,transcriptid,transcriptcomponentid,transcriptcomponenttypename,transcriptpersonname,companyofperson,speakertypename,componentorder,componenttext,word_count
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139787.0,Presentation Operator Message,Operator,,Operator,0,"Good day and welcome to the Texas Instruments Fourth Quarter 2019 and 2019 Year-End Earnings Release Conference Call. Today's conference is being recorded.
At this time, I would like to turn the conference over to Dave Pahl. Please go ahead, sir.",42
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139788.0,Presenter Speech,Dave Pahl,,Executives,1,"Good afternoon, and thank you for joining our fourth quarter and 2019 earnings conference call. Rafael Lizardi, TI's Chief Financial Officer, is with me today. For any of you who missed the release, you can find it on our website at ti.com/ir. This call is being broadcast live over the web and can be accessed through our website. A replay will be available through the web.
This call will include forward-looking statements that involve risks and uncertainties that could cause TI's results to differ materially from management's current expectations. We encourage you to review the notice regarding forward-looking statements contained in the earnings release published today as well as TI's most recent SEC filings for a more complete description.
First, let me provide some information that's important for your calendars. We plan to hold a call to review our capital management strategy on February 4 at 10 a.m. Central Time. Similar to what we've done in the past, Rafael and I will provide insight into our strategy.
For today's call, let me start by summarizing what Rafael and I will be reviewing. I'll be covering the following topics: first, a high-level summary of the financial results for the fourth quarter; second, I'll provide some comments about what we're seeing with added insight by segment and end market and explain why we would characterize the market as showing signs of stabilizing; and finally, since this is the end of the calendar year, I'll provide a summary of our performance by end market for 2019. Rafael will then review profitability, capital management results and then the outlook, after which we'll open the call for Q&A.
Starting with a high-level summary of the fourth quarter financial results. Revenue was $3.35 billion, a decrease of 10% from a year ago, and EPS was $1.12 per share, including a $0.01 benefit not in our original guidance. Revenue came in above the midpoint of our guidance with the relative strength across all markets.
At the company level, our year-on-year decline abated slightly from 11% in the third quarter to 10% in the fourth quarter. While this is only a marginal improvement, all end markets reduced the rate of decline substantially with the exception of communications equipment where the year-over-year decline increased about as expected given the strength in this end market in the year ago quarter.
In fourth quarter 2019, Analog revenue declined 5% and Embedded Processing revenue declined 20% compared with the same quarter a year ago. Analog's year-on-year rate of decline went from 8% in the third quarter to 5% in the fourth quarter, and Embedded's decline slightly increased from 19% to 20% over the same period.
When we look at the market, since 90 days ago, we moved from the third quarter where customers were increasingly cautious to the fourth quarter where results and behavior throughout the quarter reflected what we believe is best described as demand stabilizing. Based on history, this would imply that customer and channel inventory that built up during 2017 and '18 would now mostly be depleted. This suggests that demand this year will be more a function of our customers' end demand and, therefore, the macro economy, which may continue to be uncertain.
Moving on, I'll now provide some details on the fourth quarter by segment and end market. From the year ago quarter, Analog revenue declined 5% due to declines in Signal Chain, High Volume and Power. Embedded Processing revenue declined 20% from the year ago quarter primarily due to Processors, Connected Microcontrollers also declined. Our Other segment declined 24% from the year ago quarter. For the year in total, Analog declined 5% and Embedded declined 17%. Analog and Embedded combined were 92% of revenue.
From an end market perspective, in the fourth quarter, all markets declined year-on-year 3% to 4%, with the exception of communications equipment. Communications equipment declined about 50% from the year ago quarter, about as expected as all major customers, geographies and technologies declined.
Next, as we do at the end of each calendar year, I'll describe our revenue by end market for 2019. We break this into 6 categories: industrial; automotive; personal electronics, which includes products such as mobile phones, PCs, tablets and TVs; communications equipment; enterprise systems; and other, which is primarily calculators. As a percentage of revenue for the year, industrial was 36%; automotive, 21%; personal electronics, 23%; communications equipment, 11%; enterprise systems 6%; and other was 3%.
Looking at the changes versus 2018, automotive increased by 1 percentage point, enterprise systems decreased by 1 percentage point and the remaining markets were unchanged. In 2019, industrial and automotive combined made up 57% of TI's revenue, up 1 percentage point from last year and up from 42% in 2013. We've established momentum in these markets, and we see great opportunity ahead.
Next, one of our competitive advantages is diversity and longevity, which can be measured in multiple dimensions. From a diversity perspective, we have over 100,000 customers and tens of thousands of devices. In 2019, almost 2/3 of our revenue came from customers who bought $100 million or less of our products. In 2019, our top 10 devices represented about 5% of our revenue, and the top 100th device was less than 0.1% of our revenue. From a longevity perspective, over 40% of our revenue came from devices that we've been producing for at least 10 years. Our investments are directed to continue to diversify our growth across products, markets and customers, strengthening this competitive advantage.
Next, we are announcing today that we will be closing our last 2 6-inch or 150-millimeter wafer fabs, which are both more than 50 years old. This will be a multiyear plan and is expected to be completed no earlier than 2023 and no later than 2025. There are no charges in this quarter's results, and we'll keep you updated as needed in the future.
Separately, our plans to build our next 300-millimeter factory in Richardson, Texas, are underway with dirt moving and cranes on site. We expect the building shell to be complete by the end of 2021 and ready to install tools when needed to meet market demand, which will allow us to continue to support growth and strengthen our manufacturing and technology competitive advantage.
So to wrap up, we remain focused on Analog and Embedded, the best products. We remain focused on the industrial and automotive markets, the best markets since they'll be the fastest-growing semiconductor markets as they have increasing semiconductor content and also provide diversity and longevity. All of this translates to a high terminal value of our portfolio.
Rafael will now review profitability, capital management and our outlook.",1109
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139789.0,Presenter Speech,Rafael Lizardi,,Executives,2,"Thanks, Dave, and good afternoon, everyone. Gross profit in the quarter was $2.1 billion or 63% of revenue. From a year ago, gross profit decreased primarily due to lower revenue. Gross profit margin decreased 220 basis points.
Operating expenses in the quarter were $798 million, down 2% from a year ago and about as expected. On a trailing 12-month basis, operating expenses were 22% of revenue.
For the year, we have invested $1.5 billion in R&D, an important element of our capital allocation. We're pleased with our disciplined process of allocating capital to R&D, which we believe will allow us to continue to grow our top line over the long term.
Acquisition charges and noncash expense were $50 million. Acquisition charges will remain at about $50 million through the third quarter of 2021.
Operating profit was $1.2 billion or 37% of revenue. Operating profit was down 18% from the year ago quarter. Operating margin for Analog was 42%, down from 47% a year ago; and for Embedded Processing was 25%, down from 30% a year ago. Our focused investments on the best sustainable growth opportunities with differentiated positions will enable both businesses to contribute nicely to free cash flow growth over time.
Other income and -- net income in the fourth quarter was $1.1 billion or $1.12 per share, which included a $0.01 benefit for items that were not in our prior outlook, as we have discussed.
Let me now comment on our capital management results, starting with our cash generation. Cash flow from operations was $1.8 billion in the quarter. Capital expenditures were $163 million in the quarter. Free cash flow on a trailing 12-month basis was $5.8 billion, down 4% from a year ago.
In the quarter, we paid $841 million in dividends, an increase of 17% per share, marking our 16th year of dividend increases. We repurchased $489 million of our stock for a total return to owners of $1.3 billion. In total, we have returned $6 billion in the past 12 months, consistent with our strategy to return all free cash flow to our owners. Over the same period, our dividends represented 52% of free cash flow, underscoring their sustainability.
Our balance sheet remains strong with $5.4 billion of cash and short-term investments at the end of the fourth quarter. Total debt was $5.8 billion with a weighted average coupon of 2.99%.
Inventory days were 144, down 8 days from a year ago and up 5 days sequentially. We are pleased with our inventory, and it is positioned to support growth.
Now let's look at some of these results for the year. In 2019, cash flow from operations was $6.6 billion. Capital expenditures were $847 million or 6% of revenue. Free cash flow for 2019 was $5.8 billion or 40% of revenue. Our cash flow reflects the strength of our business model. As we have said, we believe free cash flow growth, especially on a per share basis, is most important to maximizing shareholder value in the long term and will be valued only if it is productively invested in the business or returned to shareholders. We remain committed to return all free cash flow to owners.
Over the last 12 months, we paid $3 billion in dividends and purchased $3 billion of our own shares, reducing outstanding share count by 1.4% in 2019 and by 46% since the end of 2004 when we initiated a program designed to reduce our share count.
Turning to our outlook for the first quarter. We expect TI revenue in the range of $3.12 billion to $3.38 billion and earnings per share to be in the range of $0.96 to $1.14, which includes an estimated $20 million discrete tax benefit. We continue to expect our 2020 annual operating tax rate to be above 15%. As usual, details of our expectations for taxes can be found on our IR website under Financial Summary Data.
In closing, as Dave mentioned, we will stay focused in the areas that add value in the long term. We continue to invest in our competitive advantages with our manufacturing and technology, portfolio breadth, market reach and diverse and long-lived products. We will continue to strengthen these advantages through disciplined capital allocation and by focusing on the best products, Analog and Embedded Processing, and the best markets, industrial and automotive, which we believe will enable us to continue to improve and deliver free cash flow per share growth over the long term.
With that, let me turn it back to Dave.",754
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139790.0,Presenter Speech,Dave Pahl,,Executives,3,"Thanks, Rafael. Operator, you can now open the lines for questions. [Operator Instructions] Operator?",14
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139791.0,Question and Answer Operator Message,Operator,,Operator,4,[Operator Instructions] We'll take our first question from John Pitzer with Crédit Suisse.,13
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139792.0,Question,John Pitzer,,Analysts,5,"Congratulations on the solid results. I guess, Dave and Rafael, just relative to the March quarter guidance, at the midpoint, you're guiding down about 3% sequentially, which is in line with kind of historic seasonality for the March quarter. But typically, off the bottom of the cycle, you can get some above seasonal. And at the midpoint, the year-over-year is just modestly getting better from December to March. So I'm just wondering what -- if there's anything specific in the March quarter as to why it's not a little bit better than seasonal, and specifically, anything around distribution strategy that might be a headwind in Q1. And then I have a follow-up.",112
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139793.0,Answer,Dave Pahl,,Executives,6,"Yes, John, I'll take that, and Rafael can add if he'd like. I think -- so to answer the last part of that question, there's nothing in the sequential guidance that would suggest there's any headwinds from distribution. We've talked about before that we would expect as we make the transition in distribution, it will look similar from a revenue headwind as we've seen with consignment. So there will be some there, but we've already got some of the headwinds from the transitions that we've made in consignment.
And I think the second part is as we're seeing those signs of stabilization, and we talked about that history would suggest that the growth is going to reflect the end demand of the customers and, therefore, the macro economy. So as we go through the year, that's what will be the driving force overall.",143
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139794.0,Answer,Rafael Lizardi,,Executives,7,"Yes. The only other thing I would add is, as Dave mentioned during the prepared remarks, our comms equipment was down year-on-year significantly as there was a tough compare a year ago. Well, 1Q '20 is going to have an even tougher compare on comms equipment, if you recall what was going on in 1Q '19 on that front.",59
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139795.0,Answer,Dave Pahl,,Executives,8,"Right. It was growing pretty significantly year-on-year. Okay, John, do you have a follow-on?",14
140283.0,"Texas Instruments Incorporated, Q4 2019 Earnings Call, Jan 22, 2020",2020-01-22,48.0,Earnings Calls,Texas Instruments Incorporated,2240.0,1893310.0,74139796.0,Question,John Pitzer,,Analysts,9,"Yes. And then my second question is just around the Embedded business. I know that the SIA MCU data is not necessarily the best proxy for that business. But when you kind of compare your results to that data, up until this most recent correction, you guys were sort of consistently outgrowing the SIA MCU data. Your Embedded business has now gone through 5 or 6 quarters of kind of undergrowing. And I'm just wondering if you could help us talk through maybe a potential share loss. And I know you talked about CPU specifically being weak within Embedded. Is that specific to an end market like comms? Or how do we think about that?",115
